Cohort,Model,Feature_Type,Fold,Selected_Threshold,Val_AUC_Best,Test_AUC,Test_AUPRC,Test_F1
mimic_cohort_NF_30_days,XGBoost,Full Codes,0,0.0,0.689805026406009,0.6598044458024598,0.15256505782121157,0.09689213893967093
mimic_cohort_NF_30_days,XGBoost,Full Codes,1,0.005,0.720791707578186,0.6157237795007242,0.07914340615108426,0.0763888888888889
mimic_cohort_NF_30_days,XGBoost,Full Codes,2,0.0,0.707347321526934,0.7250517014476405,0.17462866833904195,0.09881061299176579
mimic_cohort_NF_30_days,XGBoost,Full Codes,3,0.0,0.6843461025001089,0.7290334908282379,0.1591512436084146,0.09824561403508772
mimic_cohort_NF_30_days,XGBoost,Full Codes,4,0.0,0.6665116925313154,0.6705450472872077,0.1687617223766618,0.09057301293900184
mimic_cohort_NF_30_days,RandomForest,Full Codes,0,0.001,0.7252064065186256,0.6817088075777251,0.16572659287012403,0.09689213893967093
mimic_cohort_NF_30_days,RandomForest,Full Codes,1,0.0,0.7346737931570737,0.6718177558149441,0.09117707065657799,0.0761904761904762
mimic_cohort_NF_30_days,RandomForest,Full Codes,2,0.005,0.7116245813021037,0.7548129347621733,0.2664595896888396,0.09881061299176579
mimic_cohort_NF_30_days,RandomForest,Full Codes,3,0.001,0.7070915240459202,0.7736850333518621,0.22728944291666736,0.09824561403508772
mimic_cohort_NF_30_days,RandomForest,Full Codes,4,0.001,0.7265775298191612,0.6981085116973618,0.18752627413809236,0.09057301293900184
mimic_cohort_NF_30_days,CatBoost,Full Codes,0,0.01,0.7225876333457313,0.7253838515010312,0.15447201376495362,0.09724770642201835
mimic_cohort_NF_30_days,CatBoost,Full Codes,1,0.005,0.7402947149902112,0.6463214620431116,0.1057598520535204,0.07625649913344887
mimic_cohort_NF_30_days,CatBoost,Full Codes,2,0.01,0.7094080464703891,0.7598984771573604,0.23725326373845432,0.1
mimic_cohort_NF_30_days,CatBoost,Full Codes,3,0.005,0.7245800593827001,0.7232490272373541,0.17828353106533715,0.09833187006145742
mimic_cohort_NF_30_days,CatBoost,Full Codes,4,0.0,0.7212353754292963,0.7029616724738676,0.15878984681653735,0.09057301293900184
mimic_cohort_NF_30_days,XGBoost,Groups,0,0.0,0.7194906483131617,0.6335650446871895,0.11558489690260423,0.09689213893967093
mimic_cohort_NF_30_days,XGBoost,Groups,1,0.001,0.7175778221931758,0.6214002726420721,0.10117266764154799,0.0761904761904762
mimic_cohort_NF_30_days,XGBoost,Groups,2,0.005,0.6699064178790062,0.7279469825155104,0.20507033979168707,0.09899175068744272
mimic_cohort_NF_30_days,XGBoost,Groups,3,0.005,0.6776807217283859,0.7104554613674262,0.13228684080569342,0.0984182776801406
mimic_cohort_NF_30_days,XGBoost,Groups,4,0.005,0.6799570347569578,0.6842749294839887,0.1675844043420959,0.0914179104477612
mimic_cohort_NF_30_days,RandomForest,Groups,0,0.005,0.7371057314076822,0.6300893743793445,0.10406185771678605,0.09689213893967093
mimic_cohort_NF_30_days,RandomForest,Groups,1,0.01,0.7290197695430077,0.6500383402913862,0.10670720811072096,0.0761904761904762
mimic_cohort_NF_30_days,RandomForest,Groups,2,0.001,0.6870404080516055,0.7601804850535816,0.23593983868439647,0.09881061299176579
mimic_cohort_NF_30_days,RandomForest,Groups,3,0.01,0.6841869884790986,0.7688299055030573,0.19843596445513384,0.09824561403508772
mimic_cohort_NF_30_days,RandomForest,Groups,4,0.01,0.6942324683282745,0.6515472042475526,0.1916979418586686,0.09057301293900184
mimic_cohort_NF_30_days,CatBoost,Groups,0,0.0,0.7297830180128276,0.672618592926438,0.12785939882989034,0.09689213893967093
mimic_cohort_NF_30_days,CatBoost,Groups,1,0.001,0.7345760655933389,0.6305167419272386,0.09737594264817011,0.0761904761904762
mimic_cohort_NF_30_days,CatBoost,Groups,2,0.0,0.6956936231548521,0.7453656702387667,0.22017543828885475,0.09881061299176579
