Cohort,Model,Feature_Type,Fold,Selected_Threshold,Val_AUC_Best,Test_AUC,Test_AUPRC,Test_F1
mimic_cohort_aplasia_45_days,XGBoost,Full Codes,0,0.005,0.8113396449483199,0.8164833615341229,0.606800632363526,0.35368043087971274
mimic_cohort_aplasia_45_days,XGBoost,Full Codes,1,0.0,0.8021486779256423,0.8059223837915126,0.5456136143950682,0.35500878734622143
mimic_cohort_aplasia_45_days,XGBoost,Full Codes,2,0.0,0.813132043773075,0.8182920623591534,0.6010966723805694,0.3615720524017467
mimic_cohort_aplasia_45_days,XGBoost,Full Codes,3,0.005,0.8158981848798529,0.7834711430903649,0.5576541740533938,0.36261682242990656
mimic_cohort_aplasia_45_days,XGBoost,Full Codes,4,0.005,0.814367542746178,0.7304740325133074,0.40644340418325037,0.38924930491195553
mimic_cohort_aplasia_45_days,RandomForest,Full Codes,0,0.0,0.8069002184904589,0.8281972645234066,0.5711545394988978,0.35368043087971274
mimic_cohort_aplasia_45_days,RandomForest,Full Codes,1,0.005,0.8045460366054898,0.8045937086896701,0.5396454991329354,0.35500878734622143
mimic_cohort_aplasia_45_days,RandomForest,Full Codes,2,0.001,0.8050556445606105,0.8102063879141139,0.5651825189484246,0.3615720524017467
mimic_cohort_aplasia_45_days,RandomForest,Full Codes,3,0.001,0.8124231647348085,0.7803987665144965,0.545128722937291,0.36261682242990656
mimic_cohort_aplasia_45_days,RandomForest,Full Codes,4,0.001,0.8113890260522378,0.7464789238958424,0.4457586595996278,0.38817005545286504
mimic_cohort_aplasia_45_days,CatBoost,Full Codes,0,0.005,0.8168689599834181,0.8226804850535815,0.6051072347507771,0.35368043087971274
mimic_cohort_aplasia_45_days,CatBoost,Full Codes,1,0.001,0.8138386046240775,0.8092676774489438,0.531639422983919,0.35500878734622143
mimic_cohort_aplasia_45_days,CatBoost,Full Codes,2,0.005,0.8148271292876116,0.8201424823384021,0.5880867248975516,0.3615720524017467
mimic_cohort_aplasia_45_days,CatBoost,Full Codes,3,0.001,0.818982571953966,0.8002615110197419,0.5613913432939709,0.36261682242990656
mimic_cohort_aplasia_45_days,CatBoost,Full Codes,4,0.0,0.8231558138819036,0.7503596604805064,0.4427127493079688,0.38817005545286504
mimic_cohort_aplasia_45_days,XGBoost,Groups,0,0.0,0.8079728195039385,0.8356281725888324,0.6081204630986579,0.35368043087971274
mimic_cohort_aplasia_45_days,XGBoost,Groups,1,0.0,0.8168952384573215,0.7726077103623169,0.4845167512606111,0.35500878734622143
mimic_cohort_aplasia_45_days,XGBoost,Groups,2,0.0,0.8103091521953337,0.7970221455619659,0.5613688448839725,0.3615720524017467
mimic_cohort_aplasia_45_days,XGBoost,Groups,3,0.0,0.7960146387322053,0.8098111981134928,0.5895874665565841,0.36261682242990656
mimic_cohort_aplasia_45_days,XGBoost,Groups,4,0.0,0.8160684237365231,0.6974032513307438,0.36874677115399235,0.38817005545286504
mimic_cohort_aplasia_45_days,RandomForest,Groups,0,0.005,0.7936486231259433,0.8283629441624365,0.5785346910154819,0.35368043087971274
mimic_cohort_aplasia_45_days,RandomForest,Groups,1,0.005,0.8034584752404789,0.7754370464294387,0.49344702511568383,0.35500878734622143
mimic_cohort_aplasia_45_days,RandomForest,Groups,2,0.01,0.7994697217339194,0.7883846494445436,0.5598831900939698,0.3615720524017467
mimic_cohort_aplasia_45_days,RandomForest,Groups,3,0.005,0.793490051447344,0.785198173957735,0.5599690861740669,0.36261682242990656
