Cohort,Model,Feature_Type,Fold,Dimension,Selected_Threshold,Val_AUC_Best,Test_AUC,Test_AUPRC,Test_F1
mimic_cohort_NF_30_days,XGBoost,ClinVec,0,128,0.005,0.5881933150665972,0.6295451073256435,0.09611530783220402,0.10056925996204934
mimic_cohort_NF_30_days,XGBoost,ClinVec,1,128,0.01,0.6235772114913334,0.6094934821504643,0.05368058955457684,0.08216432865731463
mimic_cohort_NF_30_days,XGBoost,ClinVec,2,128,0.01,0.6116858091533824,0.609992479789434,0.08569642273693859,0.1031390134529148
mimic_cohort_NF_30_days,XGBoost,ClinVec,3,128,0.01,0.5790484568018894,0.57737805725403,0.07936723076315477,0.09146341463414634
mimic_cohort_NF_30_days,XGBoost,ClinVec,4,128,0.01,0.6217829507075371,0.5450887672142026,0.059072213280262936,0.08405172413793104
mimic_cohort_NF_30_days,RandomForest,ClinVec,0,128,0.01,0.5800755276096976,0.6620674509204796,0.08424344864318994,0.09769585253456221
mimic_cohort_NF_30_days,RandomForest,ClinVec,1,128,0.01,0.63703031551866,0.5564134787424384,0.049016835970654093,0.07699037620297462
mimic_cohort_NF_30_days,RandomForest,ClinVec,2,128,0.01,0.6126055618322273,0.6219496145892085,0.0865446115182588,0.10140845070422536
mimic_cohort_NF_30_days,RandomForest,ClinVec,3,128,0.01,0.6006496882461806,0.6003769455252919,0.08833114790645417,0.09294012511170688
mimic_cohort_NF_30_days,RandomForest,ClinVec,4,128,0.01,0.6437394011941915,0.5795171727227476,0.06267075979510595,0.08955223880597014
mimic_cohort_NF_30_days,CatBoost,ClinVec,0,128,0.01,0.5758769500362636,0.6051390268123138,0.08278585162901406,0.09769585253456221
mimic_cohort_NF_30_days,CatBoost,ClinVec,1,128,0.01,0.619504891672158,0.5644436397716623,0.046961973446614444,0.07692307692307693
mimic_cohort_NF_30_days,CatBoost,ClinVec,2,128,0.01,0.6031733085964267,0.608187629253619,0.08339082407006113,0.10018552875695733
mimic_cohort_NF_30_days,CatBoost,ClinVec,3,128,0.01,0.5840690465295215,0.5709508754863813,0.06732318190373493,0.0989399293286219
mimic_cohort_NF_30_days,CatBoost,ClinVec,4,128,0.01,0.6217722628361335,0.5440102870416459,0.0591065457836265,0.08955223880597014
