Cohort,Model,Feature_Type,Fold,Dimension,Selected_Threshold,Val_AUC_Best,Test_AUC,Test_AUPRC,Test_F1
mimic_cohort_aplasia_45_days,XGBoost,ClinVec,0,128,0.0,0.6681247264269157,0.6495699379582628,0.3083761296493137,0.35368043087971274
mimic_cohort_aplasia_45_days,XGBoost,ClinVec,1,128,0.0,0.6718551381512633,0.6420198559365473,0.3121738257706671,0.35500878734622143
mimic_cohort_aplasia_45_days,XGBoost,ClinVec,2,128,0.001,0.6648403943263661,0.6328766761170258,0.3019359373254773,0.3615720524017467
mimic_cohort_aplasia_45_days,XGBoost,ClinVec,3,128,0.0,0.6457623091386185,0.6848830002720925,0.3618805845493028,0.36261682242990656
mimic_cohort_aplasia_45_days,XGBoost,ClinVec,4,128,0.001,0.6626004874943252,0.6358221838584376,0.32784793205694807,0.38817005545286504
mimic_cohort_aplasia_45_days,RandomForest,ClinVec,0,128,0.0,0.684270961761146,0.658488437676255,0.32386660773732706,0.35368043087971274
mimic_cohort_aplasia_45_days,RandomForest,ClinVec,1,128,0.0,0.6817939645314994,0.6769835702916341,0.34105187621259414,0.35500878734622143
mimic_cohort_aplasia_45_days,RandomForest,ClinVec,2,128,0.001,0.6818397487560185,0.6486581150829054,0.32656230110381107,0.3615720524017467
mimic_cohort_aplasia_45_days,RandomForest,ClinVec,3,128,0.0,0.66001492799438,0.70840387580494,0.39560735602038144,0.36261682242990656
mimic_cohort_aplasia_45_days,RandomForest,ClinVec,4,128,0.0,0.6743675412666764,0.6378506689684937,0.3306035191903933,0.38817005545286504
mimic_cohort_aplasia_45_days,CatBoost,ClinVec,0,128,0.0,0.6800290776079093,0.6526015228426396,0.32326330055943714,0.35368043087971274
mimic_cohort_aplasia_45_days,CatBoost,ClinVec,1,128,0.0,0.6740137418042194,0.6653964442765803,0.32222177969847277,0.35500878734622143
mimic_cohort_aplasia_45_days,CatBoost,ClinVec,2,128,0.001,0.6750482382327835,0.6610493203010898,0.35767559144868877,0.3615720524017467
mimic_cohort_aplasia_45_days,CatBoost,ClinVec,3,128,0.001,0.6606399409078699,0.692089669558908,0.36207804691249135,0.36261682242990656
mimic_cohort_aplasia_45_days,CatBoost,ClinVec,4,128,0.0,0.6684424956906777,0.625672565098547,0.314922486663574,0.38817005545286504
