Cohort,Model,Feature_Type,Fold,Dimension,Selected_Threshold,Best_Epoch,Val_AUC_Best,Test_AUC,Test_AUPRC,Test_F1
mimic_cohort_NF_30_days,MLP_2Layer,Kane,0,10,0.01,24,0.5909584283676044,0.5613398518065846,0.09417304887132344,0.09689213893967093
mimic_cohort_NF_30_days,MLP_2Layer,Kane,1,10,0.001,35,0.619875163418829,0.5309491352134277,0.04607452523736272,0.0761904761904762
mimic_cohort_NF_30_days,MLP_2Layer,Kane,2,10,0.01,22,0.5672338390581494,0.6255687159240458,0.09185289669614069,0.09881061299176579
mimic_cohort_NF_30_days,MLP_2Layer,Kane,3,10,0.0,40,0.601615102677266,0.5933157309616452,0.09617530031347477,0.09824561403508772
mimic_cohort_NF_30_days,MLP_2Layer,Kane,4,10,0.005,28,0.5803496358998474,0.5914841546374647,0.06220566106933221,0.09057301293900184
mimic_cohort_NF_30_days,MLP_2Layer,Kane,0,50,0.0,13,0.662078783719216,0.6102093041020548,0.18810920887911914,0.09689213893967093
mimic_cohort_NF_30_days,MLP_2Layer,Kane,1,50,0.005,11,0.6504104511315189,0.5626331260117577,0.045718606415395505,0.0761904761904762
mimic_cohort_NF_30_days,MLP_2Layer,Kane,2,50,0.001,11,0.6390488158768322,0.6868208309832676,0.1653938910286361,0.09881061299176579
mimic_cohort_NF_30_days,MLP_2Layer,Kane,3,50,0.0,12,0.6689098426434162,0.6606534880489161,0.10224675023281533,0.09824561403508772
mimic_cohort_NF_30_days,MLP_2Layer,Kane,4,50,0.01,11,0.6598299915922078,0.6825846192135392,0.09851395441338401,0.09057301293900184
mimic_cohort_NF_30_days,MLP_2Layer,Kane,0,100,0.005,6,0.6737508372238125,0.6323141853181574,0.1527884211014264,0.09689213893967093
mimic_cohort_NF_30_days,MLP_2Layer,Kane,1,100,0.005,6,0.6530464560429259,0.6064475590014484,0.059287891812943104,0.0761904761904762
mimic_cohort_NF_30_days,MLP_2Layer,Kane,2,100,0.0,4,0.6236294415901652,0.6496709907877419,0.09625425251103513,0.09881061299176579
mimic_cohort_NF_30_days,MLP_2Layer,Kane,3,100,0.0,8,0.6620226084705789,0.6518465119510839,0.10234296633614251,0.09824561403508772
mimic_cohort_NF_30_days,MLP_2Layer,Kane,4,100,0.005,8,0.647469468314024,0.6638460262153643,0.07715116387695127,0.09057301293900184
mimic_cohort_NF_30_days,MLP_2Layer,Kane,0,1000,0.01,9,0.6603767292171349,0.627473073103659,0.1388688203989226,0.09706959706959707
mimic_cohort_NF_30_days,MLP_2Layer,Kane,1,1000,0.005,7,0.6665317568864585,0.5853603987390303,0.05477252205014723,0.0761904761904762
mimic_cohort_NF_30_days,MLP_2Layer,Kane,2,1000,0.005,5,0.6273792854219808,0.6844895657078398,0.17224329175137912,0.09881061299176579
mimic_cohort_NF_30_days,MLP_2Layer,Kane,3,1000,0.0,8,0.6724759411647913,0.6259119649805447,0.09928252354387285,0.09824561403508772
mimic_cohort_NF_30_days,MLP_2Layer,Kane,4,1000,0.01,10,0.6534849586023115,0.6442985730877717,0.07937296451287133,0.09057301293900184
