Cohort,Model,Feature_Type,Fold,Dimension,Selected_Threshold,Best_Epoch,Val_AUC_Best,Test_AUC,Test_AUPRC,Test_F1
mimic_cohort_NF_30_days,MLP_3Layer,Kane,0,10,0.005,34,0.5893244444170825,0.5541307004812467,0.06566360703677217,0.09689213893967093
mimic_cohort_NF_30_days,MLP_3Layer,Kane,1,10,0.005,39,0.5863116997682044,0.5416737667206271,0.05663888107089619,0.0761904761904762
mimic_cohort_NF_30_days,MLP_3Layer,Kane,2,10,0.005,24,0.5557354317259521,0.6483925549915397,0.07461989121216081,0.09881061299176579
mimic_cohort_NF_30_days,MLP_3Layer,Kane,3,10,0.0,38,0.6025442948677798,0.5922908560311284,0.08194708182341118,0.09824561403508772
mimic_cohort_NF_30_days,MLP_3Layer,Kane,4,10,0.005,37,0.5851324583529276,0.5968661854985897,0.06301480882647702,0.09057301293900184
mimic_cohort_NF_30_days,MLP_3Layer,Kane,0,50,0.001,19,0.6760961970812377,0.6651516308914521,0.21036906765387572,0.09689213893967093
mimic_cohort_NF_30_days,MLP_3Layer,Kane,1,50,0.005,18,0.6497067533904841,0.6065753599727357,0.054686589881789614,0.0761904761904762
mimic_cohort_NF_30_days,MLP_3Layer,Kane,2,50,0.01,14,0.6308721923529614,0.6847527730776461,0.13556998620786456,0.0989010989010989
mimic_cohort_NF_30_days,MLP_3Layer,Kane,3,50,0.001,18,0.6667230886363921,0.6644663702056698,0.10309263860537635,0.09824561403508772
mimic_cohort_NF_30_days,MLP_3Layer,Kane,4,50,0.01,9,0.6511371895173357,0.6861726397876223,0.10520886377181823,0.09057301293900184
mimic_cohort_NF_30_days,MLP_3Layer,Kane,0,100,0.005,16,0.6690299063964918,0.6189844167748837,0.14683580659791678,0.09689213893967093
mimic_cohort_NF_30_days,MLP_3Layer,Kane,1,100,0.01,9,0.6560114551524473,0.6359269830450711,0.06359078517724964,0.0761904761904762
mimic_cohort_NF_30_days,MLP_3Layer,Kane,2,100,0.001,5,0.6266624004667638,0.677251363038165,0.16552907856358556,0.09881061299176579
mimic_cohort_NF_30_days,MLP_3Layer,Kane,3,100,0.0,9,0.6618500432103154,0.6554335742078933,0.1068343979025109,0.09824561403508772
mimic_cohort_NF_30_days,MLP_3Layer,Kane,4,100,0.005,7,0.6385522209396776,0.637734362037498,0.07453421498184959,0.09057301293900184
mimic_cohort_NF_30_days,MLP_3Layer,Kane,0,1000,0.01,9,0.6514895307657556,0.6209991597280574,0.15920497480569695,0.09706959706959707
mimic_cohort_NF_30_days,MLP_3Layer,Kane,1,1000,0.01,8,0.6531609509529519,0.6183756496549374,0.08292347842548477,0.0761904761904762
mimic_cohort_NF_30_days,MLP_3Layer,Kane,2,1000,0.0,4,0.6248127185930503,0.6636209813874788,0.1395563514322789,0.09881061299176579
mimic_cohort_NF_30_days,MLP_3Layer,Kane,3,1000,0.001,9,0.6723327575458016,0.6595243885491939,0.11055557471728382,0.09824561403508772
mimic_cohort_NF_30_days,MLP_3Layer,Kane,4,1000,0.01,6,0.6541440440055292,0.6552285548365687,0.08537574787362545,0.09057301293900184
