Cohort,Model,Feature_Type,Fold,Dimension,Selected_Threshold,Val_AUC_Best,Test_AUC,Test_AUPRC,Test_F1
mimic_cohort_NF_30_days,XGBoost,Kane,0,10,0.01,0.562156703702303,0.5111908945076771,0.05954697874108965,0.0980980980980981
mimic_cohort_NF_30_days,XGBoost,Kane,1,10,0.001,0.5864443086792153,0.4969860270938059,0.05544184657429189,0.0761904761904762
mimic_cohort_NF_30_days,XGBoost,Kane,2,10,0.0,0.5732617793401938,0.5473773265651438,0.06496113849665835,0.09881061299176579
mimic_cohort_NF_30_days,XGBoost,Kane,3,10,0.01,0.5866602956895837,0.51066564758199,0.05257769652530501,0.1014760147601476
mimic_cohort_NF_30_days,XGBoost,Kane,4,10,0.005,0.5552687643395607,0.5401733864277418,0.06393409024022562,0.09158878504672897
mimic_cohort_NF_30_days,RandomForest,Kane,0,10,0.01,0.585609041961503,0.535081353601711,0.06322625606813068,0.09842154131847725
mimic_cohort_NF_30_days,RandomForest,Kane,1,10,0.005,0.5930339238433736,0.5548159666013461,0.06690163775014336,0.0761904761904762
mimic_cohort_NF_30_days,RandomForest,Kane,2,10,0.01,0.5518175036381424,0.6029328821206994,0.07376761925491356,0.1
mimic_cohort_NF_30_days,RandomForest,Kane,3,10,0.01,0.5924589809998096,0.5576014452473597,0.05868842509254844,0.09734513274336283
mimic_cohort_NF_30_days,RandomForest,Kane,4,10,0.005,0.5717815256580167,0.5826903932304629,0.062453629728244406,0.09057301293900184
mimic_cohort_NF_30_days,CatBoost,Kane,0,10,0.01,0.5655118205309323,0.5466159957222518,0.06778967725189755,0.09869646182495345
mimic_cohort_NF_30_days,CatBoost,Kane,1,10,0.0,0.5930803912015886,0.4995420465195535,0.04678704381497337,0.0761904761904762
mimic_cohort_NF_30_days,CatBoost,Kane,2,10,0.01,0.5638801111530426,0.5968603120887384,0.09071553854681767,0.10074626865671642
mimic_cohort_NF_30_days,CatBoost,Kane,3,10,0.001,0.5951848680875881,0.5180742773763202,0.05388968712253283,0.09824561403508772
mimic_cohort_NF_30_days,CatBoost,Kane,4,10,0.005,0.577321405668847,0.5918989547038327,0.05959646707593842,0.09065679925994449
mimic_cohort_NF_30_days,XGBoost,Kane,0,50,0.01,0.6211322178417354,0.5413642960812772,0.055891153162900595,0.1054945054945055
mimic_cohort_NF_30_days,XGBoost,Kane,1,50,0.001,0.6318237333836484,0.49547371560023856,0.04185648719498612,0.0761904761904762
mimic_cohort_NF_30_days,XGBoost,Kane,2,50,0.005,0.5894578217014504,0.5646738108667043,0.07299222207786424,0.10307234886025768
mimic_cohort_NF_30_days,XGBoost,Kane,3,50,0.0,0.6293796334146599,0.5596511951083936,0.061428070079811985,0.09824561403508772
mimic_cohort_NF_30_days,XGBoost,Kane,4,50,0.005,0.5983978880766107,0.6268043802887008,0.06926699260800002,0.0960960960960961
mimic_cohort_NF_30_days,RandomForest,Kane,0,50,0.001,0.6229343993979621,0.5908448552440607,0.06880140667558454,0.09706959706959707
mimic_cohort_NF_30_days,RandomForest,Kane,1,50,0.01,0.6144890278693382,0.5902594359717134,0.05260051395158672,0.0773966578715919
mimic_cohort_NF_30_days,RandomForest,Kane,2,50,0.0,0.5907293419512082,0.5877232562511749,0.0619212269163041,0.09881061299176579
mimic_cohort_NF_30_days,RandomForest,Kane,3,50,0.01,0.6315188146141676,0.579332267926626,0.07135877322906195,0.09982174688057041
mimic_cohort_NF_30_days,RandomForest,Kane,4,50,0.001,0.6111413934134212,0.5665131906421106,0.08402299096678444,0.09057301293900184
mimic_cohort_NF_30_days,CatBoost,Kane,0,50,0.01,0.6241051741589271,0.571136658773203,0.0630468564518385,0.09839167455061495
mimic_cohort_NF_30_days,CatBoost,Kane,1,50,0.01,0.6203445874767523,0.6321142540683309,0.05990359660776421,0.07705779334500876
mimic_cohort_NF_30_days,CatBoost,Kane,2,50,0.001,0.5809075363201907,0.5478849407783417,0.07493105454656074,0.09881061299176579
mimic_cohort_NF_30_days,CatBoost,Kane,3,50,0.001,0.629488926806998,0.5773259449694274,0.061284018344233755,0.09824561403508772
mimic_cohort_NF_30_days,CatBoost,Kane,4,50,0.01,0.6271714192068174,0.6378276920524306,0.07032047534643962,0.09219190968955786
mimic_cohort_NF_30_days,XGBoost,Kane,0,100,0.005,0.6006739500650031,0.5416412038805286,0.05877305103427739,0.10313447927199192
mimic_cohort_NF_30_days,XGBoost,Kane,1,100,0.01,0.6161109360919825,0.6044027434608502,0.05583647261520252,0.08412197686645637
mimic_cohort_NF_30_days,XGBoost,Kane,2,100,0.01,0.5823824988892822,0.616168452716676,0.09753666391994115,0.10884353741496598
mimic_cohort_NF_30_days,XGBoost,Kane,3,100,0.01,0.6177316227940105,0.56175305725403,0.08033934561319699,0.1145475372279496
mimic_cohort_NF_30_days,XGBoost,Kane,4,100,0.01,0.605938181351802,0.5969076655052264,0.06733679222222219,0.09608938547486033
mimic_cohort_NF_30_days,RandomForest,Kane,0,100,0.01,0.6162286332911793,0.5796921549155908,0.06967327561777174,0.09906542056074766
mimic_cohort_NF_30_days,RandomForest,Kane,1,100,0.001,0.6169482141351529,0.5681072676152339,0.05031013851237977,0.0761904761904762
mimic_cohort_NF_30_days,RandomForest,Kane,2,100,0.001,0.5829507457707535,0.6473961270915586,0.09681821997707628,0.09881061299176579
mimic_cohort_NF_30_days,RandomForest,Kane,3,100,0.01,0.6359488469486979,0.5691703724291273,0.07379687397573466,0.0994671403197158
mimic_cohort_NF_30_days,RandomForest,Kane,4,100,0.005,0.6070016245564533,0.6414260826281732,0.07326030052535745,0.09133271202236719
mimic_cohort_NF_30_days,CatBoost,Kane,0,100,0.01,0.6175859238530216,0.5755671835612253,0.07551154967156622,0.09925093632958802
mimic_cohort_NF_30_days,CatBoost,Kane,1,100,0.01,0.6145515735709308,0.5856799011672489,0.050400116186326255,0.07699037620297462
mimic_cohort_NF_30_days,CatBoost,Kane,2,100,0.01,0.588604530512972,0.591990975747321,0.08031515136694187,0.1005586592178771
mimic_cohort_NF_30_days,CatBoost,Kane,3,100,0.001,0.6244633385423622,0.524987840466926,0.07604770440156239,0.09824561403508772
mimic_cohort_NF_30_days,CatBoost,Kane,4,100,0.01,0.6087526541547318,0.6465177534428406,0.08038511916672159,0.09184629803186505
mimic_cohort_NF_30_days,XGBoost,Kane,0,1000,0.01,0.6293153491687064,0.6047857306546482,0.09798047350238998,0.10510510510510511
mimic_cohort_NF_30_days,XGBoost,Kane,1,1000,0.005,0.6435341168538726,0.5993120047712364,0.07329744411851453,0.08456659619450317
mimic_cohort_NF_30_days,XGBoost,Kane,2,1000,0.01,0.6087262501596246,0.630832863320173,0.11012848685288644,0.1093969144460028
mimic_cohort_NF_30_days,XGBoost,Kane,3,1000,0.001,0.6221729267804764,0.5879742217898832,0.07474095012606144,0.09859154929577464
mimic_cohort_NF_30_days,XGBoost,Kane,4,1000,0.01,0.650959058327277,0.6695391571262651,0.09709309561484952,0.11338582677165354
mimic_cohort_NF_30_days,RandomForest,Kane,0,1000,0.01,0.6112101072421235,0.577257275991139,0.06934099784081088,0.10009442870632672
mimic_cohort_NF_30_days,RandomForest,Kane,1,1000,0.01,0.6305314309152318,0.6234450881826702,0.05787026955996598,0.07760141093474426
mimic_cohort_NF_30_days,RandomForest,Kane,2,1000,0.01,0.6003166499378483,0.6309644670050761,0.09259994218980243,0.0986046511627907
mimic_cohort_NF_30_days,RandomForest,Kane,3,1000,0.001,0.6229952072286052,0.5701865619788772,0.06170114604358937,0.0984182776801406
mimic_cohort_NF_30_days,RandomForest,Kane,4,1000,0.01,0.6238902426859333,0.6293035506885681,0.07510926879318175,0.09167446211412535
mimic_cohort_NF_30_days,CatBoost,Kane,0,1000,0.01,0.613884191951556,0.625124131082423,0.09159301677918799,0.10085632730732635
mimic_cohort_NF_30_days,CatBoost,Kane,1,1000,0.001,0.6372417105885029,0.5309810854562496,0.07025827377864541,0.0761904761904762
mimic_cohort_NF_30_days,CatBoost,Kane,2,1000,0.01,0.5851836559031599,0.6153788306072571,0.0767705876393378,0.10198300283286119
mimic_cohort_NF_30_days,CatBoost,Kane,3,1000,0.0,0.6144121845063819,0.5873054474708171,0.06794755313643822,0.09824561403508772
mimic_cohort_NF_30_days,CatBoost,Kane,4,1000,0.01,0.6185463069841678,0.6100153476024557,0.077774967591902,0.09056603773584905
