Model,Feature_Type,Dimension,Test_AUC_Mean,Test_AUC_Std,Test_AUPRC_Mean,Test_AUPRC_Std,Test_F1_Mean,Test_F1_Std
CatBoost,Kane,10,0.5505983172821394,0.043377210767602724,0.06375568276243196,0.016923937103097537,0.09290712399343566,0.010099237256823608
CatBoost,Kane,50,0.5932578981283467,0.03968048811481842,0.06589720025936736,0.006451842328240457,0.09293952092240701,0.009288952023655315
CatBoost,Kane,100,0.5849487308771123,0.043371056510439376,0.07253192815862367,0.01258279679411639,0.0933783767634785,0.009755091468709154
CatBoost,Kane,1000,0.5937609684438405,0.037743119359730425,0.07686887978510229,0.009232023716728105,0.0935682916203201,0.010686465405335986
RandomForest,Kane,10,0.5666244081603159,0.02642081849732021,0.06500751357879608,0.005699851712362036,0.09250603263826362,0.009804382017117346
RandomForest,Kane,50,0.582934601207137,0.010268837207747033,0.06774098234786435,0.011644956545897261,0.0927343255505054,0.009298692264995634
RandomForest,Kane,100,0.6011584009359368,0.039798946621270384,0.07277176172166397,0.01653516565729925,0.09297327241701453,0.009971369288098763
RandomForest,Kane,1000,0.6062313887692661,0.02991274816768343,0.07132432488547008,0.01364302435271916,0.09327864611962552,0.009348611446792839
XGBoost,Kane,10,0.5212786564352717,0.021463236836424163,0.059292350115514106,0.005330541698317069,0.09323279741744332,0.010196534937560784
XGBoost,Kane,50,0.5575934795890629,0.04734650339563477,0.060286985024712594,0.01227163648300953,0.09581980813528464,0.011591706710620674
XGBoost,Kane,100,0.5841746245634623,0.0312519228258506,0.07196446508096804,0.017172775540107623,0.10134738325124484,0.011810919419968266
XGBoost,Kane,1000,0.6184887955324412,0.03257751498365985,0.09064809004294039,0.016038000329072082,0.10220919836260785,0.01128400811971741
