Cohort,Model,Feature_Type,Fold,Dimension,Selected_Threshold,Best_Epoch,Val_AUC_Best,Test_AUC,Test_AUPRC,Test_F1
mimic_cohort_aplasia_45_days,MLP_3Layer,Kane,0,10,0.005,44,0.6378575198334421,0.6037648054145517,0.2721328492483787,0.35368043087971274
mimic_cohort_aplasia_45_days,MLP_3Layer,Kane,1,10,0.005,49,0.6423851426004187,0.6224977743005908,0.30455721149287285,0.35500878734622143
mimic_cohort_aplasia_45_days,MLP_3Layer,Kane,2,10,0.005,49,0.6304508345909472,0.6119933649226458,0.32314482761908997,0.3615720524017467
mimic_cohort_aplasia_45_days,MLP_3Layer,Kane,3,10,0.001,48,0.625246001983512,0.655999637210146,0.3923305665585578,0.36261682242990656
mimic_cohort_aplasia_45_days,MLP_3Layer,Kane,4,10,0.001,47,0.6375741861187317,0.5855991943605237,0.33413928950723937,0.38817005545286504
mimic_cohort_aplasia_45_days,MLP_3Layer,Kane,0,50,0.005,37,0.7308108967921632,0.7405597856739988,0.40279072080635836,0.35368043087971274
mimic_cohort_aplasia_45_days,MLP_3Layer,Kane,1,50,0.005,23,0.731267050556494,0.7052971645938436,0.37282293020972435,0.35500878734622143
mimic_cohort_aplasia_45_days,MLP_3Layer,Kane,2,50,0.001,32,0.7174246232803946,0.7229789118208794,0.4154811321392711,0.3615720524017467
mimic_cohort_aplasia_45_days,MLP_3Layer,Kane,3,50,0.0,35,0.7324738114423851,0.7176247845935242,0.4175561200195984,0.36261682242990656
mimic_cohort_aplasia_45_days,MLP_3Layer,Kane,4,50,0.001,42,0.7384838810372264,0.6766040857430585,0.368528272683514,0.38817005545286504
mimic_cohort_aplasia_45_days,MLP_3Layer,Kane,0,100,0.005,24,0.7307441896423178,0.74665820642978,0.4274794385954702,0.35368043087971274
mimic_cohort_aplasia_45_days,MLP_3Layer,Kane,1,100,0.005,19,0.728629231647196,0.7090943426767745,0.38342747524365345,0.35500878734622143
mimic_cohort_aplasia_45_days,MLP_3Layer,Kane,2,100,0.005,16,0.7186989206320685,0.7246178552310711,0.4372838567176365,0.3615720524017467
mimic_cohort_aplasia_45_days,MLP_3Layer,Kane,3,100,0.0,17,0.7314071571726689,0.7111399159536839,0.4197333021467008,0.36261682242990656
mimic_cohort_aplasia_45_days,MLP_3Layer,Kane,4,100,0.0,18,0.7427435780897503,0.6599697885196375,0.3568471277867299,0.38817005545286504
mimic_cohort_aplasia_45_days,MLP_3Layer,Kane,0,1000,0.0,20,0.737796245016332,0.7625987027636774,0.49207880257143377,0.35368043087971274
mimic_cohort_aplasia_45_days,MLP_3Layer,Kane,1,1000,0.005,28,0.755755638126737,0.7240402514365878,0.41265051522356017,0.35563380281690143
mimic_cohort_aplasia_45_days,MLP_3Layer,Kane,2,1000,0.001,22,0.7380057674390411,0.7570464653674076,0.47487873399110003,0.3615720524017467
mimic_cohort_aplasia_45_days,MLP_3Layer,Kane,3,1000,0.01,31,0.7519299210727496,0.7072512622063671,0.40283534593300296,0.36397748592870544
mimic_cohort_aplasia_45_days,MLP_3Layer,Kane,4,1000,0.001,26,0.7595256815197288,0.664156236512732,0.3360647654099985,0.3888888888888889
