Cohort,Model,Feature_Type,Fold,Dimension,Selected_Threshold,Val_AUC_Best,Test_AUC,Test_AUPRC,Test_F1
mimic_cohort_aplasia_45_days,XGBoost,Kane,0,10,0.005,0.6357359382298636,0.574358432036097,0.25456187829606436,0.35368043087971274
mimic_cohort_aplasia_45_days,XGBoost,Kane,1,10,0.01,0.6149087466119556,0.6283958777349125,0.28721436651656895,0.35500878734622143
mimic_cohort_aplasia_45_days,XGBoost,Kane,2,10,0.01,0.6113844741939061,0.6130870953032376,0.31035818670377224,0.3615720524017467
mimic_cohort_aplasia_45_days,XGBoost,Kane,3,10,0.01,0.6173532769272093,0.5633899688605375,0.27526695048437744,0.36261682242990656
mimic_cohort_aplasia_45_days,XGBoost,Kane,4,10,0.005,0.6158770612862708,0.5868220399942454,0.3083432454565648,0.38817005545286504
mimic_cohort_aplasia_45_days,RandomForest,Kane,0,10,0.005,0.6528308010141372,0.613797236322617,0.29069106319581334,0.35368043087971274
mimic_cohort_aplasia_45_days,RandomForest,Kane,1,10,0.001,0.6233908641684568,0.6228990746486093,0.30056443249019626,0.35500878734622143
mimic_cohort_aplasia_45_days,RandomForest,Kane,2,10,0.01,0.6297431943110877,0.6340959707104953,0.3184829556936398,0.3615720524017467
mimic_cohort_aplasia_45_days,RandomForest,Kane,3,10,0.01,0.6374376278435504,0.5917253680805393,0.2941208918345586,0.36261682242990656
mimic_cohort_aplasia_45_days,RandomForest,Kane,4,10,0.005,0.6283467012163529,0.6095741619910804,0.3234154313319735,0.38817005545286504
mimic_cohort_aplasia_45_days,CatBoost,Kane,0,10,0.01,0.6550393372472159,0.5922447828539199,0.2864958530317068,0.35368043087971274
mimic_cohort_aplasia_45_days,CatBoost,Kane,1,10,0.01,0.6311950916463779,0.6313432433161572,0.3069443561963545,0.35500878734622143
mimic_cohort_aplasia_45_days,CatBoost,Kane,2,10,0.01,0.6283840420048522,0.6134902225130026,0.3251552918093125,0.3615720524017467
mimic_cohort_aplasia_45_days,CatBoost,Kane,3,10,0.01,0.6366808973325894,0.6241194787919098,0.32243604691309713,0.36261682242990656
mimic_cohort_aplasia_45_days,CatBoost,Kane,4,10,0.005,0.6402110808662166,0.6227665084160552,0.3419710229837147,0.38817005545286504
mimic_cohort_aplasia_45_days,XGBoost,Kane,0,50,0.01,0.688172773245944,0.6922306824591089,0.3768650670102839,0.35368043087971274
mimic_cohort_aplasia_45_days,XGBoost,Kane,1,50,0.001,0.7001949535022689,0.6887055871799714,0.34837369904739923,0.35500878734622143
mimic_cohort_aplasia_45_days,XGBoost,Kane,2,50,0.001,0.6990450606467374,0.6939008835755401,0.3643559326613594,0.3615720524017467
mimic_cohort_aplasia_45_days,XGBoost,Kane,3,50,0.01,0.6994611200644641,0.6645554312664389,0.38036315413535005,0.3639810426540284
mimic_cohort_aplasia_45_days,XGBoost,Kane,4,50,0.01,0.7038796200276588,0.6639044741763775,0.38356753481290806,0.39325842696629215
mimic_cohort_aplasia_45_days,RandomForest,Kane,0,50,0.005,0.6916545978392493,0.7020163564579807,0.38032020024249785,0.35368043087971274
mimic_cohort_aplasia_45_days,RandomForest,Kane,1,50,0.0,0.6968881148068586,0.6946272965171176,0.34853161276323713,0.35500878734622143
mimic_cohort_aplasia_45_days,RandomForest,Kane,2,50,0.001,0.6931050269748228,0.6889642274166154,0.344617166385971,0.3615720524017467
mimic_cohort_aplasia_45_days,RandomForest,Kane,3,50,0.001,0.6971528337362343,0.6782809807419053,0.3612453978008834,0.36261682242990656
mimic_cohort_aplasia_45_days,RandomForest,Kane,4,50,0.0,0.7017193436818312,0.6603438354193641,0.34847596741884856,0.38817005545286504
