Model,Feature_Type,Dimension,Test_AUC_Mean,Test_AUC_Std,Test_AUPRC_Mean,Test_AUPRC_Std,Test_F1_Mean,Test_F1_Std
CatBoost,Kane,10,0.6167928471782089,0.015121119162510004,0.31660051418683716,0.020919084524567942,0.36420962970209053,0.013956319169812511
CatBoost,Kane,50,0.6869824827536036,0.02210219276247715,0.3738450934929983,0.03378838017835714,0.36420962970209053,0.013956319169812511
CatBoost,Kane,100,0.6918099668521598,0.028902571671557742,0.367418914610146,0.012840027075783009,0.36420962970209053,0.013956319169812511
CatBoost,Kane,1000,0.688582106802832,0.025751794990206574,0.3753449058407569,0.028574849823700524,0.36420962970209053,0.013956319169812511
RandomForest,Kane,10,0.6144183623506683,0.01579521142192976,0.3054549549092363,0.014685521880475505,0.36420962970209053,0.013956319169812511
RandomForest,Kane,50,0.6848465393105967,0.016208872917682315,0.35663806892228755,0.014653561456706496,0.36420962970209053,0.013956319169812511
RandomForest,Kane,100,0.6770614270423158,0.01866290659224324,0.35073295495752516,0.019036417297323666,0.36420962970209053,0.013956319169812511
RandomForest,Kane,1000,0.6799227141664301,0.026656325190429694,0.3555557153836906,0.019864700451395958,0.36420962970209053,0.013956319169812511
XGBoost,Kane,10,0.593210682785806,0.027011880776014567,0.28714892549146953,0.023403900648803308,0.36420962970209053,0.013956319169812511
XGBoost,Kane,50,0.6806594117314874,0.01511653020281802,0.3707050775334601,0.014453968546413138,0.3655001480496003,0.01610926773958813
XGBoost,Kane,100,0.6865584526002537,0.017828905097465902,0.3580016225708177,0.011314220080381564,0.36420962970209053,0.013956319169812511
XGBoost,Kane,1000,0.6860510377329656,0.023505264091284134,0.36762006776970263,0.01333028846101851,0.36455011498136736,0.013928484387198738
