Cohort,Model,Feature_Type,Fold,Selected_Threshold,Val_AUC_Best,Test_AUC,Test_AUPRC,Test_F1
mimic_cohort_NF_30_days,XGBoost,Full Codes,0,0.01,0.6599377123442809,0.6580666106485372,0.14144958639959782,0.140625
mimic_cohort_NF_30_days,XGBoost,Full Codes,1,0.01,0.7066696778078891,0.5950306722331089,0.07521619306300133,0.1004566210045662
mimic_cohort_NF_30_days,XGBoost,Full Codes,2,0.005,0.6578419071518193,0.7221000188005263,0.18662157379811145,0.1951219512195122
mimic_cohort_NF_30_days,XGBoost,Full Codes,3,0.001,0.6948296122209165,0.7282518065591995,0.15919791255567556,0.23893805309734514
mimic_cohort_NF_30_days,XGBoost,Full Codes,4,0.01,0.6624297393970363,0.6435934129749461,0.14480579152093842,0.16161616161616163
mimic_cohort_NF_30_days,RandomForest,Full Codes,0,0.01,0.7070781426953567,0.6727236269192576,0.14853155211484712,0.18085106382978725
mimic_cohort_NF_30_days,RandomForest,Full Codes,1,0.005,0.7051189400782896,0.6671317202010735,0.11599330421538964,0.16494845360824742
mimic_cohort_NF_30_days,RandomForest,Full Codes,2,0.0,0.7414209535759096,0.7646456100770822,0.2771902506116503,0.34710743801652894
mimic_cohort_NF_30_days,RandomForest,Full Codes,3,0.0,0.7009568574785966,0.7684390633685381,0.1988524627139512,0.3007518796992481
mimic_cohort_NF_30_days,RandomForest,Full Codes,4,0.0,0.7149655084312724,0.6736975277916043,0.1883981952665401,0.23728813559322035
mimic_cohort_NF_30_days,CatBoost,Full Codes,0,0.001,0.7075028312570781,0.7387422656787106,0.20527765707547238,0.18410041841004185
mimic_cohort_NF_30_days,CatBoost,Full Codes,1,0.01,0.7420957542908763,0.6614232768169038,0.09620614791866638,0.12605042016806722
mimic_cohort_NF_30_days,CatBoost,Full Codes,2,0.0,0.7741060225846926,0.745986087610453,0.20217072009360038,0.2169811320754717
mimic_cohort_NF_30_days,CatBoost,Full Codes,3,0.0,0.7241564545912372,0.7595191773207338,0.16896231666155323,0.22556390977443608
mimic_cohort_NF_30_days,CatBoost,Full Codes,4,0.01,0.7066140776699029,0.6550730048116807,0.13477572696329637,0.1643835616438356
mimic_cohort_NF_30_days,XGBoost,Groups,0,0.005,0.7523074745186863,0.6413375601558322,0.10316629241675153,0.11818181818181818
mimic_cohort_NF_30_days,XGBoost,Groups,1,0.01,0.7168322794339055,0.6241160432819289,0.1077332027722194,0.14035087719298245
mimic_cohort_NF_30_days,XGBoost,Groups,2,0.01,0.6857277289836888,0.7369148336153413,0.20791875160068268,0.22857142857142856
mimic_cohort_NF_30_days,XGBoost,Groups,3,0.0,0.6424374685244251,0.7045667732073375,0.1275211341834208,0.2079207920792079
mimic_cohort_NF_30_days,XGBoost,Groups,4,0.0,0.6843382728666325,0.6837979094076655,0.18442163976189446,0.19130434782608696
mimic_cohort_NF_30_days,RandomForest,Groups,0,0.0,0.7615515288788222,0.6463982889007716,0.12657085889379696,0.1111111111111111
mimic_cohort_NF_30_days,RandomForest,Groups,1,0.005,0.7295694068051792,0.6489839822782654,0.11253556538535346,0.14634146341463414
mimic_cohort_NF_30_days,RandomForest,Groups,2,0.0,0.7239962358845671,0.7548035344989659,0.2435508242893937,0.2714285714285714
mimic_cohort_NF_30_days,RandomForest,Groups,3,0.0,0.6850763807285547,0.7531788493607559,0.20566350850428886,0.2345679012345679
mimic_cohort_NF_30_days,RandomForest,Groups,4,0.005,0.7069174757281553,0.6416127426580388,0.19537338980206084,0.23376623376623376
mimic_cohort_NF_30_days,CatBoost,Groups,0,0.0,0.75138731596829,0.672618592926438,0.12785939882989034,0.12195121951219512
mimic_cohort_NF_30_days,CatBoost,Groups,1,0.005,0.7475158084914182,0.611634148419528,0.11169579752394324,0.12030075187969924
mimic_cohort_NF_30_days,CatBoost,Groups,2,0.001,0.7596925972396487,0.7354295920285768,0.2194965053753194,0.2222222222222222
