Cohort,Model,Feature_Type,Fold,Dimension,Selected_Threshold,Best_Epoch,Val_AUC_Best,Test_AUC,Test_AUPRC,Test_F1
mimic_cohort_NF_30_days,MLP_2Layer,Node2Vec,0,10,0.001,24,0.582363562293753,0.5657321824153999,0.07278977366843889,0.09689213893967093
mimic_cohort_NF_30_days,MLP_2Layer,Node2Vec,1,10,0.001,37,0.5919586449423209,0.5321419442787765,0.043927195722436946,0.0761904761904762
mimic_cohort_NF_30_days,MLP_2Layer,Node2Vec,2,10,0.005,20,0.5589357311095079,0.5601616845271667,0.06850342051767948,0.09881061299176579
mimic_cohort_NF_30_days,MLP_2Layer,Node2Vec,3,10,0.0,30,0.5742351139731604,0.5030398832684825,0.05810579970721633,0.09824561403508772
mimic_cohort_NF_30_days,MLP_2Layer,Node2Vec,4,10,0.001,27,0.5830750431077479,0.5304878048780488,0.05473320778469798,0.09057301293900184
mimic_cohort_NF_30_days,MLP_2Layer,Node2Vec,0,50,0.005,6,0.6627310648514181,0.6503418379039034,0.12956233458764518,0.09689213893967093
mimic_cohort_NF_30_days,MLP_2Layer,Node2Vec,1,50,0.001,5,0.6625641809767225,0.5920486495697368,0.06458825785905843,0.0761904761904762
mimic_cohort_NF_30_days,MLP_2Layer,Node2Vec,2,50,0.001,7,0.6483624235808815,0.6788306072570032,0.12744066513232327,0.09881061299176579
mimic_cohort_NF_30_days,MLP_2Layer,Node2Vec,3,50,0.01,7,0.6476197943801476,0.6397998888271262,0.13717313562182112,0.09824561403508772
mimic_cohort_NF_30_days,MLP_2Layer,Node2Vec,4,50,0.001,5,0.6396958231798555,0.6826572092251535,0.09280640764049039,0.09057301293900184
mimic_cohort_NF_30_days,MLP_2Layer,Node2Vec,0,100,0.01,4,0.6836974666019661,0.6523661294018791,0.13021122965341658,0.09689213893967093
mimic_cohort_NF_30_days,MLP_2Layer,Node2Vec,1,100,0.01,4,0.6844768402054441,0.6290896310811962,0.06822347284586666,0.0761904761904762
mimic_cohort_NF_30_days,MLP_2Layer,Node2Vec,2,100,0.005,3,0.6544157824160386,0.6745064861816131,0.19814682207919532,0.0989010989010989
mimic_cohort_NF_30_days,MLP_2Layer,Node2Vec,3,100,0.01,3,0.6705152963146431,0.6581607837687604,0.11124058273694298,0.09824561403508772
mimic_cohort_NF_30_days,MLP_2Layer,Node2Vec,4,100,0.01,5,0.6683304119818164,0.6299568607930978,0.147174956724693,0.09065679925994449
mimic_cohort_NF_30_days,MLP_2Layer,Node2Vec,0,1000,0.01,3,0.6738398803924804,0.668846917729738,0.14878057655526478,0.09689213893967093
mimic_cohort_NF_30_days,MLP_2Layer,Node2Vec,1,1000,0.01,3,0.6881203910527448,0.6533292153020362,0.0710589550200637,0.0761904761904762
mimic_cohort_NF_30_days,MLP_2Layer,Node2Vec,2,1000,0.01,4,0.6860734477363498,0.6954220718180109,0.21599483017140866,0.09796672828096119
mimic_cohort_NF_30_days,MLP_2Layer,Node2Vec,3,1000,0.0,2,0.6625393202013098,0.673377570872707,0.14685915868694788,0.09824561403508772
mimic_cohort_NF_30_days,MLP_2Layer,Node2Vec,4,1000,0.01,2,0.6612265401222692,0.6177617388418782,0.1486700658406462,0.09057301293900184
