Cohort,Model,Feature_Type,Fold,Dimension,Selected_Threshold,Val_AUC_Best,Test_AUC,Test_AUPRC,Test_F1
mimic_cohort_NF_30_days,XGBoost,Node2Vec,0,10,0.0,0.5733805188047277,0.5614735314338095,0.06400349702344342,0.09689213893967093
mimic_cohort_NF_30_days,XGBoost,Node2Vec,1,10,0.001,0.5519847684473217,0.573943511970691,0.05913743440781215,0.0761904761904762
mimic_cohort_NF_30_days,XGBoost,Node2Vec,2,10,0.01,0.5773025133830786,0.5882872720436173,0.07328986009579143,0.09645669291338582
mimic_cohort_NF_30_days,XGBoost,Node2Vec,3,10,0.01,0.6040966294388729,0.5225993607559756,0.06484024671118936,0.09990917347865577
mimic_cohort_NF_30_days,XGBoost,Node2Vec,4,10,0.01,0.6015098399669389,0.5292434046789447,0.06189398434253685,0.0936007640878701
mimic_cohort_NF_30_days,RandomForest,Node2Vec,0,10,0.001,0.5917771090111059,0.612004430524788,0.07479794503774101,0.09689213893967093
mimic_cohort_NF_30_days,RandomForest,Node2Vec,1,10,0.001,0.5806625631688481,0.5901742353241884,0.05812651982392118,0.0761904761904762
mimic_cohort_NF_30_days,RandomForest,Node2Vec,2,10,0.01,0.5789779775997858,0.5928463996991915,0.06666809042854449,0.09805735430157261
mimic_cohort_NF_30_days,RandomForest,Node2Vec,3,10,0.01,0.6030692077905836,0.5548568649249582,0.06169683098132931,0.09850483729111698
mimic_cohort_NF_30_days,RandomForest,Node2Vec,4,10,0.01,0.6167774642668833,0.5333499253359881,0.0754133609424755,0.0896358543417367
mimic_cohort_NF_30_days,CatBoost,Node2Vec,0,10,0.0,0.5760514512909073,0.5285119547780919,0.07271351519842201,0.09689213893967093
mimic_cohort_NF_30_days,CatBoost,Node2Vec,1,10,0.005,0.5769988411541772,0.6511991991139132,0.07600433147218334,0.07632263660017347
mimic_cohort_NF_30_days,CatBoost,Node2Vec,2,10,0.001,0.5849100221988102,0.5689227298364354,0.07013945978045864,0.09881061299176579
mimic_cohort_NF_30_days,CatBoost,Node2Vec,3,10,0.01,0.5900354993062037,0.5338208727070595,0.0590381827940078,0.09876543209876543
mimic_cohort_NF_30_days,CatBoost,Node2Vec,4,10,0.01,0.5833368959571344,0.5159490625518499,0.058129043175350975,0.0914179104477612
mimic_cohort_NF_30_days,XGBoost,Node2Vec,0,50,0.005,0.6619821817707403,0.6456439538614315,0.10205005153096501,0.09923664122137404
mimic_cohort_NF_30_days,XGBoost,Node2Vec,1,50,0.001,0.6150447813208496,0.5882998210786402,0.05894603842126992,0.07625649913344887
mimic_cohort_NF_30_days,XGBoost,Node2Vec,2,50,0.01,0.6492954221441645,0.5878172588832488,0.08571874410256408,0.10348706411698538
mimic_cohort_NF_30_days,XGBoost,Node2Vec,3,50,0.01,0.6143578273327946,0.5647060867148416,0.08270612586342588,0.1022964509394572
mimic_cohort_NF_30_days,XGBoost,Node2Vec,4,50,0.01,0.6354367064255483,0.5844947735191638,0.08315148127972713,0.09930715935334873
mimic_cohort_NF_30_days,RandomForest,Node2Vec,0,50,0.0,0.6583119435090329,0.6192231303949278,0.11828381025652222,0.09689213893967093
mimic_cohort_NF_30_days,RandomForest,Node2Vec,1,50,0.0,0.6461924542988027,0.5836776859504131,0.05553471372215077,0.0761904761904762
mimic_cohort_NF_30_days,RandomForest,Node2Vec,2,50,0.01,0.6463757687624659,0.6179545027260762,0.08475852756592342,0.09899175068744272
mimic_cohort_NF_30_days,RandomForest,Node2Vec,3,50,0.0,0.6152813142068946,0.5898763201778765,0.07850934149877198,0.09824561403508772
mimic_cohort_NF_30_days,RandomForest,Node2Vec,4,50,0.0,0.6488321719179743,0.630952380952381,0.07224752958052419,0.09057301293900184
mimic_cohort_NF_30_days,CatBoost,Node2Vec,0,50,0.001,0.6435133194508538,0.6167405087464671,0.11853416327191335,0.09689213893967093
mimic_cohort_NF_30_days,CatBoost,Node2Vec,1,50,0.005,0.6229350222423866,0.6006326148078726,0.061925866656163606,0.0763888888888889
mimic_cohort_NF_30_days,CatBoost,Node2Vec,2,50,0.01,0.6622852627537207,0.6063169768753525,0.0760967325079921,0.09851301115241635
mimic_cohort_NF_30_days,CatBoost,Node2Vec,3,50,0.001,0.6070671257869525,0.5669382295719844,0.09699703536471102,0.09824561403508772
mimic_cohort_NF_30_days,CatBoost,Node2Vec,4,50,0.01,0.6357074658344377,0.5804919528787125,0.08329835040661555,0.0915032679738562
mimic_cohort_NF_30_days,XGBoost,Node2Vec,0,100,0.01,0.642402144204738,0.6088820563746085,0.09771228263412593,0.1111111111111111
mimic_cohort_NF_30_days,XGBoost,Node2Vec,1,100,0.001,0.6607905777289317,0.5554336712959018,0.04889940443543538,0.07645525629887055
mimic_cohort_NF_30_days,XGBoost,Node2Vec,2,100,0.0,0.6359030495679179,0.6177288964090993,0.08220481015286449,0.09881061299176579
mimic_cohort_NF_30_days,XGBoost,Node2Vec,3,100,0.0,0.6504871555968108,0.5900500277932185,0.08851798132584746,0.09824561403508772
mimic_cohort_NF_30_days,XGBoost,Node2Vec,4,100,0.001,0.6260509740213472,0.679006968641115,0.10699587761284275,0.09065679925994449
mimic_cohort_NF_30_days,RandomForest,Node2Vec,0,100,0.005,0.6574004398682977,0.5980349094797953,0.0749638633738578,0.09689213893967093
mimic_cohort_NF_30_days,RandomForest,Node2Vec,1,100,0.001,0.6489513512458677,0.5793537530885234,0.05385114895875566,0.0761904761904762
mimic_cohort_NF_30_days,RandomForest,Node2Vec,2,100,0.0,0.6392741516862518,0.6336905433352135,0.07861048060423124,0.09881061299176579
mimic_cohort_NF_30_days,RandomForest,Node2Vec,3,100,0.001,0.6402432569284698,0.6144820038910506,0.08522034684834248,0.09824561403508772
mimic_cohort_NF_30_days,RandomForest,Node2Vec,4,100,0.0,0.6459339774557166,0.6545337647254023,0.07722345830001785,0.09057301293900184
mimic_cohort_NF_30_days,CatBoost,Node2Vec,0,100,0.001,0.6342981222124013,0.5723015812390192,0.14334036060974775,0.09689213893967093
mimic_cohort_NF_30_days,CatBoost,Node2Vec,1,100,0.001,0.6459643132014395,0.5386917440572548,0.06127299807195928,0.0761904761904762
mimic_cohort_NF_30_days,CatBoost,Node2Vec,2,100,0.0,0.6252630159880191,0.643109607068998,0.08450146149552623,0.09881061299176579
mimic_cohort_NF_30_days,CatBoost,Node2Vec,3,100,0.0,0.640016924660767,0.5629863813229572,0.08557668007242021,0.09824561403508772
mimic_cohort_NF_30_days,CatBoost,Node2Vec,4,100,0.001,0.6241627834067234,0.6786129085780654,0.09596384140980918,0.09057301293900184
mimic_cohort_NF_30_days,XGBoost,Node2Vec,0,1000,0.001,0.68564101796966,0.6709953403101367,0.14237616635232994,0.09778597785977859
mimic_cohort_NF_30_days,XGBoost,Node2Vec,1,1000,0.0,0.6796023933101237,0.5890240265826021,0.07438311154226993,0.0761904761904762
mimic_cohort_NF_30_days,XGBoost,Node2Vec,2,1000,0.0,0.6716898231045757,0.6328633201729648,0.093951609199111,0.09881061299176579
mimic_cohort_NF_30_days,XGBoost,Node2Vec,3,1000,0.001,0.6934735333567744,0.5976671067259588,0.09075367704116175,0.09885260370697264
mimic_cohort_NF_30_days,XGBoost,Node2Vec,4,1000,0.01,0.687532954270161,0.6383150821304132,0.09113278318300105,0.12431444241316271
mimic_cohort_NF_30_days,RandomForest,Node2Vec,0,1000,0.0,0.6860898544272948,0.6615804751355894,0.1455844592973993,0.09689213893967093
mimic_cohort_NF_30_days,RandomForest,Node2Vec,1,1000,0.001,0.672420987915399,0.5903446366192383,0.05298122029687441,0.0763888888888889
mimic_cohort_NF_30_days,RandomForest,Node2Vec,2,1000,0.001,0.6564257043387794,0.6789998119947358,0.10975594387694028,0.09926470588235294
mimic_cohort_NF_30_days,RandomForest,Node2Vec,3,1000,0.001,0.6642167926775754,0.6018534602556975,0.10243261005665222,0.09824561403508772
mimic_cohort_NF_30_days,RandomForest,Node2Vec,4,1000,0.0,0.66909815741097,0.6773062883690061,0.08617600023501876,0.09057301293900184
mimic_cohort_NF_30_days,CatBoost,Node2Vec,0,1000,0.005,0.6606461599625587,0.6451856237109465,0.10222009483780523,0.09706959706959707
mimic_cohort_NF_30_days,CatBoost,Node2Vec,1,1000,0.0,0.6691353968255793,0.5817606713811025,0.09607872934086767,0.0761904761904762
mimic_cohort_NF_30_days,CatBoost,Node2Vec,2,1000,0.0,0.6545271181188118,0.6266027448768565,0.08125832095188268,0.09881061299176579
mimic_cohort_NF_30_days,CatBoost,Node2Vec,3,1000,0.0,0.6696860982999505,0.6324520566981656,0.14872338195939913,0.09824561403508772
mimic_cohort_NF_30_days,CatBoost,Node2Vec,4,1000,0.001,0.6355774300656948,0.6163928986228637,0.07231597440301867,0.09057301293900184
