Model,Dimension,Test_AUC_Mean,Test_AUC_Std,Test_AUPRC_Mean,Test_AUPRC_Std,Test_F1_Mean,Test_F1_Std
CatBoost,10,0.55968076379747,0.05480357710899428,0.06720490648408455,0.008146363049959613,0.09244174621562737,0.00950304421006237
CatBoost,50,0.5942240565760778,0.020170436197370984,0.08737042964147912,0.021534586677049945,0.09230858419798402,0.009338595238911142
CatBoost,100,0.599140444453259,0.059014078943558756,0.09413106833189253,0.03029221505257588,0.0921423710192005,0.009502646408034887
CatBoost,1000,0.620478799057987,0.02401601959376228,0.10011930029859469,0.029630464804923564,0.09217786264518572,0.009525126219640802
RandomForest,10,0.5766463711618229,0.031800161943446675,0.0673405494428023,0.007713383427272906,0.09185613221291469,0.009465255025622815
RandomForest,50,0.608336804040335,0.020441001186230347,0.08186678452477851,0.023085397890617646,0.09217859855833588,0.009534714779250646
RandomForest,100,0.616018994903997,0.029435525923867358,0.073973859617041,0.01187902786951301,0.0921423710192005,0.009502646408034887
RandomForest,1000,0.6420169344748534,0.042658337046038976,0.09938604675257699,0.033834238883774,0.09227287213700046,0.009501150664753445
XGBoost,10,0.5551094161766076,0.028381109481350104,0.06463300451615464,0.0053170456990857175,0.09260984912201177,0.009447143341184704
XGBoost,50,0.5941923788114651,0.030356687631676885,0.0825144882395904,0.015393341098486765,0.09611676295292285,0.011256689471607649
XGBoost,100,0.6102203241027886,0.04527192911847156,0.0848660712322232,0.02218543078329599,0.09505587873935592,0.012721811806045744
XGBoost,1000,0.6257729751844151,0.03314009962043088,0.09851946946357473,0.02569878231185659,0.09919082263243119,0.01704732198605076
