Cohort,Model,Feature_Type,Fold,Dimension,Selected_Threshold,Best_Epoch,Val_AUC_Best,Test_AUC,Test_AUPRC,Test_F1
mimic_cohort_aplasia_45_days,MLP_3Layer,Node2Vec,0,10,0.001,44,0.6585048279573181,0.6894952058657642,0.3324224961102437,0.35368043087971274
mimic_cohort_aplasia_45_days,MLP_3Layer,Node2Vec,1,10,0.001,49,0.6493262473707309,0.6655549410526884,0.3169439993342006,0.35500878734622143
mimic_cohort_aplasia_45_days,MLP_3Layer,Node2Vec,2,10,0.0,49,0.6618415625755506,0.6515791351930054,0.3406894431318682,0.3615720524017467
mimic_cohort_aplasia_45_days,MLP_3Layer,Node2Vec,3,10,0.001,44,0.6595100105374078,0.6413142062460319,0.3114661797142042,0.36261682242990656
mimic_cohort_aplasia_45_days,MLP_3Layer,Node2Vec,4,10,0.0,49,0.660248115201253,0.6115882606819162,0.3004999754185059,0.38817005545286504
mimic_cohort_aplasia_45_days,MLP_3Layer,Node2Vec,0,50,0.005,30,0.7568112145697435,0.7416278905809363,0.44935928163040506,0.3552750225428314
mimic_cohort_aplasia_45_days,MLP_3Layer,Node2Vec,1,50,0.001,13,0.7574504240970912,0.6720060970674725,0.31141141674529216,0.35500878734622143
mimic_cohort_aplasia_45_days,MLP_3Layer,Node2Vec,2,50,0.005,21,0.7543158433488859,0.7305689380571913,0.42529736338924684,0.3618881118881119
mimic_cohort_aplasia_45_days,MLP_3Layer,Node2Vec,3,50,0.005,22,0.7489133298208642,0.7083282945853615,0.37881599806176924,0.36329588014981273
mimic_cohort_aplasia_45_days,MLP_3Layer,Node2Vec,4,50,0.005,22,0.7625659207182567,0.7052726226442239,0.43319664568143534,0.38817005545286504
mimic_cohort_aplasia_45_days,MLP_3Layer,Node2Vec,0,100,0.0,8,0.7649505737661979,0.7893753525098702,0.4684688985247198,0.35368043087971274
mimic_cohort_aplasia_45_days,MLP_3Layer,Node2Vec,1,100,0.0,6,0.7760844280550439,0.7331184072085682,0.3845809923282609,0.35500878734622143
mimic_cohort_aplasia_45_days,MLP_3Layer,Node2Vec,2,100,0.001,8,0.7637163539316526,0.7728014697621549,0.5056476982533964,0.3615720524017467
mimic_cohort_aplasia_45_days,MLP_3Layer,Node2Vec,3,100,0.01,9,0.7700869336143309,0.7212791365601474,0.43128050060544904,0.36707663197729423
mimic_cohort_aplasia_45_days,MLP_3Layer,Node2Vec,4,100,0.0,6,0.7781970117754226,0.6696950079125306,0.3564769233358064,0.38817005545286504
mimic_cohort_aplasia_45_days,MLP_3Layer,Node2Vec,0,1000,0.0,5,0.7901590898485676,0.7851804850535815,0.4789507697735254,0.35368043087971274
mimic_cohort_aplasia_45_days,MLP_3Layer,Node2Vec,1,1000,0.0,7,0.8025390094906447,0.7388040575174684,0.46167374292337915,0.35500878734622143
mimic_cohort_aplasia_45_days,MLP_3Layer,Node2Vec,2,1000,0.0,6,0.7823800891053677,0.7793242001890073,0.5466187134425713,0.3615720524017467
mimic_cohort_aplasia_45_days,MLP_3Layer,Node2Vec,3,1000,0.0,5,0.7902552222153352,0.7657246727333193,0.5110685419421752,0.36261682242990656
mimic_cohort_aplasia_45_days,MLP_3Layer,Node2Vec,4,1000,0.0,4,0.785871643234,0.7043087325564666,0.3632567870759053,0.38817005545286504
