Cohort,Model,Feature_Type,Fold,Dimension,Selected_Threshold,Val_AUC_Best,Test_AUC,Test_AUPRC,Test_F1
mimic_cohort_aplasia_45_days,XGBoost,Node2Vec,0,10,0.0,0.615400755025529,0.6373307952622673,0.2927156968935084,0.35368043087971274
mimic_cohort_aplasia_45_days,XGBoost,Node2Vec,1,10,0.0,0.6098770440101194,0.6274111743599428,0.2774014518142115,0.35500878734622143
mimic_cohort_aplasia_45_days,XGBoost,Node2Vec,2,10,0.0,0.6133172798865908,0.6271998519664016,0.2954658123596936,0.3615720524017467
mimic_cohort_aplasia_45_days,XGBoost,Node2Vec,3,10,0.0,0.6259426847662142,0.6238209329745743,0.28164622139665485,0.36261682242990656
mimic_cohort_aplasia_45_days,XGBoost,Node2Vec,4,10,0.0,0.630909399478829,0.6105884045461085,0.31200214019884015,0.38817005545286504
mimic_cohort_aplasia_45_days,RandomForest,Node2Vec,0,10,0.001,0.6279315214614533,0.6016144952058657,0.27515020229511616,0.35368043087971274
mimic_cohort_aplasia_45_days,RandomForest,Node2Vec,1,10,0.001,0.6268236075951132,0.6218401812933336,0.2796511531023351,0.35500878734622143
mimic_cohort_aplasia_45_days,RandomForest,Node2Vec,2,10,0.0,0.6149149153305731,0.6406550486726541,0.32533791045881366,0.3615720524017467
mimic_cohort_aplasia_45_days,RandomForest,Node2Vec,3,10,0.001,0.6209580776462323,0.5960108232306437,0.2647156062513096,0.36261682242990656
mimic_cohort_aplasia_45_days,RandomForest,Node2Vec,4,10,0.0,0.6415515443770781,0.6103438354193642,0.30932339894976724,0.38817005545286504
mimic_cohort_aplasia_45_days,CatBoost,Node2Vec,0,10,0.001,0.6391695135994679,0.6312394247038917,0.27897299700025047,0.35368043087971274
mimic_cohort_aplasia_45_days,CatBoost,Node2Vec,1,10,0.001,0.6382923060004423,0.6300415463889713,0.2902296415058252,0.35500878734622143
mimic_cohort_aplasia_45_days,CatBoost,Node2Vec,2,10,0.0,0.6270167467012708,0.6658538036043539,0.3476548851099896,0.3615720524017467
mimic_cohort_aplasia_45_days,CatBoost,Node2Vec,3,10,0.0,0.634549525816649,0.6433511201136741,0.30035966987697976,0.36261682242990656
mimic_cohort_aplasia_45_days,CatBoost,Node2Vec,4,10,0.0,0.6556646719691902,0.6035678319666236,0.3048378517494864,0.38817005545286504
mimic_cohort_aplasia_45_days,XGBoost,Node2Vec,0,50,0.0,0.711934282445197,0.7223561759729272,0.3668867863031974,0.35368043087971274
mimic_cohort_aplasia_45_days,XGBoost,Node2Vec,1,50,0.0,0.7263177101194693,0.6825882860765642,0.3335630759583609,0.35500878734622143
mimic_cohort_aplasia_45_days,XGBoost,Node2Vec,2,50,0.005,0.7252086045237557,0.672677227277834,0.3876783059265402,0.3618881118881119
mimic_cohort_aplasia_45_days,XGBoost,Node2Vec,3,50,0.0,0.7142954916423893,0.6878079934697826,0.3651576861335293,0.36261682242990656
mimic_cohort_aplasia_45_days,XGBoost,Node2Vec,4,50,0.005,0.7106689445388557,0.6756797583081571,0.3562202533305378,0.38817005545286504
mimic_cohort_aplasia_45_days,RandomForest,Node2Vec,0,50,0.001,0.7172491539927851,0.7322053017484489,0.3813656824384085,0.35368043087971274
mimic_cohort_aplasia_45_days,RandomForest,Node2Vec,1,50,0.0,0.7206036190382396,0.7019046591307632,0.3483847286307052,0.35500878734622143
mimic_cohort_aplasia_45_days,RandomForest,Node2Vec,2,50,0.005,0.7202631644027128,0.6671854451251347,0.36133567252010285,0.3615720524017467
