Model,Dimension,Test_AUC_Mean,Test_AUC_Std,Test_AUPRC_Mean,Test_AUPRC_Std,Test_F1_Mean,Test_F1_Std
CatBoost,10,0.6348107453555029,0.022628680327493517,0.30441100904850626,0.026147810629873352,0.36420962970209053,0.013956319169812511
CatBoost,50,0.6960046264785296,0.019794131139767513,0.37093588523989185,0.024593334255728797,0.36420962970209053,0.013956319169812511
CatBoost,100,0.7387671788156354,0.029486936006096868,0.4203849313261442,0.04161551357062422,0.36420962970209053,0.013956319169812511
CatBoost,1000,0.7420408036804604,0.031902548826764215,0.41709272135220826,0.036943979852565575,0.36420962970209053,0.013956319169812511
RandomForest,10,0.6140928767643723,0.017764400364721454,0.29083565421146834,0.02542432773932955,0.36420962970209053,0.013956319169812511
RandomForest,50,0.6888162427216042,0.02920488758498542,0.35828447028973287,0.02518942579945073,0.36420962970209053,0.013956319169812511
RandomForest,100,0.7324316260331685,0.017292210909852588,0.4123848957967226,0.030522946241574856,0.36420962970209053,0.013956319169812511
RandomForest,1000,0.7385215266072535,0.02482259623090152,0.4033171511995749,0.018975785295812144,0.36420962970209053,0.013956319169812511
XGBoost,10,0.6252702318218588,0.009636140029304043,0.2918462645325817,0.01353523048769584,0.36420962970209053,0.013956319169812511
XGBoost,50,0.688221888221053,0.019974983660236565,0.3619012215304331,0.01959108465559559,0.3642728415993635,0.013942094814842683
XGBoost,100,0.7220419011690618,0.019981405663564558,0.3940856017116864,0.030946232522092658,0.36420962970209053,0.013956319169812511
XGBoost,1000,0.7364785022592091,0.031094276080417354,0.4286674528162808,0.045445805209118985,0.3642720762785806,0.01390546438920258
