Cohort,Model,Feature_Type,Fold,Dimension,Selected_Threshold,Best_Epoch,Val_AUC_Best,Test_AUC,Test_AUPRC,Test_F1
mimic_cohort_NF_30_days,MLP_2Layer,Word2Vec,0,10,0.01,35,0.6788844786608682,0.6423688029944237,0.13312513690509245,0.09689213893967093
mimic_cohort_NF_30_days,MLP_2Layer,Word2Vec,1,10,0.005,22,0.6641027629403693,0.6333070631336798,0.06406152167407675,0.0761904761904762
mimic_cohort_NF_30_days,MLP_2Layer,Word2Vec,2,10,0.01,28,0.6622810668113829,0.7104812934762174,0.12597994672815307,0.09908256880733946
mimic_cohort_NF_30_days,MLP_2Layer,Word2Vec,3,10,0.005,27,0.6642084393102219,0.6541741939966649,0.10113972019365534,0.09824561403508772
mimic_cohort_NF_30_days,MLP_2Layer,Word2Vec,4,10,0.01,39,0.6775807646815727,0.6537663846026215,0.09388809852528808,0.09057301293900184
mimic_cohort_NF_30_days,MLP_2Layer,Word2Vec,0,50,0.0,10,0.6934514242596137,0.6748338553204493,0.12826901821573183,0.09689213893967093
mimic_cohort_NF_30_days,MLP_2Layer,Word2Vec,1,50,0.005,7,0.6862895621817305,0.6926280139729062,0.10387429015298338,0.07645525629887055
mimic_cohort_NF_30_days,MLP_2Layer,Word2Vec,2,50,0.0,12,0.6767637126401178,0.7386538823087047,0.12966261712072374,0.09881061299176579
mimic_cohort_NF_30_days,MLP_2Layer,Word2Vec,3,50,0.0,8,0.6832673281661524,0.665882087270706,0.13896668565901632,0.09824561403508772
mimic_cohort_NF_30_days,MLP_2Layer,Word2Vec,4,50,0.01,10,0.6889259401764211,0.6772648083623694,0.10451206242597023,0.0914179104477612
mimic_cohort_NF_30_days,MLP_2Layer,Word2Vec,0,100,0.005,6,0.6899324976190758,0.6686750439233061,0.1398157466865843,0.09724770642201835
mimic_cohort_NF_30_days,MLP_2Layer,Word2Vec,1,100,0.001,5,0.6848990126707951,0.6477698730510352,0.08911627050312372,0.07645525629887055
mimic_cohort_NF_30_days,MLP_2Layer,Word2Vec,2,100,0.0,7,0.6771606427167787,0.7290656138371874,0.14628305904564917,0.09881061299176579
mimic_cohort_NF_30_days,MLP_2Layer,Word2Vec,3,100,0.01,9,0.683580336885068,0.680855683713174,0.12997061631206358,0.0989399293286219
mimic_cohort_NF_30_days,MLP_2Layer,Word2Vec,4,100,0.01,6,0.6812947999942999,0.686618549858968,0.10767552690960475,0.09065679925994449
mimic_cohort_NF_30_days,MLP_2Layer,Word2Vec,0,1000,0.01,10,0.6860585186658841,0.597834390038958,0.12741328354363865,0.09833024118738404
mimic_cohort_NF_30_days,MLP_2Layer,Word2Vec,1,1000,0.001,6,0.6724777994756503,0.663191190253046,0.08082873348301875,0.07632263660017347
mimic_cohort_NF_30_days,MLP_2Layer,Word2Vec,2,1000,0.01,9,0.6639682757961783,0.7371310396691106,0.12499731123203661,0.0997229916897507
mimic_cohort_NF_30_days,MLP_2Layer,Word2Vec,3,1000,0.005,11,0.6710807550278055,0.6433522095608671,0.10612729317124017,0.09824561403508772
mimic_cohort_NF_30_days,MLP_2Layer,Word2Vec,4,1000,0.01,9,0.6713586422128169,0.6768500082960014,0.09831329893321457,0.09074074074074075
