Cohort,Model,Feature_Type,Fold,Dimension,Selected_Threshold,Best_Epoch,Val_AUC_Best,Test_AUC,Test_AUPRC,Test_F1
mimic_cohort_NF_30_days,MLP_3Layer,Word2Vec,0,10,0.0,47,0.6642804613996979,0.6162248873271713,0.10451924991437969,0.09689213893967093
mimic_cohort_NF_30_days,MLP_3Layer,Word2Vec,1,10,0.001,33,0.6719564609425493,0.6410816222203289,0.06557289762518292,0.0761904761904762
mimic_cohort_NF_30_days,MLP_3Layer,Word2Vec,2,10,0.01,31,0.6528325942877786,0.6959202857680015,0.12594730179344568,0.09908256880733946
mimic_cohort_NF_30_days,MLP_3Layer,Word2Vec,3,10,0.0,46,0.659266240900287,0.6429005697609783,0.08961786502698993,0.09824561403508772
mimic_cohort_NF_30_days,MLP_3Layer,Word2Vec,4,10,0.01,39,0.6687543642141565,0.6533515845362535,0.10113657458719277,0.09057301293900184
mimic_cohort_NF_30_days,MLP_3Layer,Word2Vec,0,50,0.01,12,0.6962178010659414,0.6425979680696661,0.13916021629688632,0.0969807868252516
mimic_cohort_NF_30_days,MLP_3Layer,Word2Vec,1,50,0.001,13,0.6860156768923015,0.6604434693703672,0.08167931381145124,0.0763888888888889
mimic_cohort_NF_30_days,MLP_3Layer,Word2Vec,2,50,0.0,26,0.6750062625755427,0.7575108103026885,0.14247904200750972,0.09881061299176579
mimic_cohort_NF_30_days,MLP_3Layer,Word2Vec,3,50,0.0,24,0.6863439985646395,0.7045494024458032,0.14101389837712722,0.09824561403508772
mimic_cohort_NF_30_days,MLP_3Layer,Word2Vec,4,50,0.01,15,0.6922783691733287,0.7104280736684918,0.11473860143381692,0.09133271202236719
mimic_cohort_NF_30_days,MLP_3Layer,Word2Vec,0,100,0.01,13,0.691028718587439,0.6593652127415781,0.148949476731678,0.09733700642791551
mimic_cohort_NF_30_days,MLP_3Layer,Word2Vec,1,100,0.001,11,0.6844468761219714,0.6499211894010395,0.07257577299360518,0.07625649913344887
mimic_cohort_NF_30_days,MLP_3Layer,Word2Vec,2,100,0.0,19,0.6785416715107115,0.7418123707463808,0.13288032908910688,0.09881061299176579
mimic_cohort_NF_30_days,MLP_3Layer,Word2Vec,3,100,0.01,15,0.6893936202153989,0.6337635491939966,0.10000458098224355,0.09920283436669619
mimic_cohort_NF_30_days,MLP_3Layer,Word2Vec,4,100,0.001,7,0.6719126302139,0.6894391903102705,0.09750902502242449,0.09057301293900184
mimic_cohort_NF_30_days,MLP_3Layer,Word2Vec,0,1000,0.01,6,0.68030137617487,0.6216866549537851,0.11266200480389135,0.09706959706959707
mimic_cohort_NF_30_days,MLP_3Layer,Word2Vec,1,1000,0.005,7,0.6792103595445592,0.6525837096361932,0.07665990103600326,0.07645525629887055
mimic_cohort_NF_30_days,MLP_3Layer,Word2Vec,2,1000,0.01,11,0.674493910357457,0.7468321112991163,0.13343865872681976,0.1
mimic_cohort_NF_30_days,MLP_3Layer,Word2Vec,3,1000,0.005,14,0.6743811111509858,0.6771383407448582,0.11398850193309314,0.0984182776801406
mimic_cohort_NF_30_days,MLP_3Layer,Word2Vec,4,1000,0.01,12,0.6623701423624472,0.6859133897461422,0.10416619228677206,0.09254013220018886
