Cohort,Model,Feature_Type,Fold,Dimension,Selected_Threshold,Val_AUC_Best,Test_AUC,Test_AUPRC,Test_F1
mimic_cohort_NF_30_days,XGBoost,Word2Vec,0,10,0.0,0.5759343148357872,0.5669925903292338,0.07116220058950275,0.08849557522123894
mimic_cohort_NF_30_days,XGBoost,Word2Vec,1,10,0.01,0.6068955133995785,0.6098981852262078,0.06610542017477036,0.10810810810810811
mimic_cohort_NF_30_days,XGBoost,Word2Vec,2,10,0.001,0.5950909661229611,0.5631133671742808,0.06177062631781797,0.048
mimic_cohort_NF_30_days,XGBoost,Word2Vec,3,10,0.0,0.5943595769682728,0.5302164396887159,0.05754002240201926,0.047244094488188976
mimic_cohort_NF_30_days,XGBoost,Word2Vec,4,10,0.001,0.5757856412876852,0.6027044964327195,0.07270107785345555,0.10084033613445378
mimic_cohort_NF_30_days,RandomForest,Word2Vec,0,10,0.005,0.5493771234428086,0.5311378045985792,0.052422140980446376,0.0
mimic_cohort_NF_30_days,RandomForest,Word2Vec,1,10,0.005,0.5948358928033725,0.5998551588992076,0.06487860584135757,0.0
mimic_cohort_NF_30_days,RandomForest,Word2Vec,2,10,0.01,0.6205301129234629,0.6236228614401202,0.07815131954199199,0.0
mimic_cohort_NF_30_days,RandomForest,Word2Vec,3,10,0.005,0.6092496222931006,0.5961645358532518,0.0755310867636236,0.0
mimic_cohort_NF_30_days,RandomForest,Word2Vec,4,10,0.01,0.5761529126213591,0.6015326862452297,0.06203117028794054,0.0
mimic_cohort_NF_30_days,CatBoost,Word2Vec,0,10,0.005,0.5748301245753114,0.5442766022458178,0.056022950271979434,0.08695652173913043
mimic_cohort_NF_30_days,CatBoost,Word2Vec,1,10,0.005,0.6142728093947605,0.6284719263866406,0.06463433813450331,0.12844036697247707
mimic_cohort_NF_30_days,CatBoost,Word2Vec,2,10,0.005,0.6205928481806775,0.6097950742620795,0.07502155733063323,0.11055276381909548
mimic_cohort_NF_30_days,CatBoost,Word2Vec,3,10,0.005,0.6320966929662581,0.5734348943857699,0.06680290734589095,0.0995850622406639
