Model,Feature_Type,Dimension,Test_AUC_Mean,Test_AUC_Std,Test_AUPRC_Mean,Test_AUPRC_Std,Test_F1_Mean,Test_F1_Std
CatBoost,Word2Vec,10,0.6114388495108405,0.04786846884460933,0.07138364302832687,0.007824535859721718,0.09434302716866443,0.010143884914542184
CatBoost,Word2Vec,50,0.6140984564576746,0.026909725368947042,0.07275409037576008,0.004059389475243425,0.09397751665028489,0.007870880475520491
CatBoost,Word2Vec,100,0.6359670976531094,0.02348068634601999,0.07854536602192326,0.006135307610787893,0.09474797747824534,0.009365447922007896
CatBoost,Word2Vec,1000,0.6307072591480525,0.028775866597133243,0.07373014399011521,0.013031246510294527,0.09377002383432459,0.010255423680531731
RandomForest,Word2Vec,10,0.5876344627476578,0.03188677878323505,0.06414634229813497,0.011488506899612757,0.10055111543546118,0.009255359595908442
RandomForest,Word2Vec,50,0.5988601346355401,0.031838730580589225,0.0676531782511367,0.013085355191851908,0.10142245590029364,0.013273160147746378
RandomForest,Word2Vec,100,0.613764850492091,0.021287352755904286,0.07592135145192881,0.011226089461068194,0.10165799371805653,0.007144799327338834
RandomForest,Word2Vec,1000,0.616930111661508,0.031872648203117,0.06856722813845535,0.008770458736426498,0.1059797948493368,0.014219779975684785
XGBoost,Word2Vec,10,0.5944229509937762,0.04093986208713251,0.06277585587533183,0.006678581744784244,0.0996969000671867,0.011588098823845308
XGBoost,Word2Vec,50,0.5995109917264915,0.025442073474131462,0.06836345465210049,0.008287349455315906,0.09883258640012596,0.008734387649186309
XGBoost,Word2Vec,100,0.6289889404723392,0.026152376017381546,0.07669227544851775,0.011064705277920455,0.10633935517676311,0.011035652960663896
XGBoost,Word2Vec,1000,0.6235122664144838,0.029698677158535244,0.07240818426489828,0.008055828928949238,0.10424213294993404,0.014162194705035443
