Cohort,Model,Feature_Type,Fold,Dimension,Selected_Threshold,Best_Epoch,Val_AUC_Best,Test_AUC,Test_AUPRC,Test_F1
mimic_cohort_aplasia_45_days,MLP_2Layer,Word2Vec,0,10,0.005,48,0.7323111120378641,0.7657007896221095,0.40083046392580035,0.35368043087971274
mimic_cohort_aplasia_45_days,MLP_2Layer,Word2Vec,1,10,0.005,43,0.7532099890103708,0.753878112606901,0.39760616535985754,0.35500878734622143
mimic_cohort_aplasia_45_days,MLP_2Layer,Word2Vec,2,10,0.005,46,0.7494640415673826,0.7820998301578804,0.47129923349943076,0.3615720524017467
mimic_cohort_aplasia_45_days,MLP_2Layer,Word2Vec,3,10,0.0,43,0.7354413314324676,0.758121202043716,0.44351247685174605,0.36261682242990656
mimic_cohort_aplasia_45_days,MLP_2Layer,Word2Vec,4,10,0.005,36,0.7400741829124601,0.7357538483671414,0.4307650433395671,0.3903345724907063
mimic_cohort_aplasia_45_days,MLP_2Layer,Word2Vec,0,50,0.005,32,0.7884533872977402,0.7814861816130853,0.4611061497061896,0.35799086757990867
mimic_cohort_aplasia_45_days,MLP_2Layer,Word2Vec,1,50,0.001,26,0.7836391124081677,0.7596177192651146,0.42794816539551594,0.35532102022867196
mimic_cohort_aplasia_45_days,MLP_2Layer,Word2Vec,2,50,0.001,33,0.7796258925764424,0.8075100616586373,0.5042673056797151,0.3618881118881119
mimic_cohort_aplasia_45_days,MLP_2Layer,Word2Vec,3,50,0.005,22,0.7833142213682102,0.7591604438129214,0.42282463305876367,0.36397748592870544
mimic_cohort_aplasia_45_days,MLP_2Layer,Word2Vec,4,50,0.001,22,0.7887600442291909,0.7316717019133937,0.4262411873022912,0.391425908667288
mimic_cohort_aplasia_45_days,MLP_2Layer,Word2Vec,0,100,0.001,36,0.7921558332650891,0.7881345177664975,0.47670275803016093,0.3614678899082569
mimic_cohort_aplasia_45_days,MLP_2Layer,Word2Vec,1,100,0.001,24,0.789091198075223,0.7764521002508971,0.46422417835658647,0.35563380281690143
mimic_cohort_aplasia_45_days,MLP_2Layer,Word2Vec,2,100,0.0,27,0.7783933623080793,0.8030360104945247,0.5045144668028088,0.3615720524017467
mimic_cohort_aplasia_45_days,MLP_2Layer,Word2Vec,3,100,0.0,21,0.7781733610198557,0.7789060374278199,0.44148046891316356,0.36261682242990656
mimic_cohort_aplasia_45_days,MLP_2Layer,Word2Vec,4,100,0.0,20,0.7883395986443258,0.7390663213926054,0.4413653934890939,0.38817005545286504
mimic_cohort_aplasia_45_days,MLP_2Layer,Word2Vec,0,1000,0.005,42,0.7741220046562723,0.778489847715736,0.4696099898916454,0.35916134913400183
mimic_cohort_aplasia_45_days,MLP_2Layer,Word2Vec,1,1000,0.005,23,0.7698742010195784,0.7641500526074407,0.4391452002398609,0.3594306049822064
mimic_cohort_aplasia_45_days,MLP_2Layer,Word2Vec,2,1000,0.005,38,0.7657800381210697,0.7941275600229981,0.4808913973725415,0.36507936507936506
mimic_cohort_aplasia_45_days,MLP_2Layer,Word2Vec,3,1000,0.001,37,0.7656627719580983,0.762425552498715,0.42561587692874814,0.36261682242990656
mimic_cohort_aplasia_45_days,MLP_2Layer,Word2Vec,4,1000,0.001,46,0.7791218747291331,0.7217954251186881,0.4054146330433483,0.3917910447761194
