Cohort,Model,Feature_Type,Fold,Dimension,Selected_Threshold,Best_Epoch,Val_AUC_Best,Test_AUC,Test_AUPRC,Test_F1
mimic_cohort_aplasia_45_days,MLP_1Layer,Word2Vec,0,10,0.001,48,0.7433775047872802,0.7735617597292723,0.4306173820275597,0.35368043087971274
mimic_cohort_aplasia_45_days,MLP_1Layer,Word2Vec,1,10,0.005,43,0.7570259231952364,0.7507486443467236,0.38196450127974846,0.35594713656387666
mimic_cohort_aplasia_45_days,MLP_1Layer,Word2Vec,2,10,0.005,46,0.7493149418665723,0.7852521527653866,0.46302424669235986,0.3615720524017467
mimic_cohort_aplasia_45_days,MLP_1Layer,Word2Vec,3,10,0.001,38,0.7452904502159136,0.7608194515826707,0.4440569582132744,0.36261682242990656
mimic_cohort_aplasia_45_days,MLP_1Layer,Word2Vec,4,10,0.005,33,0.7418374477260009,0.7365271184002301,0.42399657074583497,0.39106145251396646
mimic_cohort_aplasia_45_days,MLP_1Layer,Word2Vec,0,50,0.0,34,0.7915523708571514,0.7948322053017485,0.4774042557649608,0.35368043087971274
mimic_cohort_aplasia_45_days,MLP_1Layer,Word2Vec,1,50,0.001,25,0.7796364880255382,0.7612229206571883,0.44494752316905806,0.35532102022867196
mimic_cohort_aplasia_45_days,MLP_1Layer,Word2Vec,2,50,0.0,34,0.7795396871766682,0.7958722417177184,0.5171762646135554,0.3615720524017467
mimic_cohort_aplasia_45_days,MLP_1Layer,Word2Vec,3,50,0.001,31,0.7825704043471973,0.7528456329171327,0.4007257416296171,0.36329588014981273
mimic_cohort_aplasia_45_days,MLP_1Layer,Word2Vec,4,50,0.0,22,0.7857478979960572,0.7251834268450582,0.40111295717352335,0.38817005545286504
mimic_cohort_aplasia_45_days,MLP_1Layer,Word2Vec,0,100,0.001,44,0.7937183112287571,0.7888113367174281,0.46662712070491014,0.3594890510948905
mimic_cohort_aplasia_45_days,MLP_1Layer,Word2Vec,1,100,0.001,19,0.7808689365095938,0.7695996438880945,0.44211125284674635,0.35563380281690143
mimic_cohort_aplasia_45_days,MLP_1Layer,Word2Vec,2,100,0.001,35,0.777580890770806,0.7869770085317578,0.49812414247170156,0.3631578947368421
mimic_cohort_aplasia_45_days,MLP_1Layer,Word2Vec,3,100,0.001,36,0.7819686357156139,0.7644095595126522,0.420743204076517,0.36363636363636365
mimic_cohort_aplasia_45_days,MLP_1Layer,Word2Vec,4,100,0.0,27,0.7891660041744307,0.7139692130628686,0.40129437706753973,0.38817005545286504
mimic_cohort_aplasia_45_days,MLP_1Layer,Word2Vec,0,1000,0.005,37,0.7764610843300782,0.7735265087422447,0.42256217396050333,0.3594890510948905
mimic_cohort_aplasia_45_days,MLP_1Layer,Word2Vec,1,1000,0.001,29,0.7686602529317814,0.7562117247147059,0.4172542171151475,0.35563380281690143
mimic_cohort_aplasia_45_days,MLP_1Layer,Word2Vec,2,1000,0.005,36,0.760709303323337,0.7979803987655055,0.4933942661383121,0.36475770925110135
mimic_cohort_aplasia_45_days,MLP_1Layer,Word2Vec,3,1000,0.0,39,0.7627933944916218,0.7658531608066028,0.41759898742418555,0.36261682242990656
mimic_cohort_aplasia_45_days,MLP_1Layer,Word2Vec,4,1000,0.001,45,0.7809997458574433,0.7224068479355488,0.40517378149810857,0.3951081843838194
