Cohort,Model,Feature_Type,Fold,Dimension,Selected_Threshold,Val_AUC_Best,Test_AUC,Test_AUPRC,Test_F1
mimic_cohort_aplasia_45_days,XGBoost,Word2Vec,0,10,0.01,0.6890977606380065,0.701522842639594,0.3373346163233557,0.36822429906542054
mimic_cohort_aplasia_45_days,XGBoost,Word2Vec,1,10,0.01,0.6753339152873137,0.7114043488817547,0.36598785758806845,0.3682771194165907
mimic_cohort_aplasia_45_days,XGBoost,Word2Vec,2,10,0.005,0.6734747435947526,0.6848800861767019,0.33575080543217073,0.36475770925110135
mimic_cohort_aplasia_45_days,XGBoost,Word2Vec,3,10,0.01,0.689145178619393,0.6922635063639387,0.39042311120597967,0.36867239732569246
mimic_cohort_aplasia_45_days,XGBoost,Word2Vec,4,10,0.01,0.6781851540628439,0.6820385556035102,0.37138193653004725,0.4066147859922179
mimic_cohort_aplasia_45_days,RandomForest,Word2Vec,0,10,0.01,0.7030857327290948,0.6987732656514383,0.3287226266663269,0.3678804855275444
mimic_cohort_aplasia_45_days,RandomForest,Word2Vec,1,10,0.005,0.676784912342578,0.6950758086707853,0.34217967683005623,0.36462093862815886
mimic_cohort_aplasia_45_days,RandomForest,Word2Vec,2,10,0.005,0.6771611630472405,0.6806769893666937,0.3522237147294627,0.3686553873552983
mimic_cohort_aplasia_45_days,RandomForest,Word2Vec,3,10,0.01,0.6887170964276121,0.6874111920669952,0.3511755337909539,0.36973180076628354
mimic_cohort_aplasia_45_days,RandomForest,Word2Vec,4,10,0.005,0.6887608431393701,0.6794633865630845,0.38455215695076067,0.39923954372623577
mimic_cohort_aplasia_45_days,CatBoost,Word2Vec,0,10,0.01,0.7032127980407408,0.7245487873660462,0.357698595381411,0.35368043087971274
mimic_cohort_aplasia_45_days,CatBoost,Word2Vec,1,10,0.01,0.6890846650868104,0.7241515364070467,0.3907703189218019,0.35563380281690143
mimic_cohort_aplasia_45_days,CatBoost,Word2Vec,2,10,0.01,0.6899384212823095,0.7151906263010764,0.3960379726850809,0.36347673397717295
mimic_cohort_aplasia_45_days,CatBoost,Word2Vec,3,10,0.01,0.6978165871195685,0.7046361520089489,0.38257234629818276,0.36500470366886173
mimic_cohort_aplasia_45_days,CatBoost,Word2Vec,4,10,0.01,0.6926658334617687,0.7006042296072508,0.4122704578888914,0.39325842696629215
mimic_cohort_aplasia_45_days,XGBoost,Word2Vec,0,50,0.01,0.722346237158565,0.7155809362662154,0.39360448748358917,0.3608058608058608
mimic_cohort_aplasia_45_days,XGBoost,Word2Vec,1,50,0.01,0.7329723504863139,0.6938550462675696,0.33452236465145685,0.36396396396396397
mimic_cohort_aplasia_45_days,XGBoost,Word2Vec,2,50,0.005,0.6965833993981447,0.729594163246694,0.40278177462420767,0.3628396143733567
mimic_cohort_aplasia_45_days,XGBoost,Word2Vec,3,50,0.01,0.7072176078018141,0.6998972095413731,0.3777400029572397,0.37524177949709864
mimic_cohort_aplasia_45_days,XGBoost,Word2Vec,4,50,0.01,0.7183196827313781,0.6970363976406273,0.41600479415207714,0.40115163147792704
mimic_cohort_aplasia_45_days,RandomForest,Word2Vec,0,50,0.01,0.7336489764926383,0.7215454032712917,0.3739556731402242,0.3665116279069767
mimic_cohort_aplasia_45_days,RandomForest,Word2Vec,1,50,0.01,0.7320965103182694,0.6999554860118162,0.3586662336807862,0.3642921550946799
mimic_cohort_aplasia_45_days,RandomForest,Word2Vec,2,50,0.01,0.7060954672115947,0.7318377974715333,0.397536176849964,0.37670609645131936
mimic_cohort_aplasia_45_days,RandomForest,Word2Vec,3,50,0.01,0.7160052377115229,0.6991451764065665,0.3897010330051715,0.37258687258687256
mimic_cohort_aplasia_45_days,RandomForest,Word2Vec,4,50,0.01,0.7142542701905882,0.6810386994677025,0.3899971494457467,0.4007707129094412
mimic_cohort_aplasia_45_days,CatBoost,Word2Vec,0,50,0.01,0.7288211783549027,0.7354131415679639,0.41499840335220367,0.35399820305480684
mimic_cohort_aplasia_45_days,CatBoost,Word2Vec,1,50,0.01,0.7278014489648426,0.7065010656378989,0.34638768938277775,0.35563380281690143
mimic_cohort_aplasia_45_days,CatBoost,Word2Vec,2,50,0.01,0.7006162375710248,0.7363250659212117,0.3984071970949585,0.3615720524017467
mimic_cohort_aplasia_45_days,CatBoost,Word2Vec,3,50,0.01,0.7193666191450236,0.7049989418629259,0.3785310070743881,0.362956033676333
mimic_cohort_aplasia_45_days,CatBoost,Word2Vec,4,50,0.005,0.7072496051359399,0.7191411307725507,0.4108369628099889,0.38817005545286504
mimic_cohort_aplasia_45_days,XGBoost,Word2Vec,0,100,0.01,0.7362736827912842,0.7265157924421883,0.38050884733519436,0.36279926335174956
mimic_cohort_aplasia_45_days,XGBoost,Word2Vec,1,100,0.01,0.7246920111563911,0.7085244287371516,0.336754146968149,0.3666061705989111
mimic_cohort_aplasia_45_days,XGBoost,Word2Vec,2,100,0.01,0.7074503492348029,0.7268879240270426,0.3839427993246921,0.3805147058823529
mimic_cohort_aplasia_45_days,XGBoost,Word2Vec,3,100,0.01,0.7131500650839894,0.6953245457568704,0.3712011194052631,0.3720038350910834
mimic_cohort_aplasia_45_days,XGBoost,Word2Vec,4,100,0.01,0.7260298731932614,0.6957128470723636,0.3957436419626288,0.4046466602129719
mimic_cohort_aplasia_45_days,RandomForest,Word2Vec,0,100,0.01,0.7351012398385758,0.7131168922729836,0.3665060050057014,0.3663551401869159
mimic_cohort_aplasia_45_days,RandomForest,Word2Vec,1,100,0.01,0.7214376753858575,0.7078600911862304,0.35830069094309974,0.36561085972850677
mimic_cohort_aplasia_45_days,RandomForest,Word2Vec,2,100,0.01,0.7082067248437345,0.72559593436296,0.39447135883666307,0.3794683776351971
mimic_cohort_aplasia_45_days,RandomForest,Word2Vec,3,100,0.01,0.7180429864253396,0.700906218822747,0.378545339606123,0.37079731027857826
mimic_cohort_aplasia_45_days,RandomForest,Word2Vec,4,100,0.01,0.7242669760548329,0.6898144151920588,0.38882719386044373,0.40501446480231434
mimic_cohort_aplasia_45_days,CatBoost,Word2Vec,0,100,0.01,0.7314049051403684,0.7314368302312465,0.39867176634490875,0.35399820305480684
mimic_cohort_aplasia_45_days,CatBoost,Word2Vec,1,100,0.01,0.7284830556982409,0.7091179485795991,0.34446173288453674,0.35657546337157986
