Model,Feature_Type,Dimension,Test_AUC_Mean,Test_AUC_Std,Test_AUPRC_Mean,Test_AUPRC_Std,Test_F1_Mean,Test_F1_Std
CatBoost,Word2Vec,10,0.7138262663380738,0.010985508568050029,0.3878699382350736,0.02005547783152939,0.3662108196617882,0.015885425156293792
CatBoost,Word2Vec,50,0.7204758691525102,0.015090817436180357,0.38983225194286336,0.028121214817932616,0.3644660294805306,0.013785133803078654
CatBoost,Word2Vec,100,0.7162626154364476,0.013691238507519713,0.3860782155522487,0.026140971866375394,0.36588526330413845,0.013874081655472313
CatBoost,Word2Vec,1000,0.7122789775183114,0.019167777464185964,0.38134345264520164,0.03001467850103101,0.36420962970209053,0.013956319169812511
RandomForest,Word2Vec,10,0.6882801284637994,0.008552556779257309,0.3517707417935121,0.02060573205935736,0.37402563120070415,0.01422347479813108
RandomForest,Word2Vec,50,0.706704512525782,0.02008333221645664,0.3819712532243785,0.015602922908054333,0.37617349298985797,0.014600415809094366
RandomForest,Word2Vec,100,0.7074587103673959,0.01337340010039365,0.3773301176504062,0.01505624596754203,0.37744923052630247,0.016366070101932185
RandomForest,Word2Vec,1000,0.7050697284272027,0.01133071033905734,0.3789784903648126,0.026698326126412476,0.37700185356014126,0.015220372214360064
XGBoost,Word2Vec,10,0.6944218679331,0.012123108604601219,0.3601756654159244,0.023412375871676275,0.3753092622102046,0.0175717585890183
XGBoost,Word2Vec,50,0.707192750592496,0.015053701612653028,0.3849306847737141,0.03143326732338066,0.3728005700236414,0.016814588031066603
XGBoost,Word2Vec,100,0.7105931076071232,0.0156355644392845,0.37363011099918547,0.02240766347219282,0.3773141270274138,0.016664722276362776
XGBoost,Word2Vec,1000,0.7102074374555841,0.019065674311357653,0.3802741878520828,0.03057720732338014,0.37818986290656353,0.016780275731326143
