Cohort,Model,Feature_Type,Fold,Selected_Threshold,Val_AUC_Best,Test_AUC,Test_AUPRC,Test_F1
mimic_cohort_NF_30_days,XGBoost,Full Codes,0,0.01,0.735872037160379,0.6641681307768695,0.12300470520703284,0.09971777986829727
mimic_cohort_NF_30_days,XGBoost,Full Codes,1,0.001,0.7601928348111215,0.7066222203288743,0.11770978821826206,0.0761904761904762
mimic_cohort_NF_30_days,XGBoost,Full Codes,2,0.0,0.7352287370974434,0.7766873472457229,0.2571753541742421,0.09881061299176579
mimic_cohort_NF_30_days,XGBoost,Full Codes,3,0.001,0.7254896666397336,0.7375799055030573,0.15819762620695257,0.09824561403508772
mimic_cohort_NF_30_days,XGBoost,Full Codes,4,0.001,0.7378603593974891,0.6859756097560975,0.17450228816753646,0.09057301293900184
mimic_cohort_NF_30_days,RandomForest,Full Codes,0,0.001,0.7764941846278349,0.7531892139637919,0.17225731460860028,0.09689213893967093
mimic_cohort_NF_30_days,RandomForest,Full Codes,1,0.001,0.7862062761281868,0.734173979722246,0.12065266006632738,0.0761904761904762
mimic_cohort_NF_30_days,RandomForest,Full Codes,2,0.0,0.7631145779707387,0.780325249106975,0.29955345540102374,0.09881061299176579
mimic_cohort_NF_30_days,RandomForest,Full Codes,3,0.001,0.7521295211478808,0.7891276403557532,0.17352944771587825,0.09824561403508772
mimic_cohort_NF_30_days,RandomForest,Full Codes,4,0.0,0.7751164977982984,0.701841712294674,0.1536333510407059,0.09057301293900184
mimic_cohort_NF_30_days,CatBoost,Full Codes,0,0.0,0.7715752051638098,0.7573428309525629,0.17384012962083767,0.09689213893967093
mimic_cohort_NF_30_days,CatBoost,Full Codes,1,0.001,0.7730702549202704,0.6962916418164777,0.09624102221052828,0.0761904761904762
mimic_cohort_NF_30_days,CatBoost,Full Codes,2,0.0,0.7558307076579278,0.7933352133859748,0.21927948276493606,0.09881061299176579
mimic_cohort_NF_30_days,CatBoost,Full Codes,3,0.001,0.7367305443605945,0.7836384797109506,0.1667961148916245,0.09824561403508772
mimic_cohort_NF_30_days,CatBoost,Full Codes,4,0.0,0.7684526099781968,0.7121183839389414,0.19316210107228465,0.09057301293900184
mimic_cohort_NF_30_days,XGBoost,Groups,0,0.001,0.7269017094582549,0.6836471621724849,0.16209159058129574,0.09689213893967093
mimic_cohort_NF_30_days,XGBoost,Groups,1,0.0,0.7435367582533831,0.6786657578597597,0.09585974435714219,0.0761904761904762
mimic_cohort_NF_30_days,XGBoost,Groups,2,0.0,0.7251034387747594,0.7103872908441436,0.1970636949698378,0.09881061299176579
mimic_cohort_NF_30_days,XGBoost,Groups,3,0.0,0.7073484809291232,0.7218854224569204,0.16494568943638105,0.09824561403508772
mimic_cohort_NF_30_days,XGBoost,Groups,4,0.0,0.7385728841577244,0.6666044466567115,0.15013060550069351,0.09057301293900184
mimic_cohort_NF_30_days,RandomForest,Groups,0,0.001,0.7578937429280052,0.7211729432434497,0.14443864874096088,0.09689213893967093
mimic_cohort_NF_30_days,RandomForest,Groups,1,0.01,0.7702243348645332,0.7112337053761609,0.10548370500091654,0.0761904761904762
mimic_cohort_NF_30_days,RandomForest,Groups,2,0.005,0.7463763046535964,0.7765839443504418,0.22877735306867897,0.09881061299176579
mimic_cohort_NF_30_days,RandomForest,Groups,3,0.005,0.7358388273749156,0.7708014869371873,0.19919633830521893,0.09824561403508772
mimic_cohort_NF_30_days,RandomForest,Groups,4,0.001,0.7718762914511279,0.6650074664011947,0.13946061020362543,0.09057301293900184
mimic_cohort_NF_30_days,CatBoost,Groups,0,0.001,0.7519515499856512,0.7340634787258422,0.14917101745340203,0.09689213893967093
mimic_cohort_NF_30_days,CatBoost,Groups,1,0.0,0.7587406387871075,0.672456760671381,0.10379936741634835,0.0761904761904762
mimic_cohort_NF_30_days,CatBoost,Groups,2,0.001,0.7354962026781572,0.7853449896597104,0.25937815361678235,0.09881061299176579
mimic_cohort_NF_30_days,CatBoost,Groups,3,0.0,0.7380149082525985,0.7511377848804892,0.18914022389572108,0.09824561403508772
mimic_cohort_NF_30_days,CatBoost,Groups,4,0.001,0.7727420090348139,0.6643956363033019,0.19625733078207735,0.09057301293900184
mimic_cohort_NF_30_days,XGBoost,Combined,0,0.005,0.7329096266103465,0.702257275991139,0.14002235208687272,0.09733700642791551
mimic_cohort_NF_30_days,XGBoost,Combined,1,0.001,0.751579095988595,0.7163776944704779,0.10232750093984677,0.0761904761904762
mimic_cohort_NF_30_days,XGBoost,Combined,2,0.0,0.7309120678614619,0.7763207369806355,0.26034782203206697,0.09881061299176579
mimic_cohort_NF_30_days,XGBoost,Combined,3,0.0,0.719271252500992,0.7541516120066704,0.16394428569414268,0.09824561403508772
mimic_cohort_NF_30_days,XGBoost,Combined,4,0.001,0.7404432616533425,0.6837979094076655,0.18279239163989303,0.09057301293900184
mimic_cohort_NF_30_days,RandomForest,Combined,0,0.001,0.7702196311451678,0.769326254678787,0.18221850633245493,0.09689213893967093
mimic_cohort_NF_30_days,RandomForest,Combined,1,0.001,0.7890138979050949,0.7255687143222289,0.11143383275469931,0.0761904761904762
mimic_cohort_NF_30_days,RandomForest,Combined,2,0.005,0.76855265096351,0.7893777025756721,0.24934296658604405,0.09881061299176579
mimic_cohort_NF_30_days,RandomForest,Combined,3,0.01,0.7483980980696634,0.7836211089494164,0.16677425473892707,0.09824561403508772
mimic_cohort_NF_30_days,RandomForest,Combined,4,0.001,0.7788501275419321,0.6992077318732373,0.159900823110002,0.09057301293900184
mimic_cohort_NF_30_days,CatBoost,Combined,0,0.001,0.7623469174615142,0.7457699946528149,0.19061863058120032,0.09689213893967093
mimic_cohort_NF_30_days,CatBoost,Combined,1,0.0,0.7749384946620261,0.7406705290960212,0.1268066006361929,0.0761904761904762
mimic_cohort_NF_30_days,CatBoost,Combined,2,0.01,0.7500264770356532,0.770210565895845,0.24194999947174703,0.10074626865671642
mimic_cohort_NF_30_days,CatBoost,Combined,3,0.0,0.7409023446056895,0.7708796553640911,0.16256626855508788,0.09824561403508772
mimic_cohort_NF_30_days,CatBoost,Combined,4,0.001,0.7649861770196514,0.714171644267463,0.18693111010097113,0.09057301293900184
