Cohort,Model,Feature_Type,Fold,Selected_Threshold,Val_AUC_Best,Test_AUC,Test_AUPRC,Test_F1
mimic_cohort_aplasia_45_days,XGBoost,Full Codes,0,0.0,0.8727249087852234,0.8428581500282009,0.6030540050546959,0.35368043087971274
mimic_cohort_aplasia_45_days,XGBoost,Full Codes,1,0.0,0.8738069159637435,0.8241461407721153,0.5696430947692785,0.35500878734622143
mimic_cohort_aplasia_45_days,XGBoost,Full Codes,2,0.005,0.8740140864434739,0.8305213558291533,0.5866385260802176,0.36540158870255957
mimic_cohort_aplasia_45_days,XGBoost,Full Codes,3,0.0,0.8691999059897931,0.8242623272969134,0.6166961828556975,0.36261682242990656
mimic_cohort_aplasia_45_days,XGBoost,Full Codes,4,0.005,0.8655005599483965,0.7696734282837002,0.4849368285577348,0.3903345724907063
mimic_cohort_aplasia_45_days,RandomForest,Full Codes,0,0.005,0.8699103288955884,0.8544345741680767,0.6114721775289389,0.35368043087971274
mimic_cohort_aplasia_45_days,RandomForest,Full Codes,1,0.005,0.86787447685461,0.837685812177948,0.5910567664880831,0.35500878734622143
mimic_cohort_aplasia_45_days,RandomForest,Full Codes,2,0.01,0.8684324320489093,0.8248247057501801,0.5815068379209568,0.3615720524017467
mimic_cohort_aplasia_45_days,RandomForest,Full Codes,3,0.005,0.8652813074650303,0.8225164011246486,0.6220263756410931,0.36261682242990656
mimic_cohort_aplasia_45_days,RandomForest,Full Codes,4,0.005,0.8610228784762676,0.7452021291900446,0.44649871269695474,0.38817005545286504
mimic_cohort_aplasia_45_days,CatBoost,Full Codes,0,0.005,0.8723328759537493,0.8690179075014101,0.6361980024145578,0.35368043087971274
mimic_cohort_aplasia_45_days,CatBoost,Full Codes,1,0.005,0.8742894808671676,0.8175499770685516,0.5689489943120559,0.35500878734622143
mimic_cohort_aplasia_45_days,CatBoost,Full Codes,2,0.01,0.8773952463008552,0.8343841075358354,0.5943847293344059,0.3615720524017467
mimic_cohort_aplasia_45_days,CatBoost,Full Codes,3,0.005,0.8736208392735388,0.8325384708407655,0.6375151229126005,0.36261682242990656
mimic_cohort_aplasia_45_days,CatBoost,Full Codes,4,0.005,0.869689321778016,0.7796216371745073,0.4843451913919989,0.38817005545286504
mimic_cohort_aplasia_45_days,XGBoost,Groups,0,0.0,0.8704903055174,0.8290221376198534,0.5326748052517264,0.35368043087971274
mimic_cohort_aplasia_45_days,XGBoost,Groups,1,0.005,0.8680403159754538,0.8179715110475625,0.5534795619544426,0.352112676056338
mimic_cohort_aplasia_45_days,XGBoost,Groups,2,0.0,0.8725644161221077,0.8022363647177779,0.5601975618762114,0.3615720524017467
mimic_cohort_aplasia_45_days,XGBoost,Groups,3,0.005,0.867541813880452,0.812260029627838,0.5922819229075721,0.36261682242990656
mimic_cohort_aplasia_45_days,XGBoost,Groups,4,0.01,0.856824699872294,0.7621493310315064,0.4404712535457119,0.3939679547596607
mimic_cohort_aplasia_45_days,RandomForest,Groups,0,0.01,0.8609187993235868,0.8509341511562324,0.5985721871255367,0.35368043087971274
mimic_cohort_aplasia_45_days,RandomForest,Groups,1,0.01,0.8616543423663163,0.8231344592224891,0.5447970368834595,0.35500878734622143
mimic_cohort_aplasia_45_days,RandomForest,Groups,2,0.001,0.8622774838167948,0.8153148687853975,0.5793246136617018,0.3615720524017467
