Cohort,Model,Feature_Type,Fold,Dimension,Selected_Threshold,Val_AUC_Best,Test_AUC,Test_AUPRC,Test_F1
mimic_cohort_NF_30_days,XGBoost,ClinVec,0,128,0.01,0.6690449106816828,0.6733060881521656,0.13876631255935776,0.11233480176211454
mimic_cohort_NF_30_days,XGBoost,ClinVec,1,128,0.005,0.6760187871983669,0.5447729402743461,0.050666169046292286,0.07525870178739416
mimic_cohort_NF_30_days,XGBoost,ClinVec,2,128,0.0,0.6358073624595554,0.614946418499718,0.07385944955268814,0.09881061299176579
mimic_cohort_NF_30_days,XGBoost,ClinVec,3,128,0.0,0.6235697053544921,0.6311318788215675,0.07813433285660629,0.09824561403508772
mimic_cohort_NF_30_days,XGBoost,ClinVec,4,128,0.01,0.6442791387000698,0.6696947071511531,0.08633897994632773,0.10562571756601608
mimic_cohort_NF_30_days,RandomForest,ClinVec,0,128,0.01,0.6942481712180159,0.688755633641433,0.09936713086204768,0.09787626962142197
mimic_cohort_NF_30_days,RandomForest,ClinVec,1,128,0.005,0.6954981476093393,0.5591718497060577,0.06435494524263023,0.07610619469026549
mimic_cohort_NF_30_days,RandomForest,ClinVec,2,128,0.0,0.6592883080520301,0.6464749012972363,0.08216987621767449,0.09881061299176579
mimic_cohort_NF_30_days,RandomForest,ClinVec,3,128,0.01,0.6494901617791418,0.6796831573096165,0.1681367040288021,0.09777777777777778
mimic_cohort_NF_30_days,RandomForest,ClinVec,4,128,0.01,0.6707725905975233,0.6830927492948399,0.11500110429037615,0.09683794466403162
mimic_cohort_NF_30_days,CatBoost,ClinVec,0,128,0.01,0.6757880928202944,0.6591169505767321,0.08881644579069256,0.09823911028730306
mimic_cohort_NF_30_days,CatBoost,ClinVec,1,128,0.01,0.6822343899885969,0.5573826361080344,0.061147790658705126,0.07473309608540925
mimic_cohort_NF_30_days,CatBoost,ClinVec,2,128,0.005,0.6465526296393596,0.6237168640721941,0.0952446813315084,0.09917355371900827
mimic_cohort_NF_30_days,CatBoost,ClinVec,3,128,0.0,0.6383033507039996,0.6506739855475264,0.08662713136644852,0.09824561403508772
mimic_cohort_NF_30_days,CatBoost,ClinVec,4,128,0.01,0.6470579852649879,0.6677658868425419,0.1003454950104215,0.09116809116809117
