Cohort,Model,Feature_Type,Fold,Dimension,Selected_Threshold,Val_AUC_Best,Test_AUC,Test_AUPRC,Test_F1
mimic_cohort_aplasia_45_days,XGBoost,ClinVec,0,128,0.0,0.7737065533572997,0.6819162436548223,0.38205958240649907,0.35368043087971274
mimic_cohort_aplasia_45_days,XGBoost,ClinVec,1,128,0.0,0.7839549228056355,0.6656628537513152,0.3470564823061751,0.35500878734622143
mimic_cohort_aplasia_45_days,XGBoost,ClinVec,2,128,0.0,0.785478233934914,0.6876953680022734,0.37251364939554527,0.3615720524017467
mimic_cohort_aplasia_45_days,XGBoost,ClinVec,3,128,0.005,0.7720484927374532,0.7165250778486562,0.44696690055296684,0.36261682242990656
mimic_cohort_aplasia_45_days,XGBoost,ClinVec,4,128,0.001,0.7794975065360839,0.6531434325996259,0.36780613276712454,0.38817005545286504
mimic_cohort_aplasia_45_days,RandomForest,ClinVec,0,128,0.0,0.7815687295079993,0.7170332769317541,0.4302096302187937,0.35368043087971274
mimic_cohort_aplasia_45_days,RandomForest,ClinVec,1,128,0.001,0.7843266806066832,0.6938246958210808,0.39020025689384746,0.35500878734622143
mimic_cohort_aplasia_45_days,RandomForest,ClinVec,2,128,0.001,0.7862848102320282,0.7132774242153889,0.44098112362855113,0.3615720524017467
mimic_cohort_aplasia_45_days,RandomForest,ClinVec,3,128,0.001,0.7737808374139962,0.726501798833026,0.446880351901345,0.36261682242990656
mimic_cohort_aplasia_45_days,RandomForest,ClinVec,4,128,0.001,0.7868283954878308,0.6707955689828802,0.3669996770029913,0.38817005545286504
mimic_cohort_aplasia_45_days,CatBoost,ClinVec,0,128,0.0,0.7711400068465287,0.7023759165256627,0.38782442733051964,0.35368043087971274
mimic_cohort_aplasia_45_days,CatBoost,ClinVec,1,128,0.001,0.77525369212591,0.6946610192354385,0.4106238562441892,0.35500878734622143
mimic_cohort_aplasia_45_days,CatBoost,ClinVec,2,128,0.0,0.7795907603758225,0.7079442494894823,0.4087235389956678,0.3615720524017467
mimic_cohort_aplasia_45_days,CatBoost,ClinVec,3,128,0.0,0.7613199652885391,0.7287314448105935,0.4488687419020751,0.36261682242990656
mimic_cohort_aplasia_45_days,CatBoost,ClinVec,4,128,0.005,0.7756750676018056,0.6830815709969789,0.3808106396317862,0.38817005545286504
