Cohort,Model,Feature_Type,Fold,Dimension,Selected_Threshold,Best_Epoch,Val_AUC_Best,Test_AUC,Test_AUPRC,Test_F1
mimic_cohort_NF_30_days,MLP_2Layer,Kane,0,10,0.005,38,0.6638294631173203,0.6050148957298908,0.10485803241095099,0.09689213893967093
mimic_cohort_NF_30_days,MLP_2Layer,Kane,1,10,0.01,27,0.6517639670113536,0.6206441168952884,0.0689943877384384,0.0761904761904762
mimic_cohort_NF_30_days,MLP_2Layer,Kane,2,10,0.01,15,0.6361993735509935,0.6379582628313593,0.09581564798722139,0.09881061299176579
mimic_cohort_NF_30_days,MLP_2Layer,Kane,3,10,0.005,29,0.6368156363416748,0.6713973040578098,0.11495336202163053,0.09824561403508772
mimic_cohort_NF_30_days,MLP_2Layer,Kane,4,10,0.01,40,0.6376562210536817,0.6469221835075494,0.109707501916431,0.09057301293900184
mimic_cohort_NF_30_days,MLP_2Layer,Kane,0,50,0.01,4,0.7040356541373852,0.6897868764800245,0.15018754775390517,0.09689213893967093
mimic_cohort_NF_30_days,MLP_2Layer,Kane,1,50,0.01,7,0.6869783961793067,0.6389622561131465,0.07732297471089622,0.0761904761904762
mimic_cohort_NF_30_days,MLP_2Layer,Kane,2,50,0.001,9,0.6864502210912077,0.6559315660838505,0.14503370869982335,0.09881061299176579
mimic_cohort_NF_30_days,MLP_2Layer,Kane,3,50,0.0,6,0.6841852851463749,0.6984783212896054,0.13141952862423428,0.09824561403508772
mimic_cohort_NF_30_days,MLP_2Layer,Kane,4,50,0.01,10,0.7187629145112792,0.7007632321221171,0.11905803782567315,0.09057301293900184
mimic_cohort_NF_30_days,MLP_2Layer,Kane,0,100,0.01,3,0.7000050279009682,0.6998128485218852,0.16776914126178605,0.09689213893967093
mimic_cohort_NF_30_days,MLP_2Layer,Kane,1,100,0.01,3,0.6927582079517517,0.6449263014398908,0.07160658315685271,0.0761904761904762
mimic_cohort_NF_30_days,MLP_2Layer,Kane,2,100,0.0,4,0.6897229132422474,0.6620605376950554,0.11739025383671024,0.09881061299176579
mimic_cohort_NF_30_days,MLP_2Layer,Kane,3,100,0.005,5,0.6910736069138066,0.7106552251250695,0.14004898875533336,0.09824561403508772
mimic_cohort_NF_30_days,MLP_2Layer,Kane,4,100,0.01,9,0.6958018041126929,0.6965530114484818,0.12472975332901699,0.09074074074074075
mimic_cohort_NF_30_days,MLP_2Layer,Kane,0,1000,0.0,3,0.6857699134974524,0.6306049957986403,0.13663621085991656,0.09689213893967093
mimic_cohort_NF_30_days,MLP_2Layer,Kane,1,1000,0.005,4,0.692103733618588,0.6148291727017126,0.0703101350284443,0.0761904761904762
mimic_cohort_NF_30_days,MLP_2Layer,Kane,2,1000,0.0,6,0.6759621080675521,0.6815190825343109,0.20286423076702692,0.09881061299176579
mimic_cohort_NF_30_days,MLP_2Layer,Kane,3,1000,0.005,3,0.6849753220275359,0.7263931350750417,0.14542400900409536,0.09824561403508772
mimic_cohort_NF_30_days,MLP_2Layer,Kane,4,1000,0.005,2,0.6999451355934618,0.6424008627841381,0.08155484484012233,0.09057301293900184
