Cohort,Model,Feature_Type,Fold,Dimension,Selected_Threshold,Best_Epoch,Val_AUC_Best,Test_AUC,Test_AUPRC,Test_F1
mimic_cohort_NF_30_days,MLP_3Layer,Kane,0,10,0.001,36,0.6346136194988327,0.5689404934687953,0.0830256347988932,0.09689213893967093
mimic_cohort_NF_30_days,MLP_3Layer,Kane,1,10,0.01,40,0.6551657558527725,0.5816861208145182,0.06251916459552188,0.0761904761904762
mimic_cohort_NF_30_days,MLP_3Layer,Kane,2,10,0.01,35,0.6422255984876584,0.608009024252679,0.09440632578333281,0.09881061299176579
mimic_cohort_NF_30_days,MLP_3Layer,Kane,3,10,0.005,35,0.6116625009619777,0.6368989716509171,0.09262275570894604,0.09824561403508772
mimic_cohort_NF_30_days,MLP_3Layer,Kane,4,10,0.005,38,0.6087597794023343,0.6476480836236933,0.08550093139679121,0.09057301293900184
mimic_cohort_NF_30_days,MLP_3Layer,Kane,0,50,0.01,9,0.7068685958486721,0.6927469253685739,0.1838198831796416,0.09689213893967093
mimic_cohort_NF_30_days,MLP_3Layer,Kane,1,50,0.0,11,0.6935257825825135,0.6244142455482662,0.07002466742367365,0.0761904761904762
mimic_cohort_NF_30_days,MLP_3Layer,Kane,2,50,0.0,8,0.6850542577465369,0.6748824967099079,0.13631184761045703,0.09881061299176579
mimic_cohort_NF_30_days,MLP_3Layer,Kane,3,50,0.005,16,0.6907384149093341,0.728946637020567,0.13635904469093885,0.09824561403508772
mimic_cohort_NF_30_days,MLP_3Layer,Kane,4,50,0.01,19,0.7023534692830576,0.6993321718931474,0.10049208423491349,0.09057301293900184
mimic_cohort_NF_30_days,MLP_3Layer,Kane,0,100,0.001,6,0.6963881709843927,0.6490145901764571,0.12843303847639825,0.09689213893967093
mimic_cohort_NF_30_days,MLP_3Layer,Kane,1,100,0.001,7,0.6917912914889807,0.614871773025475,0.0800468780441376,0.0761904761904762
mimic_cohort_NF_30_days,MLP_3Layer,Kane,2,100,0.005,5,0.6835880320584616,0.6977439368302313,0.13835020605020767,0.09881061299176579
mimic_cohort_NF_30_days,MLP_3Layer,Kane,3,100,0.005,10,0.6932625425187221,0.6797352695942189,0.1302282612654904,0.09824561403508772
mimic_cohort_NF_30_days,MLP_3Layer,Kane,4,100,0.01,11,0.6954277286135694,0.7259415961506555,0.13476299999592548,0.09074074074074075
mimic_cohort_NF_30_days,MLP_3Layer,Kane,0,1000,0.01,6,0.6979824628268991,0.6503895806279123,0.13797878246682585,0.09689213893967093
mimic_cohort_NF_30_days,MLP_3Layer,Kane,1,1000,0.01,7,0.6992837050314616,0.6239456419868791,0.08476414059240311,0.0761904761904762
mimic_cohort_NF_30_days,MLP_3Layer,Kane,2,1000,0.01,4,0.6827877961625148,0.718274111675127,0.19443845490924574,0.09881061299176579
mimic_cohort_NF_30_days,MLP_3Layer,Kane,3,1000,0.005,9,0.6818305180687774,0.7358949416342413,0.14028184560369591,0.09824561403508772
mimic_cohort_NF_30_days,MLP_3Layer,Kane,4,1000,0.005,9,0.6958231798555,0.6934005309440848,0.1070786623275576,0.09057301293900184
