Cohort,Model,Feature_Type,Fold,Dimension,Selected_Threshold,Val_AUC_Best,Test_AUC,Test_AUPRC,Test_F1
mimic_cohort_NF_30_days,XGBoost,Kane,0,10,0.005,0.6437699686699332,0.6040218470705064,0.10632922720935994,0.09823911028730306
mimic_cohort_NF_30_days,XGBoost,Kane,1,10,0.01,0.6465422178819181,0.5807915140155065,0.06873548333711996,0.07809523809523809
mimic_cohort_NF_30_days,XGBoost,Kane,2,10,0.005,0.6161064660364178,0.5401203233690544,0.06425504274794692,0.1005586592178771
mimic_cohort_NF_30_days,XGBoost,Kane,3,10,0.001,0.5710280693193522,0.5753369927737632,0.08051000101764823,0.09824561403508772
mimic_cohort_NF_30_days,XGBoost,Kane,4,10,0.01,0.6442328245906546,0.5870250539240086,0.06839320784755035,0.09233791748526522
mimic_cohort_NF_30_days,RandomForest,Kane,0,10,0.005,0.6574044363558835,0.6310824230387289,0.12467289143881782,0.09689213893967093
mimic_cohort_NF_30_days,RandomForest,Kane,1,10,0.01,0.666539215948171,0.5918249978699838,0.07573160412817694,0.07625649913344887
mimic_cohort_NF_30_days,RandomForest,Kane,2,10,0.01,0.6031989779328905,0.6038729084414364,0.08493635252558107,0.09908256880733946
mimic_cohort_NF_30_days,RandomForest,Kane,3,10,0.01,0.6162435944680701,0.610408560311284,0.10450168920851854,0.09850483729111698
mimic_cohort_NF_30_days,RandomForest,Kane,4,10,0.01,0.6464808402091973,0.6250622200099553,0.09030767667248593,0.09107806691449814
mimic_cohort_NF_30_days,CatBoost,Kane,0,10,0.005,0.6429977162041641,0.6097127797723626,0.10381053741371915,0.09706959706959707
mimic_cohort_NF_30_days,CatBoost,Kane,1,10,0.01,0.6579584575301841,0.5961063304081111,0.08821903398861503,0.07517482517482517
mimic_cohort_NF_30_days,CatBoost,Kane,2,10,0.005,0.6128571794820018,0.5948486557623613,0.08623577339545001,0.09899175068744272
mimic_cohort_NF_30_days,CatBoost,Kane,3,10,0.005,0.6024600935581869,0.58681906614786,0.08853951562464857,0.09833187006145742
mimic_cohort_NF_30_days,CatBoost,Kane,4,10,0.01,0.631788579653143,0.6415920026547205,0.0935484621970509,0.09099350046425256
mimic_cohort_NF_30_days,XGBoost,Kane,0,50,0.001,0.6896440915033776,0.6617714460316249,0.16289602916690887,0.09733700642791551
mimic_cohort_NF_30_days,XGBoost,Kane,1,50,0.01,0.6933838264735167,0.5675428133253813,0.05187033576602949,0.08062709966405375
mimic_cohort_NF_30_days,XGBoost,Kane,2,50,0.005,0.6574463688455013,0.6300526414739613,0.135930038240111,0.10602910602910603
mimic_cohort_NF_30_days,XGBoost,Kane,3,50,0.01,0.6860437057177253,0.6234366314619233,0.0813386370422098,0.11538461538461539
mimic_cohort_NF_30_days,XGBoost,Kane,4,50,0.01,0.7088321006654983,0.6283598805375809,0.07546337887853519,0.1025
mimic_cohort_NF_30_days,RandomForest,Kane,0,50,0.01,0.7122487565490981,0.6597089603544419,0.10669741004324884,0.0986046511627907
mimic_cohort_NF_30_days,RandomForest,Kane,1,50,0.01,0.7232387528989955,0.6525517593933714,0.06907235219863145,0.07836153161175423
mimic_cohort_NF_30_days,RandomForest,Kane,2,50,0.005,0.6900573579671169,0.6998683963150968,0.13586638086921432,0.09962406015037593
mimic_cohort_NF_30_days,RandomForest,Kane,3,50,0.01,0.7168162214537438,0.659811006114508,0.13375764822731115,0.0998185117967332
mimic_cohort_NF_30_days,RandomForest,Kane,4,50,0.01,0.7140727202770295,0.680147668823627,0.11595018600937634,0.09468599033816426
mimic_cohort_NF_30_days,CatBoost,Kane,0,50,0.01,0.6762091839628478,0.6753494767397449,0.14490601133363962,0.09869646182495345
mimic_cohort_NF_30_days,CatBoost,Kane,1,50,0.01,0.7036095336132703,0.5920379994887961,0.05308436288820964,0.07699037620297462
mimic_cohort_NF_30_days,CatBoost,Kane,2,50,0.005,0.6725900109389963,0.6737732656514382,0.20230725418558648,0.09926470588235294
mimic_cohort_NF_30_days,CatBoost,Kane,3,50,0.01,0.6883545255544421,0.6386186770428015,0.11547599400454864,0.09955555555555555
mimic_cohort_NF_30_days,CatBoost,Kane,4,50,0.01,0.6973729212090122,0.6465073834411813,0.07471007270358841,0.09342230695900858
mimic_cohort_NF_30_days,XGBoost,Kane,0,100,0.001,0.6839440791607124,0.6513826292872966,0.1339430334805003,0.09751609935602576
mimic_cohort_NF_30_days,XGBoost,Kane,1,100,0.001,0.7025639305932688,0.5939976143818693,0.05589521174246069,0.0761904761904762
mimic_cohort_NF_30_days,XGBoost,Kane,2,100,0.0,0.6630076894714886,0.6197029516826471,0.09680343830821352,0.09881061299176579
mimic_cohort_NF_30_days,XGBoost,Kane,3,100,0.005,0.6871846065210253,0.5958344913841023,0.09853512248920965,0.1007905138339921
mimic_cohort_NF_30_days,XGBoost,Kane,4,100,0.01,0.6917653513459593,0.6732827277252365,0.10572003765545093,0.10817941952506596
mimic_cohort_NF_30_days,RandomForest,Kane,0,100,0.005,0.7092997362084507,0.6593079214727675,0.13348754033904398,0.09724770642201835
mimic_cohort_NF_30_days,RandomForest,Kane,1,100,0.0,0.7181650267979305,0.610057936440317,0.06193260965347841,0.07625649913344887
mimic_cohort_NF_30_days,RandomForest,Kane,2,100,0.0,0.6950789170050714,0.6687911261515322,0.11530284740786874,0.09881061299176579
mimic_cohort_NF_30_days,RandomForest,Kane,3,100,0.005,0.7043596012793722,0.6154634519177321,0.10606636349065152,0.09929078014184398
mimic_cohort_NF_30_days,RandomForest,Kane,4,100,0.01,0.7003993701281118,0.7157375145180023,0.10983635971621306,0.09219190968955786
mimic_cohort_NF_30_days,CatBoost,Kane,0,100,0.001,0.6823756448724345,0.6519173477961959,0.11808190622771204,0.09689213893967093
mimic_cohort_NF_30_days,CatBoost,Kane,1,100,0.01,0.7020025862275955,0.6188762034591462,0.0818132382810235,0.07692307692307693
mimic_cohort_NF_30_days,CatBoost,Kane,2,100,0.001,0.6623285127278149,0.6121451400639217,0.11658400921524288,0.09881061299176579
mimic_cohort_NF_30_days,CatBoost,Kane,3,100,0.005,0.6932926473381461,0.6139348249027237,0.08932587448317864,0.0986784140969163
mimic_cohort_NF_30_days,CatBoost,Kane,4,100,0.01,0.6988656605817053,0.7031690725070515,0.10208643939317122,0.0936007640878701
mimic_cohort_NF_30_days,XGBoost,Kane,0,1000,0.01,0.6945981036503103,0.6542089985486212,0.10189899363885041,0.12802768166089964
mimic_cohort_NF_30_days,XGBoost,Kane,1,1000,0.01,0.7186863985062311,0.5869685609610632,0.07411486445962398,0.09064327485380116
mimic_cohort_NF_30_days,XGBoost,Kane,2,1000,0.0,0.681860747511886,0.6148336153412296,0.12238643204759227,0.09881061299176579
mimic_cohort_NF_30_days,XGBoost,Kane,3,1000,0.005,0.6991733203165588,0.6608706225680934,0.08165470527030202,0.11042944785276074
mimic_cohort_NF_30_days,XGBoost,Kane,4,1000,0.005,0.7155244894760093,0.6339804214368675,0.07648497867137732,0.10913705583756345
mimic_cohort_NF_30_days,RandomForest,Kane,0,1000,0.01,0.7176997607215067,0.679913681154992,0.1169273270278878,0.10009624639076034
mimic_cohort_NF_30_days,RandomForest,Kane,1,1000,0.001,0.7241117933513003,0.6010905682883191,0.0613224055194734,0.07645525629887055
mimic_cohort_NF_30_days,RandomForest,Kane,2,1000,0.01,0.7011340323589939,0.6901673246850912,0.12332485743477721,0.09990393852065321
mimic_cohort_NF_30_days,RandomForest,Kane,3,1000,0.01,0.7080874584170238,0.6549471928849361,0.10422988122799176,0.10163339382940109
mimic_cohort_NF_30_days,RandomForest,Kane,4,1000,0.01,0.7141439727530532,0.6786129085780653,0.09831733602368363,0.09560975609756098
mimic_cohort_NF_30_days,CatBoost,Kane,0,1000,0.0,0.67865250149273,0.6225269268963409,0.09940195468456664,0.09689213893967093
mimic_cohort_NF_30_days,CatBoost,Kane,1,1000,0.01,0.6982875314627816,0.6142753684928005,0.09048131049090086,0.07882676443629698
mimic_cohort_NF_30_days,CatBoost,Kane,2,1000,0.01,0.672974888442662,0.6808234630569655,0.12211777435124196,0.09971777986829727
mimic_cohort_NF_30_days,CatBoost,Kane,3,1000,0.001,0.6731136984668584,0.645862284602557,0.11881872070621208,0.09824561403508772
mimic_cohort_NF_30_days,CatBoost,Kane,4,1000,0.005,0.6904115543015119,0.6140907582545213,0.07245351936321048,0.0915032679738562
