Model,Feature_Type,Dimension,Test_AUC_Mean,Test_AUC_Std,Test_AUPRC_Mean,Test_AUPRC_Std,Test_F1_Mean,Test_F1_Std
CatBoost,Kane,10,0.6058157669490831,0.02162493397253734,0.09207066452389673,0.0070950427454979,0.09211230869151499,0.009983917738052675
CatBoost,Kane,50,0.6452573604727924,0.03389921595048825,0.11809673902311454,0.059004296697845224,0.09358588128496903,0.00961043233479949
CatBoost,Kane,100,0.6400085177458078,0.038838949175879676,0.10157829352006567,0.016113489139651667,0.09298100140786,0.00921931293399754
CatBoost,Kane,1000,0.635515760260637,0.028454934739940374,0.1006546559192264,0.020560696869579512,0.09303711305064181,0.008528008335763003
RandomForest,Kane,10,0.6124502219342777,0.015885213014760105,0.09603004279471607,0.019105127724861018,0.09236282221721488,0.009545395393098758
RandomForest,Kane,50,0.670417558200209,0.019418977189779665,0.11226879546955641,0.02706077656254527,0.09421894901196366,0.00910330334768343
RandomForest,Kane,100,0.6538715901000702,0.043227191050657865,0.10532514412145114,0.026440913578384437,0.09275950167572697,0.00964480147513273
RandomForest,Kane,1000,0.6609463351182807,0.0358623646567282,0.10082436144676277,0.024206740196417248,0.09473971822744923,0.010463780894341003
XGBoost,Kane,10,0.5774591462305678,0.023488718403434194,0.07764459243192508,0.017141026960255525,0.09349530782415424,0.009130466908519106
XGBoost,Kane,50,0.6222326825660943,0.03411172606009461,0.10149968381875887,0.04610420180931097,0.10037556550113813,0.012854785733395086
XGBoost,Kane,100,0.6268400828922303,0.03482157710085981,0.09817936873516701,0.027954745042832612,0.09629742437946516,0.011973515697787356
XGBoost,Kane,1000,0.630172443771175,0.030151658281064437,0.0913079948175492,0.0205338139111552,0.10740961463935816,0.014073566646153087
