Cohort,Model,Feature_Type,Fold,Dimension,Selected_Threshold,Best_Epoch,Val_AUC_Best,Test_AUC,Test_AUPRC,Test_F1
mimic_cohort_NF_30_days,MLP_2Layer,Kane,0,10,0.0,24,0.6131653454133634,0.6074211290199374,0.0931459941935311,0.12419700214132762
mimic_cohort_NF_30_days,MLP_2Layer,Kane,1,10,0.01,24,0.6179162902740138,0.6182904490074125,0.07116638731190317,0.10294117647058823
mimic_cohort_NF_30_days,MLP_2Layer,Kane,2,10,0.01,43,0.6896016311166876,0.6293476217334085,0.10403638195794918,0.13043478260869565
mimic_cohort_NF_30_days,MLP_2Layer,Kane,3,10,0.0,15,0.6055229142185664,0.6700076431350751,0.12481641110942202,0.15122873345935728
mimic_cohort_NF_30_days,MLP_2Layer,Kane,4,10,0.01,29,0.6259900357690342,0.6444541231126597,0.1045284412408703,0.11573236889692586
mimic_cohort_NF_30_days,MLP_2Layer,Kane,0,50,0.0,5,0.7081540203850509,0.6700404858299596,0.12954418308504292,0.12595419847328243
mimic_cohort_NF_30_days,MLP_2Layer,Kane,1,50,0.005,12,0.6998193315266485,0.6183223992502344,0.0727637715568181,0.09975062344139651
mimic_cohort_NF_30_days,MLP_2Layer,Kane,2,50,0.01,6,0.7208908406524467,0.6718180109043053,0.1684380206168803,0.14479638009049775
mimic_cohort_NF_30_days,MLP_2Layer,Kane,3,50,0.005,4,0.6582843713278497,0.7416099221789884,0.13707054037298774,0.16117216117216118
mimic_cohort_NF_30_days,MLP_2Layer,Kane,4,50,0.01,13,0.6807933060807358,0.6909117305458768,0.1164653292737281,0.14732142857142858
mimic_cohort_NF_30_days,MLP_2Layer,Kane,0,100,0.0,4,0.7117214043035108,0.6578374455732947,0.12681025377119778,0.12355212355212356
mimic_cohort_NF_30_days,MLP_2Layer,Kane,1,100,0.01,8,0.7202348690153568,0.6145096702734941,0.06421090327417077,0.10623556581986143
mimic_cohort_NF_30_days,MLP_2Layer,Kane,2,100,0.01,6,0.7102572145545796,0.6916525662718557,0.149890577454387,0.1603563474387528
mimic_cohort_NF_30_days,MLP_2Layer,Kane,3,100,0.0,1,0.6563706563706564,0.6546866314619233,0.11730165724345358,0.12345679012345678
mimic_cohort_NF_30_days,MLP_2Layer,Kane,4,100,0.01,5,0.6737672457843638,0.6948730711796913,0.1093005705049416,0.17066666666666666
mimic_cohort_NF_30_days,MLP_2Layer,Kane,0,1000,0.0,3,0.7269535673839184,0.6432090749369797,0.1348528946047612,0.12958963282937366
mimic_cohort_NF_30_days,MLP_2Layer,Kane,1,1000,0.0,2,0.6912676904546823,0.6142540683309192,0.07165824928162312,0.10212765957446808
mimic_cohort_NF_30_days,MLP_2Layer,Kane,2,1000,0.01,7,0.7073713927227102,0.7024064673810866,0.20733299301988004,0.1625615763546798
mimic_cohort_NF_30_days,MLP_2Layer,Kane,3,1000,0.005,2,0.6478428739298305,0.7381878821567538,0.16324550750622274,0.14473684210526316
mimic_cohort_NF_30_days,MLP_2Layer,Kane,4,1000,0.01,2,0.6610884006131835,0.6788617886178862,0.1070990227664183,0.12658227848101267
