Cohort,Model,Feature_Type,Fold,Dimension,Selected_Threshold,Best_Epoch,Val_AUC_Best,Test_AUC,Test_AUPRC,Test_F1
mimic_cohort_NF_30_days,MLP_1Layer,Kane,0,10,0.01,9,0.62737825594564,0.630738675425865,0.09545985588204717,0.12609457092819615
mimic_cohort_NF_30_days,MLP_1Layer,Kane,1,10,0.01,28,0.6448660042155977,0.6242544943341569,0.07272126271371133,0.10424710424710425
mimic_cohort_NF_30_days,MLP_1Layer,Kane,2,10,0.01,28,0.6969887076537015,0.6175032900921225,0.10298085068322325,0.136986301369863
mimic_cohort_NF_30_days,MLP_1Layer,Kane,3,10,0.005,3,0.604498908846735,0.6271192329071706,0.08700226694597654,0.11292346298619825
mimic_cohort_NF_30_days,MLP_1Layer,Kane,4,10,0.01,6,0.6354432805314257,0.6497843039654887,0.07369947359044192,0.12944983818770225
mimic_cohort_NF_30_days,MLP_1Layer,Kane,0,50,0.01,2,0.6877123442808607,0.7027919945000382,0.1652547811476356,0.1464354527938343
mimic_cohort_NF_30_days,MLP_1Layer,Kane,1,50,0.01,16,0.7251731406202951,0.6276518701542131,0.08476567354194886,0.1031390134529148
mimic_cohort_NF_30_days,MLP_1Layer,Kane,2,50,0.01,6,0.7159974905897113,0.688512878360594,0.1835662208683155,0.14831460674157304
mimic_cohort_NF_30_days,MLP_1Layer,Kane,3,50,0.005,1,0.6281685412120195,0.6796136742634797,0.0958507810098587,0.15053763440860216
mimic_cohort_NF_30_days,MLP_1Layer,Kane,4,50,0.01,2,0.6821665815022995,0.7154678944748631,0.11189000564671758,0.14149139579349904
mimic_cohort_NF_30_days,MLP_1Layer,Kane,0,100,0.01,4,0.6944507361268403,0.6914292261859293,0.1556059075149989,0.15178571428571427
mimic_cohort_NF_30_days,MLP_1Layer,Kane,1,100,0.001,11,0.7280337247816924,0.5896949816818609,0.06265433943442424,0.09523809523809523
mimic_cohort_NF_30_days,MLP_1Layer,Kane,2,100,0.01,2,0.7179109159347554,0.6713855987967663,0.12079247495037745,0.13865546218487396
mimic_cohort_NF_30_days,MLP_1Layer,Kane,3,100,0.005,3,0.6523417827765655,0.7020393274041133,0.11983430545358943,0.14744801512287334
mimic_cohort_NF_30_days,MLP_1Layer,Kane,4,100,0.01,5,0.6756834440470108,0.7081466733034677,0.11542022773859194,0.15137614678899083
mimic_cohort_NF_30_days,MLP_1Layer,Kane,0,1000,0.01,6,0.7006511891279728,0.6580093193797265,0.1510693133982789,0.13238770685579196
mimic_cohort_NF_30_days,MLP_1Layer,Kane,1,1000,0.01,10,0.7104787714543812,0.6161497827383488,0.0738931237293952,0.11382113821138211
mimic_cohort_NF_30_days,MLP_1Layer,Kane,2,1000,0.01,4,0.6790150564617314,0.6606692987403647,0.1371046682502747,0.15064935064935064
mimic_cohort_NF_30_days,MLP_1Layer,Kane,3,1000,0.005,2,0.6369313412791673,0.7126354919399667,0.1158902746180615,0.15280135823429541
mimic_cohort_NF_30_days,MLP_1Layer,Kane,4,1000,0.01,4,0.6398824731732242,0.6778455284552845,0.10199625321238806,0.15053763440860216
