Cohort,Model,Feature_Type,Fold,Dimension,Selected_Threshold,Best_Epoch,Val_AUC_Best,Test_AUC,Test_AUPRC,Test_F1
mimic_cohort_aplasia_45_days,MLP_2Layer,Kane,0,10,0.001,26,0.6152426160337553,0.6568563169768753,0.35778612608649674,0.38926174496644295
mimic_cohort_aplasia_45_days,MLP_2Layer,Kane,1,10,0.0,18,0.5944680482094857,0.6224539347667737,0.2803899693889197,0.39490445859872614
mimic_cohort_aplasia_45_days,MLP_2Layer,Kane,2,10,0.001,30,0.6793670115642119,0.6808785529715762,0.35589100451286565,0.42045454545454547
mimic_cohort_aplasia_45_days,MLP_2Layer,Kane,3,10,0.0,24,0.6330709338839419,0.6343229434350153,0.30640330213204203,0.40930232558139534
mimic_cohort_aplasia_45_days,MLP_2Layer,Kane,4,10,0.005,38,0.6867244929530881,0.6413285858149907,0.3274098709466995,0.42042042042042044
mimic_cohort_aplasia_45_days,MLP_2Layer,Kane,0,50,0.001,7,0.7128644035289603,0.7712492949802596,0.4642025181993453,0.4906303236797274
mimic_cohort_aplasia_45_days,MLP_2Layer,Kane,1,50,0.0,5,0.6941819127720454,0.7423719211158173,0.41635988437959515,0.46611570247933887
mimic_cohort_aplasia_45_days,MLP_2Layer,Kane,2,50,0.001,9,0.7442593924638963,0.7495390471658835,0.48045604776496476,0.46557377049180326
mimic_cohort_aplasia_45_days,MLP_2Layer,Kane,3,50,0.0,10,0.7771110250785047,0.760702300692324,0.46848537122808986,0.4976671850699845
mimic_cohort_aplasia_45_days,MLP_2Layer,Kane,4,50,0.001,18,0.7680333728088424,0.7182707524097252,0.4489678094095129,0.4928
mimic_cohort_aplasia_45_days,MLP_2Layer,Kane,0,100,0.001,13,0.7106947640966629,0.7494571347997744,0.43521948155715934,0.46434494195688225
mimic_cohort_aplasia_45_days,MLP_2Layer,Kane,1,100,0.0,4,0.6984197520159542,0.73932338737961,0.44265589903108676,0.46740858505564387
mimic_cohort_aplasia_45_days,MLP_2Layer,Kane,2,100,0.001,8,0.7532009074309745,0.7480653198252674,0.44188792798900545,0.48177496038034867
mimic_cohort_aplasia_45_days,MLP_2Layer,Kane,3,100,0.0,11,0.7443648642835635,0.7464703570456813,0.44112469493920126,0.4794745484400657
mimic_cohort_aplasia_45_days,MLP_2Layer,Kane,4,100,0.01,3,0.7649606845266673,0.7084304416630701,0.4249780605921199,0.49122807017543857
mimic_cohort_aplasia_45_days,MLP_2Layer,Kane,0,1000,0.005,4,0.719337360951285,0.7631556683587141,0.4879517043126904,0.4652777777777778
mimic_cohort_aplasia_45_days,MLP_2Layer,Kane,1,1000,0.01,2,0.6997745599583803,0.6924757870882456,0.40407883916822673,0.4401772525849335
mimic_cohort_aplasia_45_days,MLP_2Layer,Kane,2,1000,0.001,14,0.747778454047474,0.757165420937502,0.47997641387968515,0.49916805324459235
mimic_cohort_aplasia_45_days,MLP_2Layer,Kane,3,1000,0.0,8,0.7613347958876414,0.7593871874716571,0.4334513928282008,0.5335753176043557
mimic_cohort_aplasia_45_days,MLP_2Layer,Kane,4,1000,0.0,5,0.7719382475007734,0.698489425981873,0.3935512786683206,0.47877758913412566
