Cohort,Model,Feature_Type,Fold,Dimension,Selected_Threshold,Best_Epoch,Val_AUC_Best,Test_AUC,Test_AUPRC,Test_F1
mimic_cohort_aplasia_45_days,MLP_1Layer,Kane,0,10,0.005,42,0.678546871497503,0.6965031020868585,0.3724126929213537,0.35368043087971274
mimic_cohort_aplasia_45_days,MLP_1Layer,Kane,1,10,0.01,28,0.6851015380569319,0.6352955459033642,0.3054923875733506,0.35500878734622143
mimic_cohort_aplasia_45_days,MLP_1Layer,Kane,2,10,0.001,33,0.6747327763054001,0.6672680531599225,0.3463402587407076,0.3615720524017467
mimic_cohort_aplasia_45_days,MLP_1Layer,Kane,3,10,0.001,42,0.6810613339118577,0.6798606282310972,0.3665255712322467,0.36261682242990656
mimic_cohort_aplasia_45_days,MLP_1Layer,Kane,4,10,0.005,39,0.6914525402679471,0.6267371601208458,0.31223742654090153,0.38817005545286504
mimic_cohort_aplasia_45_days,MLP_1Layer,Kane,0,50,0.005,40,0.781943709689676,0.7711787930062042,0.4888454449661875,0.3562386980108499
mimic_cohort_aplasia_45_days,MLP_1Layer,Kane,1,50,0.01,32,0.7838140511385041,0.7143213640165106,0.3950736053587715,0.35532102022867196
mimic_cohort_aplasia_45_days,MLP_1Layer,Kane,2,50,0.0,33,0.7850775866229475,0.7378483580827004,0.4461360504819034,0.3615720524017467
mimic_cohort_aplasia_45_days,MLP_1Layer,Kane,3,50,0.005,41,0.7907937147461723,0.764111013695317,0.4766246506861714,0.3656927426955702
mimic_cohort_aplasia_45_days,MLP_1Layer,Kane,4,50,0.01,37,0.7943312415071571,0.6981873111782477,0.4317744006305767,0.4003813155386082
mimic_cohort_aplasia_45_days,MLP_1Layer,Kane,0,100,0.0,28,0.7893417309169671,0.7551325437112238,0.45627223518385646,0.35368043087971274
mimic_cohort_aplasia_45_days,MLP_1Layer,Kane,1,100,0.005,30,0.7939270674288913,0.6933188550462677,0.37939091034588973,0.35594713656387666
mimic_cohort_aplasia_45_days,MLP_1Layer,Kane,2,100,0.001,29,0.7877739148371808,0.734147518124203,0.4417742169705081,0.3618881118881119
mimic_cohort_aplasia_45_days,MLP_1Layer,Kane,3,100,0.0,30,0.7970954978408645,0.7418901351392206,0.40274476251167357,0.36261682242990656
mimic_cohort_aplasia_45_days,MLP_1Layer,Kane,4,100,0.0,41,0.80937810907665,0.6940727952812545,0.4152043775030199,0.38817005545286504
mimic_cohort_aplasia_45_days,MLP_1Layer,Kane,0,1000,0.01,30,0.8070581578075858,0.8025944726452341,0.5601195112809151,0.36891385767790263
mimic_cohort_aplasia_45_days,MLP_1Layer,Kane,1,1000,0.0,30,0.8069445125096303,0.7172754741414196,0.40199130211667167,0.35500878734622143
mimic_cohort_aplasia_45_days,MLP_1Layer,Kane,2,1000,0.0,37,0.8070826567203281,0.7623994660216631,0.48817996761287813,0.3615720524017467
mimic_cohort_aplasia_45_days,MLP_1Layer,Kane,3,1000,0.001,41,0.8016074712287443,0.771563321945763,0.4525242189851057,0.36363636363636365
mimic_cohort_aplasia_45_days,MLP_1Layer,Kane,4,1000,0.005,23,0.8151291510100439,0.6729247590274781,0.36253537683354475,0.39069767441860465
