Cohort,Model,Feature_Type,Fold,Dimension,Selected_Threshold,Best_Epoch,Val_AUC_Best,Test_AUC,Test_AUPRC,Test_F1
mimic_cohort_aplasia_45_days,MLP_3Layer,Kane,0,10,0.005,46,0.6672733996379178,0.7036978285391992,0.39114690188099077,0.35368043087971274
mimic_cohort_aplasia_45_days,MLP_3Layer,Kane,1,10,0.005,46,0.6805871225104608,0.6265141500526075,0.3048505134960968,0.35500878734622143
mimic_cohort_aplasia_45_days,MLP_3Layer,Kane,2,10,0.0,47,0.6699967232444045,0.6743657355088984,0.354495680653778,0.3615720524017467
mimic_cohort_aplasia_45_days,MLP_3Layer,Kane,3,10,0.0,48,0.6750139465691439,0.6538077818423678,0.34048406913788903,0.36261682242990656
mimic_cohort_aplasia_45_days,MLP_3Layer,Kane,4,10,0.005,46,0.6846557005837651,0.6263774996403395,0.3197582144318224,0.38817005545286504
mimic_cohort_aplasia_45_days,MLP_3Layer,Kane,0,50,0.0,42,0.8032451949899189,0.7444726452340666,0.46080376574573295,0.35368043087971274
mimic_cohort_aplasia_45_days,MLP_3Layer,Kane,1,50,0.01,32,0.7944448276426869,0.7293279736693016,0.4384268089002379,0.35532102022867196
mimic_cohort_aplasia_45_days,MLP_3Layer,Kane,2,50,0.001,44,0.7919604418952982,0.7482635791087584,0.47076809808611103,0.3615720524017467
mimic_cohort_aplasia_45_days,MLP_3Layer,Kane,3,50,0.005,40,0.8050088844810843,0.7616319496931402,0.49775733134967615,0.36261682242990656
mimic_cohort_aplasia_45_days,MLP_3Layer,Kane,4,50,0.001,34,0.7951440535349094,0.7080995540210041,0.43568498764905955,0.3885291396854764
mimic_cohort_aplasia_45_days,MLP_3Layer,Kane,0,100,0.001,37,0.810928335147402,0.7691765369430346,0.4461844644061727,0.35368043087971274
mimic_cohort_aplasia_45_days,MLP_3Layer,Kane,1,100,0.0,35,0.8085595989844102,0.7194000053956349,0.41403916439929705,0.35500878734622143
mimic_cohort_aplasia_45_days,MLP_3Layer,Kane,2,100,0.005,36,0.8033436843121912,0.7546210934660349,0.49617251647777394,0.36379613356766255
mimic_cohort_aplasia_45_days,MLP_3Layer,Kane,3,100,0.01,42,0.817643443046344,0.7445052453366389,0.45663674257117337,0.3663833805476865
mimic_cohort_aplasia_45_days,MLP_3Layer,Kane,4,100,0.01,28,0.8093893018438375,0.7048698029060567,0.4144797790632284,0.4
mimic_cohort_aplasia_45_days,MLP_3Layer,Kane,0,1000,0.005,37,0.8234363170329019,0.7679216018048505,0.4880938297921593,0.3552750225428314
mimic_cohort_aplasia_45_days,MLP_3Layer,Kane,1,1000,0.01,36,0.821298218428371,0.7350068794345374,0.4447004560627934,0.35657546337157986
mimic_cohort_aplasia_45_days,MLP_3Layer,Kane,2,1000,0.0,36,0.8238209842686489,0.7963811072120119,0.5350731005020738,0.3615720524017467
mimic_cohort_aplasia_45_days,MLP_3Layer,Kane,3,1000,0.01,32,0.8213379925205068,0.771706926262962,0.4986608801662109,0.3734359961501444
mimic_cohort_aplasia_45_days,MLP_3Layer,Kane,4,1000,0.01,27,0.816898643038702,0.6945187742770823,0.4157392676127091,0.40384615384615385
