Cohort,Model,Feature_Type,Fold,Dimension,Selected_Threshold,Val_AUC_Best,Test_AUC,Test_AUPRC,Test_F1
mimic_cohort_NF_30_days,XGBoost,Kane,0,10,0.0,0.6279161947904869,0.563593308379803,0.06761684657253748,0.0425531914893617
mimic_cohort_NF_30_days,XGBoost,Kane,1,10,0.001,0.6209575429087624,0.5265613018658942,0.05480659124172126,0.0759493670886076
mimic_cohort_NF_30_days,XGBoost,Kane,2,10,0.01,0.6169385194479298,0.5457134799774394,0.06683077031770061,0.05263157894736842
mimic_cohort_NF_30_days,XGBoost,Kane,3,10,0.01,0.5914050696659392,0.5614924958310172,0.08557699518385432,0.06837606837606838
mimic_cohort_NF_30_days,XGBoost,Kane,4,10,0.01,0.6413196218702095,0.5958602953376473,0.07336758186866406,0.14893617021276595
mimic_cohort_NF_30_days,RandomForest,Kane,0,10,0.0,0.6067100792751983,0.601481934153235,0.07501340016778789,0.0
mimic_cohort_NF_30_days,RandomForest,Kane,1,10,0.001,0.5779885576633544,0.544304336712959,0.06548558884506395,0.037037037037037035
mimic_cohort_NF_30_days,RandomForest,Kane,2,10,0.01,0.6210163111668758,0.6084790374130475,0.08823359756015794,0.03278688524590164
mimic_cohort_NF_30_days,RandomForest,Kane,3,10,0.01,0.5968440490179621,0.6080982490272373,0.09998960479668734,0.05405405405405406
mimic_cohort_NF_30_days,RandomForest,Kane,4,10,0.01,0.6695835462442514,0.6342085614733698,0.09230131903931815,0.0
mimic_cohort_NF_30_days,CatBoost,Kane,0,10,0.0,0.6293035107587769,0.5929646321900542,0.07801353288459548,0.11612903225806452
mimic_cohort_NF_30_days,CatBoost,Kane,1,10,0.005,0.5579644685335743,0.5736133594615318,0.10387407591074826,0.09722222222222222
mimic_cohort_NF_30_days,CatBoost,Kane,2,10,0.005,0.5949184441656211,0.5995111863132168,0.08642882228205533,0.1322314049586777
mimic_cohort_NF_30_days,CatBoost,Kane,3,10,0.01,0.5735437300654692,0.5885214007782101,0.10288062482849317,0.12682926829268293
mimic_cohort_NF_30_days,CatBoost,Kane,4,10,0.01,0.6116185487991825,0.5938485150157625,0.08584527427830202,0.11904761904761904
mimic_cohort_NF_30_days,XGBoost,Kane,0,50,0.005,0.6241506228765571,0.6459208616606829,0.11970144201036206,0.11594202898550725
