Model,Feature_Type,Dimension,Test_AUC_Mean,Test_AUC_Std,Test_AUPRC_Mean,Test_AUPRC_Std,Test_F1_Mean,Test_F1_Std
CatBoost,Kane,10,0.6440657828320409,0.02132469613623223,0.33921527724693973,0.033581214744911145,0.36420962970209053,0.013956319169812511
CatBoost,Kane,50,0.7328458601430082,0.02066874225971017,0.451163604142347,0.03289597669106057,0.36427747195137583,0.013947462441374764
CatBoost,Kane,100,0.7260730577520069,0.019324204744344004,0.4263831636881307,0.012240369562327783,0.36420962970209053,0.013956319169812511
CatBoost,Kane,1000,0.7195629476243491,0.02438687816722613,0.43526097705326083,0.02856514314390823,0.36440063623541885,0.013781632625856733
RandomForest,Kane,10,0.6455259206212124,0.029416898833682203,0.3530872574171344,0.024486431455374266,0.36420962970209053,0.013956319169812511
RandomForest,Kane,50,0.7328681296717416,0.02381468154675415,0.434006321500122,0.016857609667625593,0.3642720762785806,0.01390546438920258
RandomForest,Kane,100,0.7268338978572133,0.028421066157678834,0.4273346575448594,0.02608976993730807,0.36420962970209053,0.013956319169812511
RandomForest,Kane,1000,0.7285612568203275,0.022946281710561192,0.4341471331158423,0.02644857478288223,0.3647868948956937,0.013556111040144585
XGBoost,Kane,10,0.6308191865126126,0.02796249307527324,0.33412624144686287,0.033410318999624704,0.3644024750455118,0.01384605726500292
XGBoost,Kane,50,0.7253931786316089,0.0294625296829276,0.43868297767774533,0.048637753876043265,0.36856576013631803,0.011440883335741161
XGBoost,Kane,100,0.7187112912648855,0.023817863966964975,0.42046824725899096,0.027749352511916146,0.3669810062127151,0.012658220564431678
XGBoost,Kane,1000,0.7166586632249201,0.03090730389220982,0.43083299289677257,0.025208794719870066,0.36650412740010535,0.012676923406368678
