Cohort,Model,Feature_Type,Fold,Selected_Threshold,Val_AUC_Best,Test_AUC,Test_AUPRC,Test_F1
mimic_cohort_aplasia_45_days,XGBoost,Full Codes,0,0.0,0.8018675680859226,0.8428581500282009,0.6030540050546959,0.576
mimic_cohort_aplasia_45_days,XGBoost,Full Codes,1,0.005,0.7585352900372843,0.830118434186743,0.5869891850888156,0.5763358778625954
mimic_cohort_aplasia_45_days,XGBoost,Full Codes,2,0.005,0.845670336966746,0.8305213558291533,0.5866385260802176,0.5936395759717314
mimic_cohort_aplasia_45_days,XGBoost,Full Codes,3,0.0,0.8528627349765562,0.8242623272969134,0.6166961828556975,0.5450901803607214
mimic_cohort_aplasia_45_days,XGBoost,Full Codes,4,0.01,0.8442157709993705,0.7687886635016544,0.4807974672921604,0.5590277777777778
mimic_cohort_aplasia_45_days,RandomForest,Full Codes,0,0.005,0.7954725258918297,0.8544345741680767,0.6114721775289389,0.6049382716049383
mimic_cohort_aplasia_45_days,RandomForest,Full Codes,1,0.01,0.7687938957773346,0.8395574230447569,0.5874204375891627,0.5658153241650294
mimic_cohort_aplasia_45_days,RandomForest,Full Codes,2,0.005,0.8309688485586233,0.832619599912766,0.5907718020578356,0.5795053003533569
mimic_cohort_aplasia_45_days,RandomForest,Full Codes,3,0.01,0.8558254828580032,0.8281963297759773,0.6441042535738877,0.5521235521235521
mimic_cohort_aplasia_45_days,RandomForest,Full Codes,4,0.005,0.8471764341879248,0.7452021291900446,0.4464987126969548,0.5043478260869565
mimic_cohort_aplasia_45_days,CatBoost,Full Codes,0,0.005,0.798427311085539,0.8690179075014101,0.6361980024145578,0.5992366412213741
mimic_cohort_aplasia_45_days,CatBoost,Full Codes,1,0.01,0.7751614931067372,0.8382017697682574,0.6042234324961931,0.5847299813780261
mimic_cohort_aplasia_45_days,CatBoost,Full Codes,2,0.01,0.8447684391080619,0.8343841075358354,0.5943847293344059,0.5836298932384342
mimic_cohort_aplasia_45_days,CatBoost,Full Codes,3,0.005,0.8660794941282746,0.8325384708407655,0.6375151229126005,0.556910569105691
mimic_cohort_aplasia_45_days,CatBoost,Full Codes,4,0.01,0.8576694512904224,0.7886706948640484,0.4940346021366419,0.5784832451499118
mimic_cohort_aplasia_45_days,XGBoost,Groups,0,0.0,0.7854274549290372,0.8290221376198534,0.5326748052517264,0.5817490494296578
mimic_cohort_aplasia_45_days,XGBoost,Groups,1,0.0,0.7630657677967572,0.8207199125907141,0.5667715574290516,0.5497076023391813
mimic_cohort_aplasia_45_days,XGBoost,Groups,2,0.0,0.8125159077076303,0.8022363647177779,0.5601975618762114,0.5392354124748491
mimic_cohort_aplasia_45_days,XGBoost,Groups,3,0.005,0.8493192670021938,0.812260029627838,0.5922819229075721,0.5362903225806451
mimic_cohort_aplasia_45_days,XGBoost,Groups,4,0.01,0.7986055543108322,0.7621493310315064,0.4404712535457119,0.5480943738656987
mimic_cohort_aplasia_45_days,RandomForest,Groups,0,0.01,0.7806086977368623,0.8509341511562324,0.5985721871255367,0.6042065009560229
mimic_cohort_aplasia_45_days,RandomForest,Groups,1,0.01,0.7527041966530824,0.8231344592224891,0.5447970368834595,0.568738229755179
mimic_cohort_aplasia_45_days,RandomForest,Groups,2,0.005,0.7970342499861672,0.8152553910003503,0.5818647909723426,0.569811320754717
mimic_cohort_aplasia_45_days,RandomForest,Groups,3,0.01,0.8297629801694842,0.8049551047555703,0.5956084691940365,0.5461847389558233
mimic_cohort_aplasia_45_days,RandomForest,Groups,4,0.01,0.8236725026405914,0.7445943029779887,0.46944376240199115,0.5372050816696915
mimic_cohort_aplasia_45_days,CatBoost,Groups,0,0.0,0.7883342922899885,0.8329984489565708,0.5333989919619103,0.5836431226765799
mimic_cohort_aplasia_45_days,CatBoost,Groups,1,0.0,0.7659758952570883,0.8259165834839615,0.5617703442861702,0.5875706214689266
mimic_cohort_aplasia_45_days,CatBoost,Groups,2,0.01,0.8064626791346208,0.8186456247480456,0.5815894733048832,0.5771543086172345
mimic_cohort_aplasia_45_days,CatBoost,Groups,3,0.01,0.8537875854949025,0.8043466759379629,0.5947808905549217,0.5366795366795367
mimic_cohort_aplasia_45_days,CatBoost,Groups,4,0.0,0.824141941128146,0.7449647532729105,0.44805846986529196,0.5528169014084507
mimic_cohort_aplasia_45_days,XGBoost,Combined,0,0.0,0.8135968066743383,0.856979695431472,0.6371247373236405,0.6175869120654397
mimic_cohort_aplasia_45_days,XGBoost,Combined,1,0.01,0.7787002514523542,0.8406061995845362,0.6016684213622012,0.5921325051759835
mimic_cohort_aplasia_45_days,XGBoost,Combined,2,0.005,0.8373042660322026,0.8451297607010448,0.6209546707226281,0.588
mimic_cohort_aplasia_45_days,XGBoost,Combined,3,0.0,0.8646545790854734,0.8120786347008495,0.5914362497580022,0.5512820512820513
mimic_cohort_aplasia_45_days,XGBoost,Combined,4,0.005,0.8456187519337666,0.7801431448712415,0.48171412815212766,0.5457943925233645
mimic_cohort_aplasia_45_days,RandomForest,Combined,0,0.01,0.7920023014959724,0.8611992385786802,0.621902345908469,0.6043737574552683
mimic_cohort_aplasia_45_days,RandomForest,Combined,1,0.005,0.7677154686551634,0.8427779426444006,0.5921529599553415,0.5637065637065637
mimic_cohort_aplasia_45_days,RandomForest,Combined,2,0.01,0.8258230509599956,0.8332110734418472,0.6025972516636229,0.5845588235294118
mimic_cohort_aplasia_45_days,RandomForest,Combined,3,0.01,0.8587344603604766,0.8267489494210478,0.6288651328278546,0.5570599613152805
mimic_cohort_aplasia_45_days,RandomForest,Combined,4,0.005,0.8518974917048086,0.7452165156092648,0.46375133430748877,0.5223613595706619
mimic_cohort_aplasia_45_days,CatBoost,Combined,0,0.001,0.8185953682393555,0.865869994359842,0.627545966605308,0.6171428571428571
mimic_cohort_aplasia_45_days,CatBoost,Combined,1,0.01,0.7729558657764676,0.8381680470499366,0.577434029774707,0.5980582524271845
mimic_cohort_aplasia_45_days,CatBoost,Combined,2,0.0,0.8430753057046423,0.8391125914470945,0.5925353605155889,0.5996275605214153
mimic_cohort_aplasia_45_days,CatBoost,Combined,3,0.005,0.868794898266443,0.8346585240499441,0.6260922179539004,0.5622489959839357
mimic_cohort_aplasia_45_days,CatBoost,Combined,4,0.001,0.8658099414268796,0.7635016544382104,0.41676654250226597,0.5734265734265734
