Cohort,Model,Feature_Type,Fold,Dimension,Selected_Threshold,Best_Epoch,Val_AUC_Best,Test_AUC,Test_AUPRC,Test_F1
mimic_cohort_NF_30_days,MLP_2Layer,Node2Vec,0,10,0.01,25,0.6800207648190555,0.6574459552364219,0.08876099298940243,0.09689213893967093
mimic_cohort_NF_30_days,MLP_2Layer,Node2Vec,1,10,0.005,36,0.6889401781654598,0.6063623583539235,0.0627443229690389,0.0761904761904762
mimic_cohort_NF_30_days,MLP_2Layer,Node2Vec,2,10,0.0,28,0.6626418311255144,0.6926865952246662,0.10480808975338855,0.09881061299176579
mimic_cohort_NF_30_days,MLP_2Layer,Node2Vec,3,10,0.0,32,0.6784543027567124,0.675983185102835,0.09853865220873054,0.09824561403508772
mimic_cohort_NF_30_days,MLP_2Layer,Node2Vec,4,10,0.001,34,0.6827447878813789,0.6824705491952879,0.08373596379282447,0.09057301293900184
mimic_cohort_NF_30_days,MLP_2Layer,Node2Vec,0,50,0.0,7,0.7166046925362529,0.6972156443358031,0.1321895233748669,0.09689213893967093
mimic_cohort_NF_30_days,MLP_2Layer,Node2Vec,1,50,0.01,7,0.7442006499730703,0.573251256709551,0.05997069280024314,0.0761904761904762
mimic_cohort_NF_30_days,MLP_2Layer,Node2Vec,2,50,0.01,8,0.7190253010472952,0.742019176536943,0.162535523010086,0.09917355371900827
mimic_cohort_NF_30_days,MLP_2Layer,Node2Vec,3,50,0.01,9,0.7251440574770563,0.7117843246247916,0.16955583698151605,0.09833187006145742
mimic_cohort_NF_30_days,MLP_2Layer,Node2Vec,4,50,0.01,8,0.7280292990181408,0.660880205740833,0.1076797210063649,0.09057301293900184
mimic_cohort_NF_30_days,MLP_2Layer,Node2Vec,0,100,0.01,2,0.7044687835936632,0.6681307768696052,0.1024241761660409,0.09689213893967093
mimic_cohort_NF_30_days,MLP_2Layer,Node2Vec,1,100,0.0,4,0.7272301807131937,0.6367470392774985,0.09855297619980768,0.0761904761904762
mimic_cohort_NF_30_days,MLP_2Layer,Node2Vec,2,100,0.01,4,0.717399771626439,0.7454784733972551,0.15973518591094643,0.0989010989010989
mimic_cohort_NF_30_days,MLP_2Layer,Node2Vec,3,100,0.001,2,0.6919690203388362,0.7015876876042246,0.18079045419420914,0.09824561403508772
mimic_cohort_NF_30_days,MLP_2Layer,Node2Vec,4,100,0.001,2,0.7106258817493907,0.6642815662850506,0.15708195257504365,0.09057301293900184
mimic_cohort_NF_30_days,MLP_2Layer,Node2Vec,0,1000,0.005,2,0.7280012655518767,0.696470857841265,0.12187139458603627,0.09689213893967093
mimic_cohort_NF_30_days,MLP_2Layer,Node2Vec,1,1000,0.005,2,0.7280661882184224,0.6403893669591889,0.09113267501822511,0.0761904761904762
mimic_cohort_NF_30_days,MLP_2Layer,Node2Vec,2,1000,0.0,2,0.7385740013630956,0.7512502350065803,0.21129288814895592,0.09881061299176579
mimic_cohort_NF_30_days,MLP_2Layer,Node2Vec,3,1000,0.005,4,0.7308158831400727,0.7342968315730961,0.17568369848742452,0.0984182776801406
mimic_cohort_NF_30_days,MLP_2Layer,Node2Vec,4,1000,0.005,3,0.7488777735026293,0.7077526132404182,0.17834222051553122,0.09057301293900184
