Cohort,Model,Feature_Type,Fold,Dimension,Selected_Threshold,Val_AUC_Best,Test_AUC,Test_AUPRC,Test_F1
mimic_cohort_NF_30_days,XGBoost,Node2Vec,0,10,0.001,0.6736140983244399,0.6122335956000304,0.08663632777593919,0.09689213893967093
mimic_cohort_NF_30_days,XGBoost,Node2Vec,1,10,0.01,0.6514974069807988,0.6288872795433245,0.0659142769429581,0.08187134502923976
mimic_cohort_NF_30_days,XGBoost,Node2Vec,2,10,0.001,0.6467529495506754,0.5595224666290657,0.061767852615941005,0.09917355371900827
mimic_cohort_NF_30_days,XGBoost,Node2Vec,3,10,0.005,0.6764093307476373,0.5637854363535297,0.06311826545514276,0.09847806624888093
mimic_cohort_NF_30_days,XGBoost,Node2Vec,4,10,0.001,0.6604641386288174,0.6197112991538078,0.07860591453537061,0.09057301293900184
mimic_cohort_NF_30_days,RandomForest,Node2Vec,0,10,0.0,0.6919043745915133,0.6169696738217095,0.10296027290297535,0.09689213893967093
mimic_cohort_NF_30_days,RandomForest,Node2Vec,1,10,0.0,0.6605352281037343,0.6197495100962768,0.06946836170623558,0.0761904761904762
mimic_cohort_NF_30_days,RandomForest,Node2Vec,2,10,0.0,0.6753032724100696,0.6283699943598421,0.0728406708067146,0.09881061299176579
mimic_cohort_NF_30_days,RandomForest,Node2Vec,3,10,0.005,0.6922572682169884,0.5790369649805447,0.0648785683970107,0.0984182776801406
mimic_cohort_NF_30_days,RandomForest,Node2Vec,4,10,0.001,0.6717879383808588,0.62707400033184,0.08858173429233972,0.09057301293900184
mimic_cohort_NF_30_days,CatBoost,Node2Vec,0,10,0.0,0.6841432669221953,0.6603582614009625,0.09236237916336193,0.09689213893967093
mimic_cohort_NF_30_days,CatBoost,Node2Vec,1,10,0.0,0.6665652813566711,0.6848854051290789,0.0881899327522947,0.0761904761904762
mimic_cohort_NF_30_days,CatBoost,Node2Vec,2,10,0.001,0.6712186960378776,0.5879300620417373,0.06912009786927986,0.0989010989010989
mimic_cohort_NF_30_days,CatBoost,Node2Vec,3,10,0.01,0.6848582992367591,0.6022095608671484,0.08410151615675471,0.10053859964093358
mimic_cohort_NF_30_days,CatBoost,Node2Vec,4,10,0.001,0.6726233736622348,0.6575825452132072,0.12161243001224897,0.09057301293900184
mimic_cohort_NF_30_days,XGBoost,Node2Vec,0,50,0.0,0.7069145023579018,0.660549232296998,0.08810916399037959,0.09689213893967093
mimic_cohort_NF_30_days,XGBoost,Node2Vec,1,50,0.01,0.7136572357805347,0.6242438442532162,0.08545864830283317,0.08237986270022883
mimic_cohort_NF_30_days,XGBoost,Node2Vec,2,50,0.01,0.6753060726781523,0.6292536191013349,0.10971357950874311,0.11042944785276074
mimic_cohort_NF_30_days,XGBoost,Node2Vec,3,50,0.0,0.6923865264783648,0.6226202056698166,0.07236784481699718,0.09824561403508772
mimic_cohort_NF_30_days,XGBoost,Node2Vec,4,50,0.01,0.7009782964958032,0.6698398871743819,0.11876168758121904,0.09785202863961814
mimic_cohort_NF_30_days,RandomForest,Node2Vec,0,50,0.0,0.7231459497040117,0.6526430372011306,0.09707698032566796,0.09689213893967093
mimic_cohort_NF_30_days,RandomForest,Node2Vec,1,50,0.005,0.7111216613185966,0.6532120644116894,0.08297653595589075,0.07746478873239436
mimic_cohort_NF_30_days,RandomForest,Node2Vec,2,50,0.0,0.6938535936926106,0.6785579996239894,0.10232263758635257,0.0989010989010989
mimic_cohort_NF_30_days,RandomForest,Node2Vec,3,50,0.005,0.7017326824722945,0.6745066703724292,0.08342323027639052,0.0984182776801406
mimic_cohort_NF_30_days,RandomForest,Node2Vec,4,50,0.005,0.7124606330069968,0.6868466898954704,0.10653495071153729,0.0898876404494382
mimic_cohort_NF_30_days,CatBoost,Node2Vec,0,50,0.0,0.6893896788609893,0.6575891834084486,0.10108755904885067,0.09689213893967093
mimic_cohort_NF_30_days,CatBoost,Node2Vec,1,50,0.01,0.7132248695985889,0.6161923830621112,0.08092607392213222,0.07321428571428572
mimic_cohort_NF_30_days,CatBoost,Node2Vec,2,50,0.01,0.6827349201374724,0.6561383718744125,0.14562664658133612,0.09980806142034548
mimic_cohort_NF_30_days,CatBoost,Node2Vec,3,50,0.005,0.6722094349999942,0.6627640355753196,0.0882204321645763,0.09833187006145742
mimic_cohort_NF_30_days,CatBoost,Node2Vec,4,50,0.005,0.69570205064626,0.6392483822797411,0.10236053423858543,0.09167446211412535
mimic_cohort_NF_30_days,XGBoost,Node2Vec,0,100,0.005,0.7397450358242201,0.699698265984264,0.10696022363019891,0.11171960569550932
mimic_cohort_NF_30_days,XGBoost,Node2Vec,1,100,0.01,0.7504068286505335,0.6104413393541791,0.07801900011435295,0.08633093525179857
mimic_cohort_NF_30_days,XGBoost,Node2Vec,2,100,0.001,0.7138285396155492,0.7175596916713668,0.14310111610567902,0.09953917050691244
mimic_cohort_NF_30_days,XGBoost,Node2Vec,3,100,0.0,0.7392607775790111,0.6518030850472485,0.10118136706435868,0.09824561403508772
mimic_cohort_NF_30_days,XGBoost,Node2Vec,4,100,0.0,0.7454986248272127,0.7162974946075991,0.1328850635859938,0.09057301293900184
mimic_cohort_NF_30_days,RandomForest,Node2Vec,0,100,0.01,0.7529402213843487,0.730635551142006,0.14519262497767776,0.09778597785977859
mimic_cohort_NF_30_days,RandomForest,Node2Vec,1,100,0.01,0.7603432525340822,0.6761736389196558,0.08918089017052469,0.07699037620297462
mimic_cohort_NF_30_days,RandomForest,Node2Vec,2,100,0.0,0.7373211242951001,0.7448298552359466,0.21162429327735757,0.09881061299176579
mimic_cohort_NF_30_days,RandomForest,Node2Vec,3,100,0.0,0.7418630773535863,0.7066252084491385,0.10746573711466971,0.09824561403508772
mimic_cohort_NF_30_days,RandomForest,Node2Vec,4,100,0.0,0.7526648426032804,0.6941471710635473,0.12648033239070106,0.09057301293900184
mimic_cohort_NF_30_days,CatBoost,Node2Vec,0,100,0.01,0.7253838306561895,0.7021617905431213,0.13411033187889385,0.10037878787878787
mimic_cohort_NF_30_days,CatBoost,Node2Vec,1,100,0.01,0.7454786824694987,0.6514228508136662,0.08041005087402162,0.0775473399458972
mimic_cohort_NF_30_days,CatBoost,Node2Vec,2,100,0.0,0.7192601672611705,0.7104530926865952,0.1811514848601934,0.09881061299176579
mimic_cohort_NF_30_days,CatBoost,Node2Vec,3,100,0.01,0.7224298373073944,0.660088938299055,0.11668937067089964,0.0990990990990991
mimic_cohort_NF_30_days,CatBoost,Node2Vec,4,100,0.001,0.7321085032704886,0.706611913057906,0.22082387080356003,0.09057301293900184
mimic_cohort_NF_30_days,XGBoost,Node2Vec,0,1000,0.0,0.7474683593248151,0.7137728210220763,0.15964088778167138,0.09689213893967093
mimic_cohort_NF_30_days,XGBoost,Node2Vec,1,1000,0.0,0.7613161268522836,0.6670784697963704,0.09110338735529458,0.0761904761904762
mimic_cohort_NF_30_days,XGBoost,Node2Vec,2,1000,0.001,0.7333602201118704,0.7055837563451777,0.11737592037863834,0.10009267840593142
mimic_cohort_NF_30_days,XGBoost,Node2Vec,3,1000,0.005,0.7375803733096227,0.7054961089494163,0.14263455217159005,0.1261904761904762
mimic_cohort_NF_30_days,XGBoost,Node2Vec,4,1000,0.0,0.7489490259786528,0.6974033515845364,0.12921704262722447,0.09057301293900184
mimic_cohort_NF_30_days,RandomForest,Node2Vec,0,1000,0.001,0.7537212152420328,0.7128752578107096,0.15610998072468488,0.09689213893967093
mimic_cohort_NF_30_days,RandomForest,Node2Vec,1,1000,0.005,0.7586734128362816,0.6800289682201585,0.09159412888859428,0.07719298245614035
mimic_cohort_NF_30_days,RandomForest,Node2Vec,2,1000,0.01,0.7427599551330187,0.7382966723068246,0.1545428923235593,0.10182516810758886
mimic_cohort_NF_30_days,RandomForest,Node2Vec,3,1000,0.005,0.729288227855856,0.7114890216787103,0.10780376071942863,0.09824561403508772
mimic_cohort_NF_30_days,RandomForest,Node2Vec,4,1000,0.001,0.7524528664871104,0.7034594325535092,0.12810146671892275,0.0914179104477612
mimic_cohort_NF_30_days,CatBoost,Node2Vec,0,1000,0.0,0.7250909629717667,0.6837521961653044,0.16525470078844998,0.09689213893967093
mimic_cohort_NF_30_days,CatBoost,Node2Vec,1,1000,0.0,0.7311284017971258,0.6471628184374202,0.07766776796391697,0.0761904761904762
mimic_cohort_NF_30_days,CatBoost,Node2Vec,2,1000,0.001,0.7252736371288285,0.6851287836059409,0.11429165755600852,0.09881061299176579
mimic_cohort_NF_30_days,CatBoost,Node2Vec,3,1000,0.005,0.724159950115983,0.666811423012785,0.10848420541726585,0.0984182776801406
mimic_cohort_NF_30_days,CatBoost,Node2Vec,4,1000,0.001,0.7249618799253273,0.7143686742989879,0.1371923437594007,0.09057301293900184
