Model,Dimension,Test_AUC_Mean,Test_AUC_Std,Test_AUPRC_Mean,Test_AUPRC_Std,Test_F1_Mean,Test_F1_Std
CatBoost,10,0.6385931669304268,0.04143610783317133,0.09107727119078804,0.019190901285355316,0.0926190653222363,0.009931351859970053
CatBoost,50,0.6463864712400066,0.019049017129295586,0.10364424919109613,0.02512327555482023,0.09198416364997698,0.010931596489235139
CatBoost,100,0.6861477170800688,0.028066267288557715,0.1466370218175137,0.0550788711121849,0.09328177057091036,0.009613619757791764
CatBoost,1000,0.6794447791040876,0.024860947664533256,0.1205781350970084,0.03278379932957723,0.09217690374821107,0.009530642968650447
RandomForest,10,0.6142400287180426,0.02025726906802601,0.07974592162105518,0.015742669798215495,0.09217690374821107,0.009530642968650447
RandomForest,50,0.6691532923009418,0.015466696197996298,0.09446686697116782,0.010818434349909187,0.09231278894054859,0.009055353702165862
RandomForest,100,0.7104822849620588,0.027589426869754945,0.13598877558618616,0.047170951688427463,0.09248111880572171,0.009287591262904673
RandomForest,1000,0.7092298705139825,0.020912091167681734,0.12763044587503797,0.028404661263335216,0.09311476279724981,0.009654633120205064
XGBoost,10,0.5968280154559517,0.03268137463912397,0.07120852746507034,0.010901216990398786,0.09339762337516035,0.007283842165787598
XGBoost,50,0.6413013576991495,0.02219245678471475,0.09488218484003441,0.018919390040088545,0.09715981843347328,0.009953139150178491
XGBoost,100,0.6791599753329315,0.04676057450596174,0.11242935410011667,0.02597929029523127,0.09728166768566197,0.009739149794472223
XGBoost,1000,0.6978669015395154,0.018158299315627884,0.12799435806288378,0.025937559748986552,0.09798775653311131,0.018242288254050408
