Cohort,Model,Feature_Type,Fold,Dimension,Selected_Threshold,Best_Epoch,Val_AUC_Best,Test_AUC,Test_AUPRC,Test_F1
mimic_cohort_aplasia_45_days,MLP_1Layer,Node2Vec,0,10,0.01,42,0.6555658109874479,0.6668852227862381,0.30010350483023635,0.35399820305480684
mimic_cohort_aplasia_45_days,MLP_1Layer,Node2Vec,1,10,0.01,32,0.6747755066831091,0.5934523970108182,0.24966613809732902,0.35500878734622143
mimic_cohort_aplasia_45_days,MLP_1Layer,Node2Vec,2,10,0.001,44,0.6522224357511593,0.6701890732700225,0.3331379700645775,0.3615720524017467
mimic_cohort_aplasia_45_days,MLP_1Layer,Node2Vec,3,10,0.001,48,0.6674737597884254,0.6496281403996735,0.30018042322417055,0.36261682242990656
mimic_cohort_aplasia_45_days,MLP_1Layer,Node2Vec,4,10,0.0,48,0.6564348189351683,0.6234031074665516,0.3268678918625763,0.38817005545286504
mimic_cohort_aplasia_45_days,MLP_1Layer,Node2Vec,0,50,0.005,25,0.8187076042010727,0.7924633389734913,0.4760220928983302,0.35688405797101447
mimic_cohort_aplasia_45_days,MLP_1Layer,Node2Vec,1,50,0.001,20,0.8252781856383774,0.7097350743248713,0.373947781950866,0.35500878734622143
mimic_cohort_aplasia_45_days,MLP_1Layer,Node2Vec,2,50,0.001,35,0.8360808634526432,0.7509929485781505,0.48263859419448596,0.3657243816254417
mimic_cohort_aplasia_45_days,MLP_1Layer,Node2Vec,3,50,0.005,29,0.827824438521457,0.7686610031139463,0.443530208432183,0.3634651600753296
mimic_cohort_aplasia_45_days,MLP_1Layer,Node2Vec,4,50,0.01,21,0.8208496822116486,0.7039490720759602,0.38292401272543636,0.4003831417624521
mimic_cohort_aplasia_45_days,MLP_1Layer,Node2Vec,0,100,0.0,13,0.8374486809066433,0.7443668922729836,0.4447091567557947,0.35368043087971274
mimic_cohort_aplasia_45_days,MLP_1Layer,Node2Vec,1,100,0.001,11,0.8450915634523777,0.729078425553727,0.4100645521147538,0.3562610229276896
mimic_cohort_aplasia_45_days,MLP_1Layer,Node2Vec,2,100,0.001,12,0.8375233239816519,0.7680630728867213,0.47229381662430847,0.36767317939609234
mimic_cohort_aplasia_45_days,MLP_1Layer,Node2Vec,3,100,0.0,16,0.846647141469865,0.7533331317834143,0.44237303352347773,0.36261682242990656
mimic_cohort_aplasia_45_days,MLP_1Layer,Node2Vec,4,100,0.005,9,0.8310884611808955,0.7104301539346857,0.38825668986260875,0.40268456375838924
mimic_cohort_aplasia_45_days,MLP_1Layer,Node2Vec,0,1000,0.001,7,0.8423431307966037,0.799760293288212,0.5114173738109313,0.35495495495495494
mimic_cohort_aplasia_45_days,MLP_1Layer,Node2Vec,1,1000,0.0,9,0.8600805527749406,0.6935616586181779,0.3653146111937565,0.35500878734622143
mimic_cohort_aplasia_45_days,MLP_1Layer,Node2Vec,2,1000,0.01,11,0.8552414157425461,0.808937528499772,0.5831664532414952,0.3857008466603951
mimic_cohort_aplasia_45_days,MLP_1Layer,Node2Vec,3,1000,0.0,6,0.8509964048843983,0.8067614959034979,0.4969811170721704,0.36261682242990656
mimic_cohort_aplasia_45_days,MLP_1Layer,Node2Vec,4,1000,0.0,4,0.8478952459118992,0.713918860595598,0.37037445530379887,0.38817005545286504
