Cohort,Model,Feature_Type,Fold,Dimension,Selected_Threshold,Val_AUC_Best,Test_AUC,Test_AUPRC,Test_F1
mimic_cohort_aplasia_45_days,XGBoost,Node2Vec,0,10,0.005,0.7385066023921875,0.686230964467005,0.3717146949464473,0.35368043087971274
mimic_cohort_aplasia_45_days,XGBoost,Node2Vec,1,10,0.0,0.757466506458912,0.6008241832357621,0.2690475337528483,0.35500878734622143
mimic_cohort_aplasia_45_days,XGBoost,Node2Vec,2,10,0.001,0.7391366684899366,0.6736982625878124,0.33331737693744196,0.3615720524017467
mimic_cohort_aplasia_45_days,XGBoost,Node2Vec,3,10,0.0,0.7563340668195623,0.6413368806119056,0.3073676361568686,0.36261682242990656
mimic_cohort_aplasia_45_days,XGBoost,Node2Vec,4,10,0.005,0.7545556654421016,0.5748021867357215,0.27451674779492247,0.3885291396854764
mimic_cohort_aplasia_45_days,RandomForest,Node2Vec,0,10,0.005,0.7499721132586089,0.7045544275239707,0.37984546068185226,0.35368043087971274
mimic_cohort_aplasia_45_days,RandomForest,Node2Vec,1,10,0.001,0.7663710815124278,0.6363004829093264,0.3308471090532219,0.35500878734622143
mimic_cohort_aplasia_45_days,RandomForest,Node2Vec,2,10,0.0,0.7541495549172795,0.7003244843606469,0.38591884991569025,0.3615720524017467
mimic_cohort_aplasia_45_days,RandomForest,Node2Vec,3,10,0.005,0.7687452220087193,0.647663028690631,0.31229126595602413,0.36261682242990656
mimic_cohort_aplasia_45_days,RandomForest,Node2Vec,4,10,0.001,0.7579825202390539,0.6418788663501654,0.3515578680782794,0.38817005545286504
mimic_cohort_aplasia_45_days,CatBoost,Node2Vec,0,10,0.0,0.7449268920828662,0.6953821206993795,0.3845667115550405,0.35368043087971274
mimic_cohort_aplasia_45_days,CatBoost,Node2Vec,1,10,0.001,0.7647573286255026,0.6417163514716595,0.3297397259287359,0.35500878734622143
mimic_cohort_aplasia_45_days,CatBoost,Node2Vec,2,10,0.001,0.7487666370726255,0.7012430857074882,0.3508806273615185,0.3615720524017467
mimic_cohort_aplasia_45_days,CatBoost,Node2Vec,3,10,0.0,0.762138680551251,0.6496508147655471,0.31457696850918393,0.36261682242990656
mimic_cohort_aplasia_45_days,CatBoost,Node2Vec,4,10,0.005,0.7583717482678022,0.608487987339951,0.28786123498320976,0.38817005545286504
mimic_cohort_aplasia_45_days,XGBoost,Node2Vec,0,50,0.005,0.842771794077435,0.7401085730400452,0.41230259720146656,0.35688405797101447
mimic_cohort_aplasia_45_days,XGBoost,Node2Vec,1,50,0.0,0.8483400506840652,0.7225969190924542,0.37469239896643886,0.35500878734622143
mimic_cohort_aplasia_45_days,XGBoost,Node2Vec,2,50,0.0,0.8344253245456009,0.7672634271099743,0.45353057204434905,0.3615720524017467
mimic_cohort_aplasia_45_days,XGBoost,Node2Vec,3,50,0.0,0.8387879914874273,0.74139885721196,0.4291956076018292,0.36261682242990656
mimic_cohort_aplasia_45_days,XGBoost,Node2Vec,4,50,0.001,0.827467241342713,0.7099194360523665,0.4257288375354155,0.38817005545286504
mimic_cohort_aplasia_45_days,RandomForest,Node2Vec,0,50,0.0,0.8309326052240354,0.7764875916525663,0.45230513821667634,0.35368043087971274
mimic_cohort_aplasia_45_days,RandomForest,Node2Vec,1,50,0.0,0.8414438071046506,0.7194944290069334,0.40837883722124435,0.35500878734622143
mimic_cohort_aplasia_45_days,RandomForest,Node2Vec,2,50,0.005,0.8278151516610932,0.7640714526457703,0.431550077633981,0.3615720524017467
mimic_cohort_aplasia_45_days,RandomForest,Node2Vec,3,50,0.001,0.8275919957023906,0.7380657254285456,0.43244021390002707,0.36261682242990656
mimic_cohort_aplasia_45_days,RandomForest,Node2Vec,4,50,0.005,0.8239327455877482,0.718148467846353,0.42716155097327935,0.38817005545286504
mimic_cohort_aplasia_45_days,CatBoost,Node2Vec,0,50,0.005,0.8311327224661569,0.7781020868584321,0.4841324122206055,0.35368043087971274
mimic_cohort_aplasia_45_days,CatBoost,Node2Vec,1,50,0.0,0.8358996116251749,0.7131410688752798,0.3703335398177923,0.35500878734622143
mimic_cohort_aplasia_45_days,CatBoost,Node2Vec,2,50,0.005,0.8237209039204793,0.7798727175399989,0.4860619487793879,0.3615720524017467
mimic_cohort_aplasia_45_days,CatBoost,Node2Vec,3,50,0.0,0.8302728362156242,0.7331000393022342,0.4331095908167371,0.36261682242990656
mimic_cohort_aplasia_45_days,CatBoost,Node2Vec,4,50,0.005,0.8223371885781234,0.705725794849662,0.43040407513271717,0.38817005545286504
mimic_cohort_aplasia_45_days,XGBoost,Node2Vec,0,100,0.01,0.8532920819931458,0.7702904681331078,0.4415900870971038,0.3763132760267431
mimic_cohort_aplasia_45_days,XGBoost,Node2Vec,1,100,0.01,0.8658038392705124,0.7064572261040818,0.3780022253303406,0.37256719184430026
mimic_cohort_aplasia_45_days,XGBoost,Node2Vec,2,100,0.005,0.8564587778371949,0.7508343411513578,0.4447185308452323,0.37063563115487913
mimic_cohort_aplasia_45_days,XGBoost,Node2Vec,3,100,0.01,0.8520062397983429,0.7566360310789975,0.4942346965801653,0.3734359961501444
mimic_cohort_aplasia_45_days,XGBoost,Node2Vec,4,100,0.0,0.8439420575138806,0.7101711983887211,0.38731244191253644,0.38817005545286504
mimic_cohort_aplasia_45_days,RandomForest,Node2Vec,0,100,0.0,0.8424483736532081,0.7774041173152848,0.45281246368557354,0.35368043087971274
mimic_cohort_aplasia_45_days,RandomForest,Node2Vec,1,100,0.0,0.8541460530443389,0.7101734696630426,0.3993328239154016,0.35500878734622143
mimic_cohort_aplasia_45_days,RandomForest,Node2Vec,2,100,0.001,0.8432554195516643,0.7736407673956001,0.45366818364599604,0.3615720524017467
mimic_cohort_aplasia_45_days,RandomForest,Node2Vec,3,100,0.005,0.8427188578276411,0.7521465066360312,0.49130898196353084,0.36261682242990656
mimic_cohort_aplasia_45_days,RandomForest,Node2Vec,4,100,0.0,0.8380364539842233,0.7082865774708675,0.4197487311904316,0.38817005545286504
mimic_cohort_aplasia_45_days,CatBoost,Node2Vec,0,100,0.01,0.8424518644045319,0.7760857304004513,0.46025986478046665,0.3562386980108499
mimic_cohort_aplasia_45_days,CatBoost,Node2Vec,1,100,0.001,0.8490983321445228,0.717329430490733,0.40530950979691127,0.35500878734622143
mimic_cohort_aplasia_45_days,CatBoost,Node2Vec,2,100,0.001,0.8421332010263756,0.7658293516260567,0.48305320657022555,0.3615720524017467
mimic_cohort_aplasia_45_days,CatBoost,Node2Vec,3,100,0.01,0.8436809128287773,0.7638011306950448,0.5024142666171884,0.36329588014981273
mimic_cohort_aplasia_45_days,CatBoost,Node2Vec,4,100,0.005,0.8378984763902991,0.7171486117105452,0.44634914319000274,0.3903345724907063
mimic_cohort_aplasia_45_days,XGBoost,Node2Vec,0,1000,0.0,0.8734700551654834,0.7743795826283136,0.4628423303347631,0.35368043087971274
mimic_cohort_aplasia_45_days,XGBoost,Node2Vec,1,1000,0.001,0.8823156976343184,0.7344740604850676,0.4441391005935828,0.35500878734622143
mimic_cohort_aplasia_45_days,XGBoost,Node2Vec,2,1000,0.005,0.8698726503091482,0.7827012166511365,0.5171256190584792,0.3797235023041475
mimic_cohort_aplasia_45_days,XGBoost,Node2Vec,3,1000,0.0,0.8742213165561273,0.7720772742388972,0.5048425183178878,0.36261682242990656
mimic_cohort_aplasia_45_days,XGBoost,Node2Vec,4,1000,0.0,0.8616293187333728,0.7198820313623939,0.40066608034460155,0.38817005545286504
mimic_cohort_aplasia_45_days,RandomForest,Node2Vec,0,1000,0.005,0.8573770702679798,0.7910250987027637,0.47218777532222356,0.35368043087971274
mimic_cohort_aplasia_45_days,RandomForest,Node2Vec,1,1000,0.0,0.8600169175676942,0.7402878571235869,0.4243776389545846,0.35500878734622143
mimic_cohort_aplasia_45_days,RandomForest,Node2Vec,2,1000,0.001,0.85404787452923,0.7839436414943464,0.49273241291704356,0.3615720524017467
mimic_cohort_aplasia_45_days,RandomForest,Node2Vec,3,1000,0.0,0.8551003119899171,0.7584575384708407,0.49367356993820344,0.36261682242990656
mimic_cohort_aplasia_45_days,RandomForest,Node2Vec,4,1000,0.01,0.8473677934880405,0.7201194072795283,0.42530639974159223,0.3888888888888889
mimic_cohort_aplasia_45_days,CatBoost,Node2Vec,0,1000,0.005,0.8552470373717228,0.7931401579244218,0.4811296266547216,0.35368043087971274
mimic_cohort_aplasia_45_days,CatBoost,Node2Vec,1,1000,0.0,0.8592980639630042,0.719325815415329,0.39147117467416104,0.35500878734622143
mimic_cohort_aplasia_45_days,CatBoost,Node2Vec,2,1000,0.005,0.8553696177319957,0.7910148892721902,0.5115029622542262,0.3615720524017467
