Model,Feature_Type,Dimension,Test_AUC_Mean,Test_AUC_Std,Test_AUPRC_Mean,Test_AUPRC_Std,Test_F1_Mean,Test_F1_Std
CatBoost,Node2Vec,10,0.6592960719968051,0.038875744036308224,0.3335250536675377,0.03662311344030443,0.36420962970209053,0.013956319169812511
CatBoost,Node2Vec,50,0.7419883414851214,0.03523339287936016,0.440808313353448,0.04758960303592595,0.36420962970209053,0.013956319169812511
CatBoost,Node2Vec,100,0.7480388509845662,0.02849936055944398,0.4594771981909589,0.03710295432034714,0.3652899980798674,0.014427921375699794
CatBoost,Node2Vec,1000,0.7562241773116736,0.045591148081763594,0.4504218390405457,0.06788317755468494,0.36420962970209053,0.013956319169812511
RandomForest,Node2Vec,10,0.6661442579669481,0.03340899945109577,0.3520921107370136,0.03142546528560092,0.36420962970209053,0.013956319169812511
RandomForest,Node2Vec,50,0.7432535333160337,0.026265762406698836,0.43036716358904165,0.015658336459306914,0.36420962970209053,0.013956319169812511
RandomForest,Node2Vec,100,0.7443302876961653,0.03346607599254255,0.4433742368801867,0.035322074636421834,0.36420962970209053,0.013956319169812511
RandomForest,Node2Vec,1000,0.7587667086142132,0.02962118802225842,0.46165555937472946,0.03468701542430455,0.36435339638929526,0.014265131147554781
XGBoost,Node2Vec,10,0.6353784955276414,0.04731112496656006,0.3111927979177057,0.0426860188568495,0.3642814465486128,0.014110511635436113
XGBoost,Node2Vec,50,0.7362574425013599,0.021696410513691443,0.4190900026698999,0.028937718836539957,0.36485035512035086,0.01341512865309778
XGBoost,Node2Vec,100,0.7388778529712532,0.028810726971022833,0.42917159635307567,0.04743318046727011,0.3762244301257864,0.006983754145700505
XGBoost,Node2Vec,1000,0.7567028330731618,0.027724748123556586,0.46592312972986294,0.04711404107669586,0.3678399196825707,0.015386225832415818
