Cohort,Model,Feature_Type,Fold,Dimension,Selected_Threshold,Best_Epoch,Val_AUC_Best,Test_AUC,Test_AUPRC,Test_F1
mimic_cohort_NF_30_days,MLP_2Layer,Word2Vec,0,10,0.01,27,0.7516921066308716,0.7337865709265907,0.14592829536087504,0.09689213893967093
mimic_cohort_NF_30_days,MLP_2Layer,Word2Vec,1,10,0.001,36,0.761974976739663,0.6419442787765187,0.08963498188084033,0.0761904761904762
mimic_cohort_NF_30_days,MLP_2Layer,Word2Vec,2,10,0.01,28,0.7180548494359674,0.7421883812746758,0.21460411915983582,0.09881061299176579
mimic_cohort_NF_30_days,MLP_2Layer,Word2Vec,3,10,0.005,40,0.7314155273828672,0.7283734018899389,0.16927746421353776,0.09824561403508772
mimic_cohort_NF_30_days,MLP_2Layer,Word2Vec,4,10,0.0,29,0.7434928676271501,0.6677244068359052,0.11194678902694777,0.09057301293900184
mimic_cohort_NF_30_days,MLP_2Layer,Word2Vec,0,50,0.0,6,0.763523680034966,0.7316858910702009,0.134813095235914,0.09689213893967093
mimic_cohort_NF_30_days,MLP_2Layer,Word2Vec,1,50,0.005,6,0.7804899995371128,0.6232640368066797,0.08896486698715766,0.0761904761904762
mimic_cohort_NF_30_days,MLP_2Layer,Word2Vec,2,50,0.001,8,0.7440568039437688,0.7872720436172213,0.23835210807552717,0.09881061299176579
mimic_cohort_NF_30_days,MLP_2Layer,Word2Vec,3,50,0.0,8,0.7419013189010709,0.739803362979433,0.21313581820491162,0.09824561403508772
mimic_cohort_NF_30_days,MLP_2Layer,Word2Vec,4,50,0.0,8,0.7641436164906731,0.6824290691886511,0.1442897792157037,0.09057301293900184
mimic_cohort_NF_30_days,MLP_2Layer,Word2Vec,0,100,0.0,3,0.7439353018344249,0.7471163394698648,0.16510499973702564,0.09689213893967093
mimic_cohort_NF_30_days,MLP_2Layer,Word2Vec,1,100,0.001,2,0.760421809126613,0.6412626735963194,0.08565864786715058,0.0761904761904762
mimic_cohort_NF_30_days,MLP_2Layer,Word2Vec,2,100,0.0,3,0.7269815233562221,0.7979131415679639,0.28355156923245456,0.09881061299176579
mimic_cohort_NF_30_days,MLP_2Layer,Word2Vec,3,100,0.01,3,0.7511556217197088,0.6861450806003334,0.1279131293148379,0.09824561403508772
mimic_cohort_NF_30_days,MLP_2Layer,Word2Vec,4,100,0.01,3,0.7578555854815955,0.7269371163099385,0.15960517778440517,0.09074074074074075
mimic_cohort_NF_30_days,MLP_2Layer,Word2Vec,0,1000,0.01,2,0.7426862822015381,0.7471545336490719,0.17837296449198486,0.09689213893967093
mimic_cohort_NF_30_days,MLP_2Layer,Word2Vec,1,1000,0.001,1,0.7654035876349415,0.6099514356309108,0.08098001241264355,0.0761904761904762
mimic_cohort_NF_30_days,MLP_2Layer,Word2Vec,2,1000,0.001,4,0.7224366132377554,0.7755405151344238,0.21752934963453688,0.09881061299176579
mimic_cohort_NF_30_days,MLP_2Layer,Word2Vec,3,1000,0.001,2,0.7499679944346682,0.7391085325180656,0.21693996652623365,0.09824561403508772
mimic_cohort_NF_30_days,MLP_2Layer,Word2Vec,4,1000,0.005,3,0.7540685163809443,0.6736975277916045,0.09632882099046786,0.09057301293900184
