Cohort,Model,Feature_Type,Fold,Dimension,Selected_Threshold,Best_Epoch,Val_AUC_Best,Test_AUC,Test_AUPRC,Test_F1
mimic_cohort_NF_30_days,MLP_3Layer,Word2Vec,0,10,0.01,42,0.7456128640172426,0.7416354747536477,0.1554175073188454,0.09689213893967093
mimic_cohort_NF_30_days,MLP_3Layer,Word2Vec,1,10,0.0,40,0.7621081436628511,0.6308042941126353,0.09138628650673754,0.0761904761904762
mimic_cohort_NF_30_days,MLP_3Layer,Word2Vec,2,10,0.0,47,0.7217478135490563,0.757068997931942,0.19060024893207525,0.09881061299176579
mimic_cohort_NF_30_days,MLP_3Layer,Word2Vec,3,10,0.005,43,0.7138505940863391,0.7293982768204559,0.16330860329830166,0.09824561403508772
mimic_cohort_NF_30_days,MLP_3Layer,Word2Vec,4,10,0.01,42,0.7393780371367905,0.7391737182677949,0.14381429828801098,0.09057301293900184
mimic_cohort_NF_30_days,MLP_3Layer,Word2Vec,0,50,0.001,14,0.7653785164127899,0.7411484989687572,0.13717737840260716,0.09689213893967093
mimic_cohort_NF_30_days,MLP_3Layer,Word2Vec,1,50,0.0,13,0.7748459903871603,0.6301226889324358,0.09858852925964134,0.0761904761904762
mimic_cohort_NF_30_days,MLP_3Layer,Word2Vec,2,50,0.001,13,0.7411501110201728,0.7957510810302689,0.2582080360368587,0.09881061299176579
mimic_cohort_NF_30_days,MLP_3Layer,Word2Vec,3,50,0.005,13,0.7362442786184756,0.7402723735408561,0.21344387859207092,0.09824561403508772
mimic_cohort_NF_30_days,MLP_3Layer,Word2Vec,4,50,0.0,11,0.7684223276758867,0.683154969304795,0.15075203881770716,0.09057301293900184
mimic_cohort_NF_30_days,MLP_3Layer,Word2Vec,0,100,0.001,6,0.7602842659025875,0.7332518524176915,0.1376177403790354,0.09689213893967093
mimic_cohort_NF_30_days,MLP_3Layer,Word2Vec,1,100,0.01,6,0.7634194819315839,0.6466942148760331,0.08412845663111634,0.07632263660017347
mimic_cohort_NF_30_days,MLP_3Layer,Word2Vec,2,100,0.001,4,0.7293856537709168,0.7899041173152848,0.269802139264148,0.09881061299176579
mimic_cohort_NF_30_days,MLP_3Layer,Word2Vec,3,100,0.01,8,0.7420184027630173,0.7195837965536409,0.24926134447060713,0.09786476868327403
mimic_cohort_NF_30_days,MLP_3Layer,Word2Vec,4,100,0.005,5,0.7647065110512591,0.7040194126431061,0.1334471361248365,0.09057301293900184
mimic_cohort_NF_30_days,MLP_3Layer,Word2Vec,0,1000,0.0,3,0.7544345768709307,0.7038996256970438,0.14066821017499942,0.09689213893967093
mimic_cohort_NF_30_days,MLP_3Layer,Word2Vec,1,1000,0.01,2,0.7604387690638682,0.6560662861037744,0.07460669895798101,0.0761904761904762
mimic_cohort_NF_30_days,MLP_3Layer,Word2Vec,2,1000,0.0,3,0.7245111050642777,0.7957698815566837,0.24690099123961917,0.09881061299176579
mimic_cohort_NF_30_days,MLP_3Layer,Word2Vec,3,1000,0.01,4,0.7455806865981883,0.7553154530294608,0.24038255649588336,0.09824561403508772
mimic_cohort_NF_30_days,MLP_3Layer,Word2Vec,4,1000,0.001,4,0.7576917047867413,0.6629956860793097,0.13982536160230002,0.09057301293900184
