Cohort,Model,Feature_Type,Fold,Dimension,Selected_Threshold,Val_AUC_Best,Test_AUC,Test_AUPRC,Test_F1
mimic_cohort_NF_30_days,XGBoost,Word2Vec,0,10,0.0,0.6668176670441677,0.6693243449698266,0.11640495363813014,0.1702127659574468
mimic_cohort_NF_30_days,XGBoost,Word2Vec,1,10,0.0,0.6938572719060524,0.544027434608503,0.05051968805066076,0.08275862068965517
mimic_cohort_NF_30_days,XGBoost,Word2Vec,2,10,0.01,0.6652446675031368,0.7399041173152848,0.13069341075743193,0.24
mimic_cohort_NF_30_days,XGBoost,Word2Vec,3,10,0.01,0.7003189524928656,0.6421536270150083,0.0897916983899864,0.15384615384615385
mimic_cohort_NF_30_days,XGBoost,Word2Vec,4,10,0.001,0.6926737353091467,0.5835614733698357,0.06647219969320427,0.0821917808219178
mimic_cohort_NF_30_days,RandomForest,Word2Vec,0,10,0.005,0.6633635334088335,0.6648460774577954,0.09197041338221883,0.0
mimic_cohort_NF_30_days,RandomForest,Word2Vec,1,10,0.0,0.7101626016260163,0.5844338416971968,0.09124831300788472,0.041666666666666664
mimic_cohort_NF_30_days,RandomForest,Word2Vec,2,10,0.01,0.6515370138017567,0.7475559315660838,0.14824472824327345,0.0
mimic_cohort_NF_30_days,RandomForest,Word2Vec,3,10,0.01,0.6884673493369147,0.6434911756531406,0.0865137669156524,0.0
mimic_cohort_NF_30_days,RandomForest,Word2Vec,4,10,0.001,0.6812244506898313,0.6240874398539904,0.07071709318488928,0.0
mimic_cohort_NF_30_days,CatBoost,Word2Vec,0,10,0.01,0.6540770101925255,0.6542471927278283,0.1458820915460023,0.1919191919191919
mimic_cohort_NF_30_days,CatBoost,Word2Vec,1,10,0.005,0.7350496838301717,0.5877566669506689,0.09396528399155014,0.14207650273224043
mimic_cohort_NF_30_days,CatBoost,Word2Vec,2,10,0.01,0.6601317440401506,0.7341981575484113,0.17180498481827816,0.23214285714285715
mimic_cohort_NF_30_days,CatBoost,Word2Vec,3,10,0.01,0.6749370488500923,0.6493538076709282,0.1108676086571302,0.15671641791044777
mimic_cohort_NF_30_days,CatBoost,Word2Vec,4,10,0.01,0.6783022483392948,0.6729301476688238,0.09825225192347344,0.15833333333333333
mimic_cohort_NF_30_days,XGBoost,Word2Vec,0,50,0.005,0.680138731596829,0.6723703307615919,0.13807979502700923,0.12371134020618557
