Model,Feature_Type,Dimension,Test_AUC_Mean,Test_AUC_Std,Test_AUPRC_Mean,Test_AUPRC_Std,Test_F1_Mean,Test_F1_Std
CatBoost,Word2Vec,10,0.6524656994304948,0.060552860460970755,0.12136542126614562,0.04217330842817574,0.09360740533477771,0.010261883121433274
CatBoost,Word2Vec,50,0.6708590091702047,0.06076201345775247,0.12028439144950173,0.04285856696588297,0.09398789275852008,0.009006297237863881
CatBoost,Word2Vec,100,0.6991236243757567,0.05040690450086063,0.13621347101469308,0.045841785088751995,0.09353368344432904,0.009568898102564574
CatBoost,Word2Vec,1000,0.7043213448897585,0.0464861299496435,0.14005657467957694,0.03890522085868074,0.09465297895997091,0.009276705146582664
RandomForest,Word2Vec,10,0.6570187934375706,0.05027384318137919,0.10670362867944963,0.027669342548299555,0.10106402690915332,0.013421707981998683
RandomForest,Word2Vec,50,0.689515073109966,0.038152268170419924,0.11602342651090061,0.026060863905865435,0.09703396470723137,0.011904852319523804
RandomForest,Word2Vec,100,0.698714605956888,0.05324649323151618,0.12548127480838536,0.032024812518634004,0.09998879022742084,0.015701920723218098
RandomForest,Word2Vec,1000,0.6791013761415827,0.053131975520872295,0.10904847599588088,0.021733240929691193,0.10183436536220074,0.015343523729307283
XGBoost,Word2Vec,10,0.652282508516701,0.026777223178101394,0.09295442047916429,0.017977829096736994,0.09581533085696277,0.01137663056619854
XGBoost,Word2Vec,50,0.6842444943579002,0.05120058242873973,0.13543061568893175,0.033729574711025834,0.10537267175534004,0.012850030517248518
XGBoost,Word2Vec,100,0.6903542945601691,0.06068292357313977,0.14032674717034344,0.06051994273768108,0.10357809695551035,0.015239577840332806
XGBoost,Word2Vec,1000,0.6971611774284627,0.06428454079070943,0.12635025729284705,0.04083813677788504,0.11471227511943383,0.027445003521218828
