Cohort,Model,Feature_Type,Fold,Dimension,Selected_Threshold,Best_Epoch,Val_AUC_Best,Test_AUC,Test_AUPRC,Test_F1
mimic_cohort_aplasia_45_days,MLP_2Layer,Word2Vec,0,10,0.01,38,0.8120967509034749,0.8469472645234066,0.5778544112245921,0.35368043087971274
mimic_cohort_aplasia_45_days,MLP_2Layer,Word2Vec,1,10,0.005,47,0.8158537665190503,0.7932392694310302,0.4675382420292211,0.35500878734622143
mimic_cohort_aplasia_45_days,MLP_2Layer,Word2Vec,2,10,0.005,43,0.8088254232602026,0.7955616355069158,0.5277254653832534,0.3615720524017467
mimic_cohort_aplasia_45_days,MLP_2Layer,Word2Vec,3,10,0.001,41,0.8156644507117917,0.7738609910209511,0.4597844026673995,0.36261682242990656
mimic_cohort_aplasia_45_days,MLP_2Layer,Word2Vec,4,10,0.005,47,0.812589561191607,0.7022838440512157,0.3720655728225399,0.38817005545286504
mimic_cohort_aplasia_45_days,MLP_2Layer,Word2Vec,0,50,0.01,25,0.8580577050673771,0.8249294980259447,0.6058883799082895,0.3648148148148148
mimic_cohort_aplasia_45_days,MLP_2Layer,Word2Vec,1,50,0.01,18,0.8559798274365856,0.7995926295626837,0.5055399632606704,0.36363636363636365
mimic_cohort_aplasia_45_days,MLP_2Layer,Word2Vec,2,50,0.005,24,0.8579801919520076,0.8030227932089588,0.5862038108354881,0.3641160949868074
mimic_cohort_aplasia_45_days,MLP_2Layer,Word2Vec,3,50,0.001,22,0.8507910803942229,0.7708301841158509,0.5188693897735066,0.3653483992467043
mimic_cohort_aplasia_45_days,MLP_2Layer,Word2Vec,4,50,0.001,10,0.8479441085319338,0.7353546252337793,0.41920534311524127,0.3917910447761194
mimic_cohort_aplasia_45_days,MLP_2Layer,Word2Vec,0,100,0.0,10,0.8611238862231273,0.8218485617597293,0.6001884433240227,0.35368043087971274
mimic_cohort_aplasia_45_days,MLP_2Layer,Word2Vec,1,100,0.01,9,0.8604850790664166,0.78923301049451,0.49312584180521934,0.36314363143631434
mimic_cohort_aplasia_45_days,MLP_2Layer,Word2Vec,2,100,0.005,9,0.8602286273129905,0.7981720494062134,0.5674312118675089,0.37130044843049326
mimic_cohort_aplasia_45_days,MLP_2Layer,Word2Vec,3,100,0.01,10,0.8561256430917994,0.7886824681803064,0.533155501847723,0.374031007751938
mimic_cohort_aplasia_45_days,MLP_2Layer,Word2Vec,4,100,0.01,9,0.853409858688193,0.7488850525104302,0.4337144299266839,0.4146100691016782
mimic_cohort_aplasia_45_days,MLP_2Layer,Word2Vec,0,1000,0.005,6,0.8591347666411563,0.8290045121263395,0.6136682195080784,0.357207615593835
mimic_cohort_aplasia_45_days,MLP_2Layer,Word2Vec,1,1000,0.005,5,0.85977323650116,0.769775002023363,0.46691525989156174,0.35594713656387666
mimic_cohort_aplasia_45_days,MLP_2Layer,Word2Vec,2,1000,0.005,6,0.8574939109570616,0.8103451694125577,0.5693005786182699,0.3683274021352313
mimic_cohort_aplasia_45_days,MLP_2Layer,Word2Vec,3,1000,0.0,9,0.8566873799045435,0.774805756265683,0.47054213503745057,0.36261682242990656
mimic_cohort_aplasia_45_days,MLP_2Layer,Word2Vec,4,1000,0.0,5,0.8449201555385422,0.7318659185728671,0.43915834993523983,0.38817005545286504
