Cohort,Model,Feature_Type,Fold,Dimension,Selected_Threshold,Best_Epoch,Val_AUC_Best,Test_AUC,Test_AUPRC,Test_F1
mimic_cohort_NF_30_days,MLP_1Layer,Word2Vec,0,10,0.005,16,0.7206964892412231,0.7071652280192499,0.12516368905903805,0.1650485436893204
mimic_cohort_NF_30_days,MLP_1Layer,Word2Vec,1,10,0.005,50,0.7413128575730202,0.636150634744824,0.0982342672566714,0.09541984732824428
mimic_cohort_NF_30_days,MLP_1Layer,Word2Vec,2,10,0.005,24,0.7136449184441657,0.7653506298176349,0.1648301542261442,0.16260162601626016
mimic_cohort_NF_30_days,MLP_1Layer,Word2Vec,3,10,0.005,33,0.7710256840691624,0.7575215397443024,0.1943589347688103,0.16298811544991512
mimic_cohort_NF_30_days,MLP_1Layer,Word2Vec,4,10,0.01,40,0.7237800204394482,0.7168159946905592,0.15677273250805662,0.15212527964205816
mimic_cohort_NF_30_days,MLP_1Layer,Word2Vec,0,50,0.0,3,0.72480181200453,0.7292032694217401,0.12401830085298031,0.16783216783216784
mimic_cohort_NF_30_days,MLP_1Layer,Word2Vec,1,50,0.005,3,0.746582354712436,0.6251597512141093,0.08733965564939042,0.11246943765281174
mimic_cohort_NF_30_days,MLP_1Layer,Word2Vec,2,50,0.01,7,0.7238707653701381,0.792855799962399,0.27719222240908464,0.2035623409669211
mimic_cohort_NF_30_days,MLP_1Layer,Word2Vec,3,50,0.005,8,0.7923451401712271,0.7434164813785437,0.24683449972889554,0.16030534351145037
mimic_cohort_NF_30_days,MLP_1Layer,Word2Vec,4,50,0.001,9,0.7487225344915688,0.6931101708976274,0.13939847787899795,0.18122977346278318
mimic_cohort_NF_30_days,MLP_1Layer,Word2Vec,0,100,0.0,1,0.6986976217440543,0.7159880834160873,0.1537768430881204,0.15246636771300448
mimic_cohort_NF_30_days,MLP_1Layer,Word2Vec,1,100,0.0,2,0.7374887082204155,0.624499446195791,0.08567183256454637,0.13548387096774195
mimic_cohort_NF_30_days,MLP_1Layer,Word2Vec,2,100,0.01,2,0.7128293601003765,0.7938898289152096,0.287428311906634,0.19730941704035873
mimic_cohort_NF_30_days,MLP_1Layer,Word2Vec,3,100,0.005,5,0.7667953667953668,0.736989299610895,0.2175139644063558,0.15757575757575756
mimic_cohort_NF_30_days,MLP_1Layer,Word2Vec,4,100,0.005,2,0.7065661727133368,0.7515969802555168,0.17844693408784243,0.17079889807162535
mimic_cohort_NF_30_days,MLP_1Layer,Word2Vec,0,1000,0.005,1,0.7077293318233296,0.7453594072263388,0.1510995960257693,0.18518518518518517
mimic_cohort_NF_30_days,MLP_1Layer,Word2Vec,1,1000,0.01,2,0.7307738632941885,0.6362145352304677,0.08651878657353188,0.10952380952380952
mimic_cohort_NF_30_days,MLP_1Layer,Word2Vec,2,1000,0.0,1,0.7242785445420326,0.7854483925549915,0.2262020447178065,0.16216216216216217
mimic_cohort_NF_30_days,MLP_1Layer,Word2Vec,3,1000,0.005,4,0.7686083599127077,0.7563924402445803,0.21918539232865936,0.16326530612244897
mimic_cohort_NF_30_days,MLP_1Layer,Word2Vec,4,1000,0.001,2,0.682677567705672,0.7309191969470714,0.15843759997254245,0.15625
