Cohort,Model,Feature_Type,Fold,Dimension,Selected_Threshold,Val_AUC_Best,Test_AUC,Test_AUPRC,Test_F1
mimic_cohort_aplasia_45_days,XGBoost,Word2Vec,0,10,0.01,0.8297789532844293,0.8172095318668923,0.5562950071153353,0.3624655013799448
mimic_cohort_aplasia_45_days,XGBoost,Word2Vec,1,10,0.0,0.8349554045121881,0.7672188199746406,0.4596707361143737,0.35500878734622143
mimic_cohort_aplasia_45_days,XGBoost,Word2Vec,2,10,0.0,0.8370009574140448,0.7698209718670077,0.4963955459074385,0.3615720524017467
mimic_cohort_aplasia_45_days,XGBoost,Word2Vec,3,10,0.005,0.8329433459368997,0.787711249508722,0.5395910499633256,0.36363636363636365
mimic_cohort_aplasia_45_days,XGBoost,Word2Vec,4,10,0.01,0.8262085886570493,0.7420083441231476,0.4207489704586578,0.4046692607003891
mimic_cohort_aplasia_45_days,RandomForest,Word2Vec,0,10,0.001,0.8500297539918179,0.8347045967287084,0.5686271108600396,0.35431654676258995
mimic_cohort_aplasia_45_days,RandomForest,Word2Vec,1,10,0.01,0.8578493118449817,0.7534970458898751,0.45159311625906823,0.3582887700534759
mimic_cohort_aplasia_45_days,RandomForest,Word2Vec,2,10,0.0,0.8583233851707434,0.7865937072503421,0.5147730502860561,0.3628396143733567
mimic_cohort_aplasia_45_days,RandomForest,Word2Vec,3,10,0.01,0.8572730066736917,0.7855685219336699,0.547558638809306,0.3643192488262911
mimic_cohort_aplasia_45_days,RandomForest,Word2Vec,4,10,0.01,0.8500100920140522,0.7538843331894691,0.4624555542993365,0.3981042654028436
mimic_cohort_aplasia_45_days,CatBoost,Word2Vec,0,10,0.001,0.8334601321754126,0.8368936830231246,0.5854442225818156,0.35368043087971274
mimic_cohort_aplasia_45_days,CatBoost,Word2Vec,1,10,0.005,0.841699514877224,0.785968651361049,0.4824194320085518,0.35500878734622143
mimic_cohort_aplasia_45_days,CatBoost,Word2Vec,2,10,0.0,0.8349284978914712,0.7613817350330762,0.4682634799182846,0.3615720524017467
mimic_cohort_aplasia_45_days,CatBoost,Word2Vec,3,10,0.01,0.8419814975516022,0.7747679656558938,0.5358363570487963,0.36329588014981273
mimic_cohort_aplasia_45_days,CatBoost,Word2Vec,4,10,0.0,0.8355136613181099,0.7108329736728528,0.40668251038447945,0.38817005545286504
mimic_cohort_aplasia_45_days,XGBoost,Word2Vec,0,50,0.005,0.8616153795216087,0.8391074450084604,0.5937106888574856,0.36279926335174956
mimic_cohort_aplasia_45_days,XGBoost,Word2Vec,1,50,0.005,0.8696059895583805,0.7739701081824804,0.48056043067806187,0.36168307967770813
mimic_cohort_aplasia_45_days,XGBoost,Word2Vec,2,50,0.005,0.8611124970261224,0.7793704606884884,0.5560809871407617,0.36507936507936506
mimic_cohort_aplasia_45_days,XGBoost,Word2Vec,3,50,0.005,0.8591164073637886,0.7551470810532999,0.48829127772098074,0.3653483992467043
mimic_cohort_aplasia_45_days,XGBoost,Word2Vec,4,50,0.01,0.8640713776620844,0.7589843188030498,0.5143888388426602,0.408243375858685
mimic_cohort_aplasia_45_days,RandomForest,Word2Vec,0,50,0.01,0.8728179648665654,0.8307705865764241,0.5829273134127743,0.35431654676258995
mimic_cohort_aplasia_45_days,RandomForest,Word2Vec,1,50,0.005,0.8802253666606371,0.7921432810856018,0.4491424644861344,0.35847382431233366
mimic_cohort_aplasia_45_days,RandomForest,Word2Vec,2,50,0.005,0.8728866300907324,0.7889695143308418,0.5047078487905448,0.36379613356766255
mimic_cohort_aplasia_45_days,RandomForest,Word2Vec,3,50,0.01,0.8732896082563689,0.7727461680321674,0.5297396989275175,0.362956033676333
mimic_cohort_aplasia_45_days,RandomForest,Word2Vec,4,50,0.005,0.8721621484286253,0.7380017263703064,0.4467004081365793,0.3888888888888889
mimic_cohort_aplasia_45_days,CatBoost,Word2Vec,0,50,0.01,0.8569873781612785,0.8192963902989283,0.5600955284044252,0.35368043087971274
mimic_cohort_aplasia_45_days,CatBoost,Word2Vec,1,50,0.005,0.8647734290661052,0.7860630749723473,0.4744865457950239,0.35500878734622143
mimic_cohort_aplasia_45_days,CatBoost,Word2Vec,2,50,0.0,0.8563212568639882,0.7979539641943734,0.5421750992230202,0.3615720524017467
mimic_cohort_aplasia_45_days,CatBoost,Word2Vec,3,50,0.01,0.8572426599723134,0.7853115457871027,0.5430083576912657,0.36261682242990656
mimic_cohort_aplasia_45_days,CatBoost,Word2Vec,4,50,0.005,0.861339527082109,0.7212631276075384,0.4306685036955329,0.39399624765478425
mimic_cohort_aplasia_45_days,XGBoost,Word2Vec,0,100,0.0,0.8632466066334855,0.8338620981387479,0.5994498124482855,0.35368043087971274
mimic_cohort_aplasia_45_days,XGBoost,Word2Vec,1,100,0.001,0.8760796420968697,0.7753122723716515,0.5046849331914084,0.35500878734622143
mimic_cohort_aplasia_45_days,XGBoost,Word2Vec,2,100,0.001,0.8679674523367377,0.780341931177594,0.5151299532874624,0.3615720524017467
mimic_cohort_aplasia_45_days,XGBoost,Word2Vec,3,100,0.01,0.8652832444885226,0.7905342080599812,0.5503708466743504,0.3766990291262136
mimic_cohort_aplasia_45_days,XGBoost,Word2Vec,4,100,0.0,0.85956761477324,0.7432815422241403,0.47592377022407323,0.38817005545286504
mimic_cohort_aplasia_45_days,RandomForest,Word2Vec,0,100,0.01,0.8735110872713411,0.8374330231246475,0.5574082855281696,0.3598173515981735
mimic_cohort_aplasia_45_days,RandomForest,Word2Vec,1,100,0.01,0.8818625570698088,0.7799019343351229,0.4640772486971609,0.3594306049822064
mimic_cohort_aplasia_45_days,RandomForest,Word2Vec,2,100,0.0,0.8745438688588069,0.7986313500796342,0.492213863819317,0.36379613356766255
mimic_cohort_aplasia_45_days,RandomForest,Word2Vec,3,100,0.01,0.8740314882538897,0.7866379961907066,0.5334681646718825,0.3643192488262911
mimic_cohort_aplasia_45_days,RandomForest,Word2Vec,4,100,0.005,0.8687539627207976,0.7413789382822615,0.4208341205124184,0.38924930491195553
mimic_cohort_aplasia_45_days,CatBoost,Word2Vec,0,100,0.0,0.8588860621797254,0.8321912013536379,0.6017610188361866,0.35368043087971274
mimic_cohort_aplasia_45_days,CatBoost,Word2Vec,1,100,0.0,0.8679080151584025,0.7771198100736503,0.48174028091532933,0.35500878734622143
mimic_cohort_aplasia_45_days,CatBoost,Word2Vec,2,100,0.005,0.8592012133020023,0.8138940105870458,0.5711427310541746,0.3615720524017467
mimic_cohort_aplasia_45_days,CatBoost,Word2Vec,3,100,0.001,0.8582783218661542,0.7792499319769024,0.5538181936987067,0.36261682242990656
mimic_cohort_aplasia_45_days,CatBoost,Word2Vec,4,100,0.01,0.8570291391406593,0.7356135807797439,0.43165023699410854,0.3951081843838194
mimic_cohort_aplasia_45_days,XGBoost,Word2Vec,0,1000,0.01,0.8739552752093758,0.8373660462492949,0.594542255814145,0.38058252427184464
mimic_cohort_aplasia_45_days,XGBoost,Word2Vec,1,1000,0.005,0.8790958221008269,0.7738689400275177,0.5119176153269316,0.3703024747937672
mimic_cohort_aplasia_45_days,XGBoost,Word2Vec,2,1000,0.005,0.8740387639437448,0.7982447444768268,0.5427829273715431,0.372972972972973
mimic_cohort_aplasia_45_days,XGBoost,Word2Vec,3,1000,0.005,0.8727659662389718,0.7864377059588232,0.5276368040174994,0.3730769230769231
mimic_cohort_aplasia_45_days,XGBoost,Word2Vec,4,1000,0.001,0.8639361395412825,0.7435764638181557,0.4301348809338087,0.38924930491195553
mimic_cohort_aplasia_45_days,RandomForest,Word2Vec,0,1000,0.01,0.8743166998036999,0.8329526226734348,0.5506288365606936,0.35850773430391264
mimic_cohort_aplasia_45_days,RandomForest,Word2Vec,1,1000,0.005,0.8835851739655927,0.7864441416893734,0.46752701964953336,0.3600713012477718
mimic_cohort_aplasia_45_days,RandomForest,Word2Vec,2,1000,0.01,0.8744054547816805,0.7891743822571159,0.48080811643438615,0.36767317939609234
mimic_cohort_aplasia_45_days,RandomForest,Word2Vec,3,1000,0.005,0.8733832310584929,0.7992184901895576,0.5681931896768762,0.36363636363636365
mimic_cohort_aplasia_45_days,RandomForest,Word2Vec,4,1000,0.01,0.8675385297094355,0.747248597324126,0.44845617253429765,0.3909348441926346
mimic_cohort_aplasia_45_days,CatBoost,Word2Vec,0,1000,0.001,0.8612374639672838,0.8406514382402708,0.596916930891612,0.35368043087971274
mimic_cohort_aplasia_45_days,CatBoost,Word2Vec,1,1000,0.01,0.8695656443075711,0.8041991528853157,0.5281215955572188,0.35532102022867196
mimic_cohort_aplasia_45_days,CatBoost,Word2Vec,2,1000,0.01,0.8648138475602125,0.7954162453656894,0.527243321041002,0.3631578947368421
mimic_cohort_aplasia_45_days,CatBoost,Word2Vec,3,1000,0.01,0.8636387115436269,0.7932929225745986,0.5427345801156407,0.362956033676333
mimic_cohort_aplasia_45_days,CatBoost,Word2Vec,4,1000,0.01,0.8602087087001307,0.7518990073370737,0.477107778635129,0.39325842696629215
