Model,Feature_Type,Dimension,Test_AUC_Mean,Test_AUC_Std,Test_AUPRC_Mean,Test_AUPRC_Std,Test_F1_Mean,Test_F1_Std
CatBoost,Word2Vec,10,0.7739690017491994,0.045411294773978025,0.4957292003883856,0.06804079283501309,0.3643454412460717,0.013940239044213699
CatBoost,Word2Vec,50,0.781977620572058,0.036612804387265,0.5100868069618536,0.055201912810689334,0.36537486814247433,0.016473213733705118
CatBoost,Word2Vec,100,0.7876137069541961,0.03728905701320537,0.5280224922997011,0.069627218420664,0.36559725548828137,0.016956610301941302
CatBoost,Word2Vec,1000,0.7970917532805897,0.03165274083846765,0.5344248412481205,0.04286858941393821,0.3656747612975704,0.01601287470429149
RandomForest,Word2Vec,10,0.7828496409984129,0.03320734359860202,0.5090014941027613,0.051325979779280544,0.36757368908371146,0.017514854260392745
RandomForest,Word2Vec,50,0.7845262552790684,0.0336139928303861,0.5026435467507101,0.057393263011937846,0.36568628544156156,0.01351553096173612
RandomForest,Word2Vec,100,0.7887966484024745,0.03462092305943842,0.4936003366457896,0.05438141983109678,0.3673225287772578,0.012458418950408886
RandomForest,Word2Vec,1000,0.7910076468267215,0.03068321935114442,0.5031226669711574,0.0530198641128587,0.368164684555355,0.01320972160093137
XGBoost,Word2Vec,10,0.776793783468082,0.027852067254197525,0.4945402619118262,0.055918920459853014,0.36947039309293317,0.019959875468708498
XGBoost,Word2Vec,50,0.7813158827471558,0.03384196606960678,0.52660644464799,0.04772128863741959,0.37263069664284243,0.019967628692776577
XGBoost,Word2Vec,100,0.784666410394423,0.03268621679775197,0.5291118631651159,0.04748819177353428,0.3670260710413519,0.014940730679590022
XGBoost,Word2Vec,1000,0.7878987801061237,0.03434198694697586,0.5214028966927856,0.05971841095552359,0.37723684000549274,0.007730844199573447
